case,horizon,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
B0,osi_target_t01h,34177,0.010991492021847564,0.003301564170419752,4.129022376200856,-0.0001044015937602557,0.010991492021847564,0.0,0.0,0.0
B0,osi_target_t06h,32982,0.01007974033020953,0.003177439347335253,3.351009628134694,-8.79139286335395e-05,0.01007974033020953,0.0,0.0,0.0
B0,osi_target_t24h,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0
B0,osi_target_t48h,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
AB_P06,osi_target_t01h,34177,0.010853078422434704,0.0032389658650502882,4.025685290369706,-0.0001206261886411442,0.010991492021847564,-0.00013841359941286005,-1.2592794421152131,0.10333708583114998
AB_P06,osi_target_t06h,32982,0.009923105829220319,0.003112572987423417,3.2476725423035444,-0.00010472637115503994,0.01007974033020953,-0.00015663450098921117,-1.553953731523905,0.10333708583114953
AB_P06,osi_target_t24h,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0
AB_P06,osi_target_t48h,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
AB_P24,osi_target_t01h,34177,0.011022762560311164,0.003319833374475841,4.152549740793512,-8.644491829767496e-05,0.010991492021847564,3.1270538463600006e-05,0.28449766784568453,-0.02352736459265614
AB_P24,osi_target_t06h,32982,0.010115063255410069,0.0031963704790745335,3.3745369927273514,-6.930664898753196e-05,0.01007974033020953,3.5322925200538535e-05,0.35043487275832064,-0.023527364592657474
AB_P24,osi_target_t24h,28680,0.00872476499169468,0.002898741590466887,2.183165312917435,2.806063791418616e-06,0.008492701524253245,0.00023206346744143562,2.7325046898058813,-0.11459223003350338
AB_P24,osi_target_t48h,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
AB_P48,osi_target_t01h,34177,0.011023872246364013,0.0033120388687559368,4.153385875738097,-0.0001005458265308517,0.010991492021847564,3.238022451644909e-05,0.2945935315431969,-0.02436349953724104
AB_P48,osi_target_t06h,32982,0.01011631632124386,0.003188293563727097,3.375373127671936,-8.391845969292516e-05,0.01007974033020953,3.657599103432975e-05,0.3628664016741556,-0.02436349953724193
AB_P48,osi_target_t24h,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0
AB_P48,osi_target_t48h,22944,0.00799463177099171,0.0022928932572510146,1.4664459628556408,-0.00013584611341555268,0.007691202257793633,0.00030342951319807694,3.9451506153099336,-0.10920300010050976
