horizon,kind,supported_rows,all_valid_rows,supported_counties,raw_label_rmse,clipped_label_rmse,raw_P_contribution_rmse,clipped_P_contribution_rmse,clip_low_rows,clip_high_rows
osi_target_t06h,a,25668,32982,186,0.3302249040333851,0.3302243845362479,0.00901922212295554,0.009019217642788612,51,0
osi_target_t06h,b,32982,32982,239,0.01347716684659082,0.013460856027205759,0.012904785839581214,0.012890245559393783,11992,0
osi_target_t24h,a,22320,28680,186,0.330938363993011,0.3309358164957795,0.007530117739084166,0.00753009453275376,184,0
osi_target_t24h,b,28680,28680,239,0.012305175065063295,0.012282819918303257,0.012161628454200098,0.01214023225402098,11212,0
osi_target_t48h,a,17856,22944,186,0.3279525631331525,0.32794856552409,0.0048744457616837515,0.004874358341940619,349,0
osi_target_t48h,b,22944,22944,239,0.012211121937541564,0.01220404993379525,0.012081372030489363,0.01207470419328481,9316,0
