fipsCode,timestamp_et,hour_idx,fold,target_hour,official_D,K,U_raw,pred_U_raw,A_D,A_osi,B_D,B_osi,C_D,C_osi,actual_osi
18013,2026-03-14 00:00:00,72,2,73,0.031660581,0.03164497683333333,1.5604166666668973e-05,0.0019733953703433434,0.012932837630229805,0.009833187952794763,0.03164497683333333,0.014511222753570646,0.03361837220367667,0.015004571596156481,0.0079
18013,2026-03-14 01:00:00,73,2,74,0.000265269,0.00024966433333333335,1.560466666666665e-05,0.001400400480179609,0.011326295309878448,0.009275317396283669,0.011326295309878448,0.009275317396283669,0.0016500648135129423,0.006856259772192292,0.0001
18013,2026-03-14 02:00:00,74,2,75,0.00015604,0.00014043616666666668,1.560383333333332e-05,0.002141223079462448,0.009890209323680533,0.00967686552602512,0.009890209323680533,0.00967686552602512,0.002281659246129115,0.007774728006637265,0.0
18013,2026-03-14 03:00:00,75,2,76,4.68e-05,3.1208e-05,1.5592000000000003e-05,0.0025325024101433458,0.010111812576836392,0.009213085726343656,0.010111812576836392,0.009213085726343656,0.002563710410143346,0.007326060184670394,0.0
39117,2026-03-14 00:00:00,72,1,73,0.825123821,0.5713243775,0.25379944350000005,0.2212507320029402,0.4303272869446187,0.26776807220318855,0.5713243775,0.30301734484203385,0.7925751095029402,0.35833002784276896,0.5087
39117,2026-03-14 01:00:00,73,1,74,0.808619988,0.42964244516666666,0.37897754283333335,0.24138659789605355,0.4280032736888273,0.2647858078752518,0.42964244516666666,0.26519560074471166,0.6710290430627202,0.325542250218725,0.5023
39117,2026-03-14 02:00:00,74,1,75,0.787943551,0.2837879095,0.5041556415,0.27464244220511963,0.42542913138135074,0.2622294976756906,0.42542913138135074,0.2622294976756906,0.5584303517051197,0.2954798027566328,0.4922
39117,2026-03-14 03:00:00,75,1,76,0.742570731,0.1373736345,0.6051970965,0.31332996674971303,0.4178139579021847,0.25979233681608127,0.4178139579021847,0.25979233681608127,0.45070360124971304,0.26801474765296335,0.4232
42053,2026-03-14 00:00:00,72,2,73,0.102549356,0.05061171,0.051937646,0.05078201213855595,0.12614789732796391,0.08111863309771122,0.12614789732796391,0.08111863309771122,0.10139372213855595,0.07493008930035924,0.1337
42053,2026-03-14 01:00:00,73,2,74,0.206522218,0.04908243533333334,0.15743978266666667,0.06718592734359624,0.12082189823825133,0.08896395591576471,0.12082189823825133,0.08896395591576471,0.11626836267692958,0.08782557202543428,0.3865
42053,2026-03-14 02:00:00,74,2,75,0.344221727,0.04769880583333334,0.2965229211666666,0.09559473554061357,0.112485836173183,0.08432019168208431,0.112485836173183,0.08432019168208431,0.1432935413739469,0.09202211798227529,0.5049
42053,2026-03-14 03:00:00,75,2,76,0.459758976,0.02386154,0.43589743599999997,0.11676353734220841,0.11711479519751428,0.08230489926144881,0.11711479519751428,0.08230489926144881,0.14062507734220842,0.08818246979762236,0.4887
