comparison,horizon,model,fipsCode,countyName,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
C_minus_B,osi_target_t01h,v18_rule,39117,Morrow County,1,143,0.044982534937451434,0.018438474467254298,0.2893502682640625,-0.014972971822860087,0.04118907919740621,0.018058803551441672,0.2426052550536188,-0.014741049686281413,-0.0037934557400452207,-8.433174665056232,0.04674501321044372,143
C_minus_B,osi_target_t01h,v18_rule,42053,Forest County,2,143,0.09794362810702269,0.03559066246564284,1.3717924630076475,-0.03104579184728525,0.09750564159512064,0.0354728084153801,1.3595510704312852,-0.03117504655739511,-0.00043798651190204985,-0.4471822418334992,0.012241392576362253,133
C_minus_B,osi_target_t01h,v18_rule,39075,Holmes County,2,143,0.02171365845480102,0.01132634593594833,0.0674220637793205,-0.010081717626274925,0.020231892180258993,0.010825718877544419,0.05853411295068838,-0.00970441686153773,-0.001481766274542027,-6.824120760794228,0.00888795082863212,98
C_minus_B,osi_target_t01h,v18_rule,39149,Shelby County,0,143,0.01468038834296797,0.006503405194392366,0.030818473671750033,0.004402193514790868,0.013375495533748885,0.0061799891245972296,0.0255832549505871,0.0041026640474092265,-0.001304892809219086,-8.888680454043573,0.005235218721162935,90
C_minus_B,osi_target_t01h,v18_rule,54009,Brooke County,4,143,0.019465776457420078,0.010097104553066507,0.054185052791905705,-0.00121120537002124,0.018559406220369074,0.009994245986572062,0.04925657297313243,-0.0006161505708159132,-0.0009063702370510039,-4.656224420503441,0.004928479818773278,133
C_minus_B,osi_target_t01h,v18_rule,42063,Indiana County,1,143,0.011154565885059699,0.005673453115216241,0.017792680632031686,0.0023160703835835013,0.009813516771096596,0.005351308446612695,0.013771630932572963,0.001863948056610072,-0.0013410491139631033,-12.022423174345942,0.004021049699458722,99
C_minus_B,osi_target_t01h,v18_rule,39091,Logan County,4,143,0.013642343864134003,0.006767397541344957,0.02661423709334028,0.006709569521865562,0.012609043232168252,0.0065467227574240745,0.022735279885988384,0.006363491497226551,-0.0010333006319657514,-7.574216294916303,0.003878957207351895,91
C_minus_B,osi_target_t01h,v18_rule,39125,Paulding County,3,143,0.021677196503313404,0.011616283567082528,0.0671958212987866,0.002896481642374092,0.021093787195327694,0.011221442198949655,0.0636275437285732,0.00239731691955961,-0.0005834093079857099,-2.6913503685614293,0.003568277570213399,92
C_minus_B,osi_target_t01h,v18_rule,42021,Cambria County,3,143,0.009282938000586423,0.0039027060975662066,0.012322730122950596,0.002774818123791929,0.008092950904466463,0.0035142799330316315,0.009365907170920952,0.002439425331715284,-0.0011899870961199592,-12.819078356925207,0.002956822952029644,82
C_minus_B,osi_target_t01h,v18_rule,39097,Madison County,0,143,0.011321815293831496,0.004032297882536727,0.018330240721312056,0.0017678810501375463,0.010566968521977076,0.003926740694009473,0.01596749779545698,0.001429075942537986,-0.0007548467718544206,-6.667188540566338,0.0023627429258550776,75
C_minus_B,osi_target_t01h,v18_rule,42121,Venango County,3,143,0.024797255004486665,0.00942855636354387,0.08793125137332808,-0.007052552793888895,0.0245422526911106,0.009362614841612113,0.08613206990306854,-0.007032317560051062,-0.0002550023133760654,-1.028348957696834,0.0017991814702595366,109
