comparison,horizon,model,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
C_minus_B,osi_target_t01h,C0_direct_osi,34177,0.011412584634342813,0.0034878304326271497,4.4514547278076595,-6.92958228133906e-05,0.011412584634342813,0.0034878304326271497,4.4514547278076595,-6.92958228133906e-05,0.0,0.0,0.0,0
C_minus_A,osi_target_t01h,C0_direct_osi,34177,0.011412584634342813,0.0034878304326271497,4.4514547278076595,-6.92958228133906e-05,0.011412584634342813,0.0034878304326271497,4.4514547278076595,-6.92958228133906e-05,0.0,0.0,0.0,0
B_minus_A,osi_target_t01h,C0_direct_osi,34177,0.011412584634342813,0.0034878304326271497,4.4514547278076595,-6.92958228133906e-05,0.011412584634342813,0.0034878304326271497,4.4514547278076595,-6.92958228133906e-05,0.0,0.0,0.0,0
C_minus_B,osi_target_t01h,C1_component_osi,34177,0.011351924306613574,0.0034694930527204293,4.404259620571825,-4.772168879827678e-05,0.011264462744049648,0.0034709284455851854,4.336655308412245,-7.932066052892002e-05,-8.746156256392648e-05,-0.770455829351957,0.06760431215958018,17354
C_minus_A,osi_target_t01h,C1_component_osi,34177,0.01137237591678052,0.003470228922729608,4.42014333106405,-5.003712572044189e-05,0.011264462744049648,0.0034709284455851854,4.336655308412245,-7.932066052892002e-05,-0.00010791317273087242,-0.9489061346595218,0.08348802265180577,17362
B_minus_A,osi_target_t01h,C1_component_osi,34177,0.01137237591678052,0.003470228922729608,4.42014333106405,-5.003712572044189e-05,0.011351924306613574,0.0034694930527204293,4.404259620571825,-4.772168879827678e-05,-2.0451610166945938e-05,-0.1798358611833084,0.01588371049222559,51
C_minus_B,osi_target_t01h,C2_equal_blend,34177,0.011354261554201743,0.003452106396494234,4.4060733932147045,-6.845425503677472e-05,0.011299702057770067,0.00345011926817941,4.363831002395888,-8.519970327746714e-05,-5.455949643167618e-05,-0.48051998953191344,0.04224239081881631,16891
C_minus_A,osi_target_t01h,C2_equal_blend,34177,0.011365068409012994,0.0034526022115630274,4.414464684062189,-6.962227722061306e-05,0.011299702057770067,0.00345011926817941,4.363831002395888,-8.519970327746714e-05,-6.536635124292783e-05,-0.5751514103609745,0.05063368166630067,16899
B_minus_A,osi_target_t01h,C2_equal_blend,34177,0.011365068409012994,0.0034526022115630274,4.414464684062189,-6.962227722061306e-05,0.011354261554201743,0.003452106396494234,4.4060733932147045,-6.845425503677472e-05,-1.0806854811251654e-05,-0.09508833930714777,0.008391290847484356,45
C_minus_B,osi_target_t01h,C3_aligned_component,34177,0.01142626207696064,0.0034624957737206244,4.462130837061318,-8.166218850940635e-05,0.01132776337201061,0.003457308704214013,4.385531907890186,-9.286991608291708e-05,-9.849870495003132e-05,-0.8620378588080846,0.07659892917113176,16870
C_minus_A,osi_target_t01h,C3_aligned_component,34177,0.01144658086857706,0.0034632316437298036,4.478014547553544,-8.397762543157155e-05,0.01132776337201061,0.003457308704214013,4.385531907890186,-9.286991608291708e-05,-0.00011881749656645138,-1.038017360211263,0.09248263966335735,16878
B_minus_A,osi_target_t01h,C3_aligned_component,34177,0.01144658086857706,0.0034632316437298036,4.478014547553544,-8.397762543157155e-05,0.01142626207696064,0.0034624957737206244,4.462130837061318,-8.166218850940635e-05,-2.0318791616420057e-05,-0.1775097022395422,0.01588371049222559,51
