split_seed,horizon,n,A_rmse,B_rmse,C_rmse,A_mae,B_mae,C_mae,C_minus_B_rmse_delta,C_minus_B_rmse_change_pct,C_minus_A_rmse_change_pct,C_minus_B_sse_reduction,changed_predictions_C_vs_B
42,osi_target_t01h,34177,0.011783624615677923,0.011755140271263249,0.011631455064359725,0.0034929554982199478,0.003491056149841014,0.003472149878248777,-0.00012368520690352394,-1.0521797617837558,-1.291364552768759,0.09885956594835132,17044
42,osi_target_t06h,32982,0.010427511705922264,0.010427511705922264,0.010425919401839094,0.003289226526120758,0.003289226526120758,0.0032870216824802934,-1.5923040831700153e-06,-0.015270221008389928,-0.015270221008389928,0.0010951674254697785,16239
42,osi_target_t24h,28680,0.008492701524253245,0.008492701524253245,0.008492701524253245,0.0028144565793908724,0.0028144565793908724,0.0028144565793908724,0.0,0.0,0.0,0.0,0
42,osi_target_t48h,22944,0.007691202257793633,0.007691202257793633,0.007691202257793633,0.0022350036403240283,0.0022350036403240283,0.0022350036403240283,0.0,0.0,0.0,0.0,0
20260917,osi_target_t01h,34177,0.012503692436569555,0.012475381943844085,0.012380245088583607,0.0035807924882082544,0.0035790543880305126,0.003573425666367468,-9.51368552604779e-05,-0.7625967340216255,-0.9872871442750841,0.0808178799632211,16724
20260917,osi_target_t06h,32982,0.010870630226386284,0.010870630226386284,0.010925830680753895,0.003348082840773493,0.003348082840773493,0.0033605251256584472,5.5200454367611285e-05,0.5077944260639455,0.5077944260639455,-0.039683102865617936,15886
20260917,osi_target_t24h,28680,0.008710411518259539,0.008710411518259539,0.008710411518259539,0.002956278833563109,0.002956278833563109,0.002956278833563109,0.0,0.0,0.0,0.0,0
20260917,osi_target_t48h,22944,0.007895792270846023,0.007895792270846023,0.007895792270846023,0.002249936035520659,0.002249936035520659,0.002249936035520659,0.0,0.0,0.0,0.0,0
20260918,osi_target_t01h,34177,0.01144658086857706,0.01142626207696064,0.01132776337201061,0.0034632316437298036,0.0034624957737206244,0.003457308704214013,-9.849870495003132e-05,-0.8620378588080846,-1.038017360211263,0.07659892917113176,16870
20260918,osi_target_t06h,32982,0.01001049575133449,0.01001049575133449,0.010029440966010272,0.0032462450567294922,0.0032462450567294922,0.0032534330044916918,1.8945214675781738e-05,0.18925351097878185,0.18925351097878185,-0.012521975909314698,16031
20260918,osi_target_t24h,28680,0.008094958237266874,0.008094958237266874,0.008094958237266874,0.002818108889202019,0.002818108889202019,0.002818108889202019,0.0,0.0,0.0,0.0,0
20260918,osi_target_t48h,22944,0.007386039443917857,0.007386039443917857,0.007386039443917857,0.0022817618160767186,0.0022817618160767186,0.0022817618160767186,0.0,0.0,0.0,0.0,0
