split_seed,horizon,n,A_rmse,B_rmse,C_rmse,A_mae,B_mae,C_mae,C_minus_B_rmse_delta,C_minus_B_rmse_change_pct,C_minus_A_rmse_change_pct,C_minus_B_sse_reduction,changed_predictions_C_vs_B,improved_counties,worsened_counties,morrow_sse_reduction,morrow_fraction_of_net_sse_reduction,ci_low,ci_high,bootstrap_fraction_delta_lt0,exclude_Morrow_rmse_change_pct,exclude_Morrow_ci_low,exclude_Morrow_ci_high
42,osi_target_t01h,34177,0.011783624615677923,0.011755140271263249,0.011631455064359725,0.0034929554982199478,0.003491056149841014,0.003472149878248777,-0.00012368520690352394,-1.0521797617837558,-1.291364552768759,0.09885956594835132,17044,136,103,0.06707068924225623,0.6784440999599086,-0.0003203985116672356,-1.124653024893712e-05,0.995,-0.3641497842780783,-8.854294635176371e-05,-1.1733762354223128e-06
42,osi_target_t06h,32982,0.010427511705922264,0.010427511705922264,0.010425919401839094,0.003289226526120758,0.003289226526120758,0.0032870216824802934,-1.5923040831700153e-06,-0.015270221008389928,-0.015270221008389928,0.0010951674254697785,16239,130,109,-0.006963645792538289,-6.358521656679012,-3.920958732558186e-05,3.351942508666293e-05,0.514,-0.11592601619604403,-4.5486486253211745e-05,1.715845296068459e-05
42,osi_target_t24h,28680,0.008492701524253245,0.008492701524253245,0.008492701524253245,0.0028144565793908724,0.0028144565793908724,0.0028144565793908724,0.0,0.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,0.0,,,
42,osi_target_t48h,22944,0.007691202257793633,0.007691202257793633,0.007691202257793633,0.0022350036403240283,0.0022350036403240283,0.0022350036403240283,0.0,0.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,0.0,,,
20260917,osi_target_t01h,34177,0.012503692436569555,0.012475381943844085,0.012380245088583607,0.0035807924882082544,0.0035790543880305126,0.003573425666367468,-9.51368552604779e-05,-0.7625967340216255,-0.9872871442750841,0.0808178799632211,16724,124,115,0.07440985150384344,0.9207102628490923,-0.00030823152509790766,2.4897236290998902e-05,0.8615,-0.06473107948823387,-5.823825223197497e-05,3.6074885251960875e-05
20260917,osi_target_t06h,32982,0.010870630226386284,0.010870630226386284,0.010925830680753895,0.003348082840773493,0.003348082840773493,0.0033605251256584472,5.5200454367611285e-05,0.5077944260639455,0.5077944260639455,-0.039683102865617936,15886,111,128,-0.005561828483768641,0.14015608866582482,1.4139093788983993e-05,9.54724118588961e-05,0.0035,0.44956634781048166,1.1014880674473353e-05,8.571111125542641e-05
20260917,osi_target_t24h,28680,0.008710411518259539,0.008710411518259539,0.008710411518259539,0.002956278833563109,0.002956278833563109,0.002956278833563109,0.0,0.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,0.0,,,
20260917,osi_target_t48h,22944,0.007895792270846023,0.007895792270846023,0.007895792270846023,0.002249936035520659,0.002249936035520659,0.002249936035520659,0.0,0.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,0.0,,,
20260918,osi_target_t01h,34177,0.01144658086857706,0.01142626207696064,0.01132776337201061,0.0034632316437298036,0.0034624957737206244,0.003457308704214013,-9.849870495003132e-05,-0.8620378588080846,-1.038017360211263,0.07659892917113176,16870,130,109,0.04674501321044372,0.6102567453130988,-0.00024014818094588719,-1.6064580334042887e-06,0.978,-0.35836421740208513,-8.650749977690774e-05,1.4242755152568785e-05
20260918,osi_target_t06h,32982,0.01001049575133449,0.01001049575133449,0.010029440966010272,0.0032462450567294922,0.0032462450567294922,0.0032534330044916918,1.8945214675781738e-05,0.18925351097878185,0.18925351097878185,-0.012521975909314698,16031,118,121,-0.008845337754263008,0.7063851438720238,-1.9093521016767725e-05,6.36920830275928e-05,0.1775,0.057107038354420325,-2.6211159434873927e-05,3.752284087160844e-05
20260918,osi_target_t24h,28680,0.008094958237266874,0.008094958237266874,0.008094958237266874,0.002818108889202019,0.002818108889202019,0.002818108889202019,0.0,0.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,0.0,,,
20260918,osi_target_t48h,22944,0.007386039443917857,0.007386039443917857,0.007386039443917857,0.0022817618160767186,0.0022817618160767186,0.0022817618160767186,0.0,0.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,0.0,,,
