split_seed,comparison,horizon,model,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
42,C_minus_B,osi_target_t01h,C0_direct_osi,34177,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.0,0.0,0.0,0
42,C_minus_A,osi_target_t01h,C0_direct_osi,34177,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.0,0.0,0.0,0
42,B_minus_A,osi_target_t01h,C0_direct_osi,34177,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.0,0.0,0.0,0
42,C_minus_B,osi_target_t01h,C1_component_osi,34177,0.011878902534761171,0.0035384359938404534,4.822659238233256,-0.00010612166590645576,0.011745182099166654,0.0035086622025096146,4.714693312997921,-0.00013105281710270035,-0.00013372043559451742,-1.12569688321974,0.10796592523533466,17120
42,C_minus_A,osi_target_t01h,C1_component_osi,34177,0.011907090816672686,0.003540335342219387,4.845574448034514,-0.0001090468730581216,0.011745182099166654,0.0035086622025096146,4.714693312997921,-0.00013105281710270035,-0.00016190871750603256,-1.3597672176928643,0.13088113503659304,17141
42,B_minus_A,osi_target_t01h,C1_component_osi,34177,0.011907090816672686,0.003540335342219387,4.845574448034514,-0.0001090468730581216,0.011878902534761171,0.0035384359938404534,4.822659238233256,-0.00010612166590645576,-2.8188281911515137e-05,-0.23673525586993538,0.022915209801258385,54
42,C_minus_B,osi_target_t01h,C2_equal_blend,34177,0.01193424034852952,0.0035439898492478313,4.867696570087254,-0.00012756522203246425,0.011856171679596652,0.0035267786869398643,4.8042201132869735,-0.00014354318548681427,-7.806866893286801e-05,-0.6541570024814147,0.0634764568002808,16765
42,C_minus_A,osi_target_t01h,C2_equal_blend,34177,0.011948976400110755,0.0035449071315145674,4.8797249709045705,-0.00012901454207799425,0.011856171679596652,0.0035267786869398643,4.8042201132869735,-0.00014354318548681427,-9.280472051410339e-05,-0.7766750674412792,0.07550485761759695,16786
42,B_minus_A,osi_target_t01h,C2_equal_blend,34177,0.011948976400110755,0.0035449071315145674,4.8797249709045705,-0.00012901454207799425,0.01193424034852952,0.0035439898492478313,4.867696570087254,-0.00012756522203246425,-1.473605158123538e-05,-0.1233248027931344,0.012028400817316154,56
42,C_minus_B,osi_target_t01h,C3_aligned_component,34177,0.011755140271263249,0.003491056149841014,4.722691423235632,-0.00011029243965038886,0.011631455064359725,0.003472149878248777,4.62383185728728,-0.00011660144169487988,-0.00012368520690352394,-1.0521797617837558,0.09885956594835132,17044
