split_seed,comparison,horizon,model,population,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,counties,replicates,seed,ci_low,ci_high,bootstrap_fraction_delta_lt0,bootstrap_fraction_delta_eq0
42,C_minus_B,osi_target_t01h,v18_rule,all_counties,34177,0.011755140271263249,0.003491056149841014,4.722691423235632,-0.00011029243965038886,0.011631455064359725,0.003472149878248777,4.62383185728728,-0.00011660144169487988,-0.00012368520690352394,-1.0521797617837558,0.09885956594835132,17044,239,2000,20260910,-0.0003203985116672356,-1.124653024893712e-05,0.995,0.0
42,C_minus_B,osi_target_t01h,v18_rule,exclude_Morrow_diagnostic_only,34034,0.011335007148167394,0.0034217159330142068,4.372769560825867,-3.843627604002501e-05,0.011293730744089438,0.0034061208449240165,4.3409806841197724,-4.843697611748434e-05,-4.127640407795667e-05,-0.3641497842780783,0.03178887670609498,16901,238,2000,20260910,-8.854294635176371e-05,-1.1733762354223128e-06,0.977,0.0
42,C_minus_A,osi_target_t01h,v18_rule,all_counties,34177,0.011783624615677923,0.0034929554982199478,4.745606633036891,-0.00011321764680205473,0.011631455064359725,0.003472149878248777,4.62383185728728,-0.00011660144169487988,-0.0001521695513181983,-1.291364552768759,0.1217747757496106,17065,239,2000,20260910,-0.0004141722340884926,-1.1330936044418654e-05,0.995,0.0
42,C_minus_A,osi_target_t01h,v18_rule,exclude_Morrow_diagnostic_only,34034,0.011335123004986174,0.0034222507600559894,4.372858950757969,-4.000127218551757e-05,0.011293730744089438,0.0034061208449240165,4.3409806841197724,-4.843697611748434e-05,-4.139226089673598e-05,-0.36516816693147325,0.031878266638196706,16922,238,2000,20260910,-8.85576706429865e-05,-1.2634002147317166e-06,0.977,0.0
42,C_minus_B,osi_target_t06h,v18_rule,all_counties,32982,0.010427511705922264,0.003289226526120758,3.5862318184390243,-8.470966592904378e-05,0.010425919401839094,0.0032870216824802934,3.5851366510135545,-9.59735767134416e-05,-1.5923040831700153e-06,-0.015270221008389928,0.0010951674254697785,16239,239,2000,20260910,-3.920958732558186e-05,3.351942508666293e-05,0.514,0.0
42,C_minus_B,osi_target_t06h,v18_rule,exclude_Morrow_diagnostic_only,32844,0.01029029846083658,0.0032491108414723466,3.4778591218157153,-4.324207989892578e-05,0.01027836932777625,0.003245070663196285,3.4698003085977076,-5.3011763571962194e-05,-1.1929133060330915e-05,-0.11592601619604403,0.008058813218007721,16101,238,2000,20260910,-4.5486486253211745e-05,1.715845296068459e-05,0.761,0.0
42,C_minus_A,osi_target_t06h,v18_rule,all_counties,32982,0.010427511705922264,0.003289226526120758,3.5862318184390243,-8.470966592904378e-05,0.010425919401839094,0.0032870216824802934,3.5851366510135545,-9.59735767134416e-05,-1.5923040831700153e-06,-0.015270221008389928,0.0010951674254697785,16239,239,2000,20260910,-3.920958732558186e-05,3.351942508666293e-05,0.514,0.0
42,C_minus_A,osi_target_t06h,v18_rule,exclude_Morrow_diagnostic_only,32844,0.01029029846083658,0.0032491108414723466,3.4778591218157153,-4.324207989892578e-05,0.01027836932777625,0.003245070663196285,3.4698003085977076,-5.3011763571962194e-05,-1.1929133060330915e-05,-0.11592601619604403,0.008058813218007721,16101,238,2000,20260910,-4.5486486253211745e-05,1.715845296068459e-05,0.761,0.0
42,C_minus_B,osi_target_t24h,v18_rule,all_counties,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
42,C_minus_A,osi_target_t24h,v18_rule,all_counties,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
