split_seed,comparison,horizon,model,window,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
42,C_minus_B,osi_target_t01h,v18_rule,first_four_target_hours,956,0.0295791865696395,0.008854293317505832,0.8364314338841938,-0.0008063834675021734,0.027733681893275755,0.008259843122137431,0.7353141984576854,-0.0005264983991909509,-0.001845504676363744,-6.2392002295898035,0.10111723542650841,645
42,C_minus_B,osi_target_t01h,v18_rule,later_target_hours,33221,0.01081582309020784,0.003336718389620443,3.886259989351438,-9.02610431654454e-05,0.010818964286160058,0.0033343745331009026,3.888517658829595,-0.00010480584579571237,3.141195952217901e-06,0.02904259736886683,-0.002257669478157087,16399
42,C_minus_B,osi_target_t01h,v18_rule,changed_predictions,17044,0.016326681821907094,0.006672160669378221,4.5432578320642625,4.747443462593642e-05,0.016148073667044502,0.006634249401823195,4.444398266115911,3.482348632303983e-05,-0.00017860815486259174,-1.0939648166777838,0.09885956594835132,17044
42,C_minus_A,osi_target_t01h,v18_rule,first_four_target_hours,956,0.029981630423492518,0.008922195022052718,0.8593466436854529,-0.000910959623174227,0.027733681893275755,0.008259843122137431,0.7353141984576854,-0.0005264983991909509,-0.0022479485302167625,-7.497752785503453,0.12403244522776746,666
42,C_minus_A,osi_target_t01h,v18_rule,later_target_hours,33221,0.01081582309020784,0.003336718389620443,3.886259989351438,-9.02610431654454e-05,0.010818964286160058,0.0033343745331009026,3.888517658829595,-0.00010480584579571237,3.141195952217901e-06,0.02904259736886683,-0.002257669478157087,16399
42,C_minus_A,osi_target_t01h,v18_rule,changed_predictions,17065,0.016358555334644736,0.00667143776316622,4.5666338064441545,4.1963479243741145e-05,0.016138971311739334,0.006629769220901077,4.444859030694544,3.518656989407278e-05,-0.00021958402290540163,-1.3423191621350528,0.1217747757496106,17065
20260917,C_minus_B,osi_target_t01h,v18_rule,first_four_target_hours,956,0.033338653882732,0.009759186646446266,1.062561345633247,-3.130191217753219e-05,0.031239539481185442,0.00911234968955516,0.9329688386086961,0.00010883029022017305,-0.002099114401546559,-6.296338205286123,0.12959250702455094,672
20260917,C_minus_B,osi_target_t01h,v18_rule,later_target_hours,33221,0.011319418517030942,0.003401208855414232,4.256581334661776,-0.00017749213712022868,0.011384086356154682,0.0034140321692973184,4.305355961723107,-0.00017469800440945334,6.466783912374013e-05,0.571300010035336,-0.04877462706133073,16052
20260917,C_minus_B,osi_target_t01h,v18_rule,changed_predictions,16724,0.017504153133325505,0.0069257313537952345,5.124156283524939,-1.4376020443488771e-05,0.017365567302632806,0.006914228554209139,5.043338403561718,-8.152533855555748e-07,-0.00013858583069269875,-0.7917311373884739,0.0808178799632211,16724
20260917,C_minus_A,osi_target_t01h,v18_rule,first_four_target_hours,956,0.03371568131840141,0.009821323727800514,1.0867302914263854,-0.00012052603258804539,0.031239539481185442,0.00911234968955516,0.9329688386086961,0.00010883029022017305,-0.0024761418372159644,-7.3441844874258315,0.15376145281768938,692
20260917,C_minus_A,osi_target_t01h,v18_rule,later_target_hours,33221,0.011319418517030942,0.003401208855414232,4.256581334661776,-0.00017749213712022868,0.011384086356154682,0.0034140321692973184,4.305355961723107,-0.00017469800440945334,6.466783912374013e-05,0.571300010035336,-0.04877462706133073,16052
20260917,C_minus_A,osi_target_t01h,v18_rule,changed_predictions,16744,0.01753521927638051,0.006923342958257414,5.148510673944582,-1.7588835115799154e-05,0.01735551205999298,0.006908306176720593,5.043523848188222,1.0499923680354995e-06,-0.0001797072163875306,-1.024835866350371,0.10498682575635954,16744
20260918,C_minus_B,osi_target_t01h,v18_rule,first_four_target_hours,956,0.029864530029571866,0.009246820262887843,0.8526469871161629,-0.0006882297404808824,0.028165477087947078,0.008780366195213846,0.7583891592096383,-0.0005028616279351239,-0.001699052941624788,-5.689200332107635,0.0942578279065246,673
20260918,C_minus_B,osi_target_t01h,v18_rule,later_target_hours,33221,0.010423563126414997,0.003296040392737395,3.6094838499451556,-6.420700715770924e-05,0.010449029934110482,0.0033041271936816437,3.6271427486805474,-8.1071593439688e-05,2.5466807695485177e-05,0.244319599609355,-0.017658898735391837,16197
20260918,C_minus_B,osi_target_t01h,v18_rule,changed_predictions,16870,0.015887264185404013,0.006672975565008819,4.258075104817371,0.00012001492205410743,0.01574371691020141,0.006662467060294683,4.181476175646238,9.730914225091402e-05,-0.00014354727520260457,-0.903536779696057,0.07659892917113265,16870
20260918,C_minus_A,osi_target_t01h,v18_rule,first_four_target_hours,956,0.030141415259013732,0.009273127615715991,0.8685306976083884,-0.0007710066104482866,0.028165477087947078,0.008780366195213846,0.7583891592096383,-0.0005028616279351239,-0.001975938171066654,-6.555558702492426,0.11014153839875007,681
20260918,C_minus_A,osi_target_t01h,v18_rule,later_target_hours,33221,0.010423563126414997,0.003296040392737395,3.6094838499451556,-6.420700715770924e-05,0.010449029934110482,0.0033041271936816437,3.6271427486805474,-8.1071593439688e-05,2.5466807695485177e-05,0.244319599609355,-0.017658898735391837,16197
20260918,C_minus_A,osi_target_t01h,v18_rule,changed_predictions,16878,0.015913411163277612,0.006672559226592651,4.2741282605840984,0.00011488525013320164,0.01574030419846657,0.006660565607453465,4.181645620920741,9.687886207827583e-05,-0.00017310696481104282,-1.0878055184705526,0.09248263966335735,16878
