horizon,model,rmse,mae,n,rmse_change_pct_vs_v1.8,rmse_change_pct_vs_v1.12,mae_change_pct_vs_v1.12
osi_target_t24h,v1.8,0.008372823768376926,0.0029248130640176667,28680,0.0,1.9959987383477706,13.515669637541205
osi_target_t24h,v1.12,0.008208972775349635,0.002576572092079163,28680,-1.9569382750671882,0.0,0.0
osi_target_t24h,weather_gate_depth2,0.008208972775349635,0.002576572092079163,28680,-1.9569382750671882,0.0,0.0
osi_target_t24h,weather_gate_depth3,0.008209392630541539,0.002576999383944036,28680,-1.9519237757355645,0.0051145886750258995,0.01658373410884373
osi_target_t48h,v1.8,0.007593428433818521,0.0023066625802577725,22944,0.0,0.5702639353462491,12.576614699717048
osi_target_t48h,v1.12,0.007550371388803473,0.0020489713484549915,22944,-0.5670303656683862,0.0,0.0
osi_target_t48h,weather_gate_depth2,0.007550371388803473,0.0020489713484549915,22944,-0.5670303656683862,0.0,0.0
osi_target_t48h,weather_gate_depth3,0.007550371388803473,0.0020489713484549915,22944,-0.5670303656683862,0.0,0.0
