split_seed,horizon,mode,term_a,term_b,term_type,sse_term,total_osi_sse,N_signed_allocation
42,1,C1,P,P,square,1.744573128542439,4.130969029145235,0.2803749348984722
42,1,C1,P,N,twice_cross,0.34047263928740523,4.130969029145235,0.2803749348984722
42,1,C1,P,D,twice_cross,1.4175784706721188,4.130969029145235,0.2803749348984722
42,1,C1,P,R,twice_cross,-0.06582157140861689,4.130969029145235,0.2803749348984722
42,1,C1,P,b,twice_cross,0.0006827712696289952,4.130969029145235,0.2803749348984722
42,1,C1,N,N,square,0.07739331202092528,4.130969029145235,0.2803749348984722
42,1,C1,N,D,twice_cross,0.07749174077539542,4.130969029145235,0.2803749348984722
42,1,C1,N,R,twice_cross,-0.012055395044109346,4.130969029145235,0.2803749348984722
42,1,C1,N,b,twice_cross,5.426073640252964e-05,4.130969029145235,0.2803749348984722
42,1,C1,D,D,square,0.6014746500707409,4.130969029145235,0.2803749348984722
42,1,C1,D,R,twice_cross,-0.059099194810748296,4.130969029145235,0.2803749348984722
42,1,C1,D,b,twice_cross,-0.00023427045806542299,4.130969029145235,0.2803749348984722
42,1,C1,R,R,square,0.00573694371437429,4.130969029145235,0.2803749348984722
42,1,C1,R,b,twice_cross,2.295562287831115e-05,4.130969029145235,0.2803749348984722
42,1,C1,b,b,square,0.0026985881544658794,4.130969029145235,0.2803749348984722
42,1,C3,P,P,square,1.6728441193490602,4.129022376200856,0.27950426443385384
42,1,C3,P,N,twice_cross,0.34282851656629393,4.129022376200856,0.27950426443385384
42,1,C3,P,D,twice_cross,1.510666270334098,4.129022376200856,0.27950426443385384
42,1,C3,P,R,twice_cross,-0.06949284645651425,4.129022376200856,0.27950426443385384
42,1,C3,P,b,twice_cross,-0.0007539890888444613,4.129022376200856,0.27950426443385384
42,1,C3,N,N,square,0.07693294504844601,4.129022376200856,0.27950426443385384
42,1,C3,N,D,twice_cross,0.07451354455545607,4.129022376200856,0.27950426443385384
42,1,C3,N,R,twice_cross,-0.011963409865423118,4.129022376200856,0.27950426443385384
42,1,C3,N,b,twice_cross,-0.00023601248551122686,4.129022376200856,0.27950426443385384
42,1,C3,D,D,square,0.5838400171046438,4.129022376200856,0.27950426443385384
42,1,C3,D,R,twice_cross,-0.05828448244815388,4.129022376200856,0.27950426443385384
42,1,C3,D,b,twice_cross,-0.000507670512958058,4.129022376200856,0.27950426443385384
42,1,C3,R,R,square,0.005672785314032125,4.129022376200856,0.27950426443385384
42,1,C3,R,b,twice_cross,7.924101233495613e-05,4.129022376200856,0.27950426443385384
42,1,C3,b,b,square,0.0028833477738953875,4.129022376200856,0.27950426443385384
42,1,main,P,P,square,1.6728441193490602,4.129022376200856,0.27950426443385384
42,1,main,P,N,twice_cross,0.34282851656629393,4.129022376200856,0.27950426443385384
42,1,main,P,D,twice_cross,1.510666270334098,4.129022376200856,0.27950426443385384
42,1,main,P,R,twice_cross,-0.06949284645651425,4.129022376200856,0.27950426443385384
42,1,main,P,b,twice_cross,-0.0007539890888444613,4.129022376200856,0.27950426443385384
42,1,main,N,N,square,0.07693294504844601,4.129022376200856,0.27950426443385384
42,1,main,N,D,twice_cross,0.07451354455545607,4.129022376200856,0.27950426443385384
42,1,main,N,R,twice_cross,-0.011963409865423118,4.129022376200856,0.27950426443385384
42,1,main,N,b,twice_cross,-0.00023601248551122686,4.129022376200856,0.27950426443385384
42,1,main,D,D,square,0.5838400171046438,4.129022376200856,0.27950426443385384
42,1,main,D,R,twice_cross,-0.05828448244815388,4.129022376200856,0.27950426443385384
42,1,main,D,b,twice_cross,-0.000507670512958058,4.129022376200856,0.27950426443385384
42,1,main,R,R,square,0.005672785314032125,4.129022376200856,0.27950426443385384
42,1,main,R,b,twice_cross,7.924101233495613e-05,4.129022376200856,0.27950426443385384
42,1,main,b,b,square,0.0028833477738953875,4.129022376200856,0.27950426443385384
42,6,C1,P,P,square,1.4724885690835432,3.7209379788289896,0.19633022750607648
42,6,C1,P,N,twice_cross,0.2371570110464145,3.7209379788289896,0.19633022750607648
42,6,C1,P,D,twice_cross,1.4870882388714717,3.7209379788289896,0.19633022750607648
42,6,C1,P,R,twice_cross,-0.07306607174403908,3.7209379788289896,0.19633022750607648
42,6,C1,P,b,twice_cross,0.000153678777178112,3.7209379788289896,0.19633022750607648
42,6,C1,N,N,square,0.057262183949141954,3.7209379788289896,0.19633022750607648
42,6,C1,N,D,twice_cross,0.05244187931175058,3.7209379788289896,0.19633022750607648
42,6,C1,N,R,twice_cross,-0.011283389807696852,3.7209379788289896,0.19633022750607648
42,6,C1,N,b,twice_cross,-0.00017941343659915278,3.7209379788289896,0.19633022750607648
42,6,C1,D,D,square,0.547443280241915,3.7209379788289896,0.19633022750607648
42,6,C1,D,R,twice_cross,-0.05679184318540495,3.7209379788289896,0.19633022750607648
42,6,C1,D,b,twice_cross,4.495859508774369e-05,3.7209379788289896,0.19633022750607648
42,6,C1,R,R,square,0.005487604154658113,3.7209379788289896,0.19633022750607648
42,6,C1,R,b,twice_cross,4.1514030134011717e-05,3.7209379788289896,0.19633022750607648
42,6,C1,b,b,square,0.00264977894143456,3.7209379788289896,0.19633022750607648
42,6,C3,P,P,square,1.2973389816052443,3.351009628134694,0.19142904224537402
42,6,C3,P,N,twice_cross,0.22994954589361072,3.351009628134694,0.19142904224537402
42,6,C3,P,D,twice_cross,1.3171377874090058,3.351009628134694,0.19142904224537402
42,6,C3,P,R,twice_cross,-0.06679663353705957,3.351009628134694,0.19142904224537402
42,6,C3,P,b,twice_cross,-0.0007766103032793798,3.351009628134694,0.19142904224537402
42,6,C3,N,N,square,0.05566850378493386,3.351009628134694,0.19142904224537402
42,6,C3,N,D,twice_cross,0.05309278458721629,3.351009628134694,0.19142904224537402
42,6,C3,N,R,twice_cross,-0.011307110598829252,3.351009628134694,0.19142904224537402
42,6,C3,N,b,twice_cross,-0.00021414296111742817,3.351009628134694,0.19142904224537402
42,6,C3,D,D,square,0.5239746787948072,3.351009628134694,0.19142904224537402
42,6,C3,D,R,twice_cross,-0.054844387148342735,3.351009628134694,0.19142904224537402
42,6,C3,D,b,twice_cross,-0.0004552720917496068,3.351009628134694,0.19142904224537402
42,6,C3,R,R,square,0.005353483790942654,3.351009628134694,0.19142904224537402
42,6,C3,R,b,twice_cross,7.224060210138177e-05,3.351009628134694,0.19142904224537402
42,6,C3,b,b,square,0.002815778307209726,3.351009628134694,0.19142904224537402
42,6,main,P,P,square,1.2973389816052443,3.351009628134694,0.19142904224537402
42,6,main,P,N,twice_cross,0.22994954589361072,3.351009628134694,0.19142904224537402
42,6,main,P,D,twice_cross,1.3171377874090058,3.351009628134694,0.19142904224537402
42,6,main,P,R,twice_cross,-0.06679663353705957,3.351009628134694,0.19142904224537402
42,6,main,P,b,twice_cross,-0.0007766103032793798,3.351009628134694,0.19142904224537402
42,6,main,N,N,square,0.05566850378493386,3.351009628134694,0.19142904224537402
42,6,main,N,D,twice_cross,0.05309278458721629,3.351009628134694,0.19142904224537402
42,6,main,N,R,twice_cross,-0.011307110598829252,3.351009628134694,0.19142904224537402
42,6,main,N,b,twice_cross,-0.00021414296111742817,3.351009628134694,0.19142904224537402
42,6,main,D,D,square,0.5239746787948072,3.351009628134694,0.19142904224537402
42,6,main,D,R,twice_cross,-0.054844387148342735,3.351009628134694,0.19142904224537402
42,6,main,D,b,twice_cross,-0.0004552720917496068,3.351009628134694,0.19142904224537402
42,6,main,R,R,square,0.005353483790942654,3.351009628134694,0.19142904224537402
42,6,main,R,b,twice_cross,7.224060210138177e-05,3.351009628134694,0.19142904224537402
42,6,main,b,b,square,0.002815778307209726,3.351009628134694,0.19142904224537402
42,24,C1,P,P,square,0.8525091047783212,2.0685730828839315,0.17254221437654135
42,24,C1,P,N,twice_cross,0.2082093413161371,2.0685730828839315,0.17254221437654135
42,24,C1,P,D,twice_cross,0.733653566643907,2.0685730828839315,0.17254221437654135
42,24,C1,P,R,twice_cross,-0.04312141700004307,2.0685730828839315,0.17254221437654135
42,24,C1,P,b,twice_cross,0.00041235019612318754,2.0685730828839315,0.17254221437654135
42,24,C1,N,N,square,0.05060447230999428,2.0685730828839315,0.17254221437654135
42,24,C1,N,D,twice_cross,0.045576419453122116,2.0685730828839315,0.17254221437654135
42,24,C1,N,R,twice_cross,-0.009766427382571613,2.0685730828839315,0.17254221437654135
42,24,C1,N,b,twice_cross,-0.0001438492535934176,2.0685730828839315,0.17254221437654135
