split_seed,horizon,space,group_type,group,n,rmse,mae,sse,bias,truth_q00,truth_q50,truth_q90,truth_q95,truth_q99,truth_q100,truth_mean,truth_variance,truth_zero_fraction,prediction_q00,prediction_q50,prediction_q90,prediction_q95,prediction_q99,prediction_q100,prediction_mean,prediction_variance,prediction_zero_fraction,negative_fraction,above_one_fraction,underestimated_sse,overestimated_sse,tp,fp,fn,tn,precision,recall,sse_fraction_of_full
42,1,model_raw,all,all,34177,0.004302055954769182,0.0009229222912678322,0.6325371652133293,7.3550441095002345e-06,0.0,0.0,0.000574911,0.002088187,0.011858698559999919,0.243055556,0.0005961351439272024,2.0356924792160774e-05,0.6062849284606607,-0.0025476529609300483,0.0001303769303519182,0.0017751111505515471,0.0028772801391069693,0.006611529683431015,0.02724948588800509,0.0006034901880367027,2.003277317783535e-06,0.0,0.2423559703894432,0.0,0.584624949270427,0.04791221594290222,1451.0,4515.0,1156.0,27055.0,0.24321153201475026,0.556578442654392,1.0
42,1,model_raw,common_target,120_215,22944,0.0034797325261943656,0.0007210026372634504,0.27781830628524956,2.397242739363287e-05,0.0,0.0,0.000321247,0.001331103,0.008993226079999996,0.20429983,0.0004309970198308926,1.2856811809483623e-05,0.6221670153417015,-0.001956883405568905,9.394952045572828e-05,0.001344654003392671,0.0022610641297026437,0.005262009178442452,0.01947538469634592,0.00045496944722452553,1.1710517384788501e-06,0.0,0.2683490237099024,0.0,0.2584320040827182,0.019386302202531392,637.0,2477.0,687.0,19143.0,0.20456005138086064,0.4811178247734139,0.43921262111381654
42,1,model_raw,target_window,73_76,956,0.013326959740625664,0.0024622985564989766,0.16979311026741398,-0.0003615077648827127,0.0,0.0,0.0008750405,0.004604131,0.037974659650000686,0.243055556,0.001765481563807531,0.0002023379895844553,0.6370292887029289,-0.0014903363225364518,0.00030155162420088743,0.003521127551130458,0.007200242499343532,0.017086923557837752,0.02724948588800509,0.0014039737989248189,1.026503676618806e-05,0.0,0.23117154811715482,0.0,0.16320550909125034,0.006587601176163645,63.0,234.0,30.0,629.0,0.21212121212121213,0.6774193548387096,0.26843183231794704
42,1,model_raw,target_window,77_95,4541,0.0034941427937074296,0.0008114492705705622,0.05544122277105456,2.2344152187309624e-05,0.0,0.0,0.000571204,0.001477741,0.007828341,0.101808033,0.00047322181259634434,1.1968761536880923e-05,0.6009689495705791,-0.0025476529609300483,0.0001650357936985239,0.001376378827738346,0.002073838673981004,0.004983832762474469,0.0152802299593821,0.000495565964783654,1.0766704373853308e-06,0.0,0.16890552741686854,0.0,0.05070302534546581,0.004738197425588737,102.0,578.0,211.0,3650.0,0.15,0.3258785942492013,0.08764895696264183
42,1,model_raw,target_window,96_143,11472,0.0046404415596833296,0.0015797281060850159,0.24703458195128947,9.610589231611475e-06,0.0,0.0,0.0021381336999999993,0.0052649688499999785,0.020622357989999753,0.106233062,0.0011250934055962345,2.452094413705301e-05,0.5043584379358438,-0.001956883405568905,0.0004933932275508416,0.0030850773369394493,0.004636542910915679,0.008546858857321865,0.025746291060878786,0.001134703994827846,3.5199347513639056e-06,0.0,0.15193514644351463,0.0,0.2167437749192576,0.030290807032031873,1166.0,2641.0,553.0,7112.0,0.3062779091147885,0.6783013379872018,0.39054556085724174
42,1,model_raw,target_window,144_215,17208,0.0030518174294141918,0.00042894733600531466,0.16026825022357122,2.2388266562682643e-05,0.0,0.0,0.000127093,0.000429744,0.003361723,0.20429983,0.000210968075255695,9.269559113454903e-06,0.673930729893073,-0.001110095396262152,4.8819892732430184e-05,0.0007163042993669897,0.0013060501639422905,0.0030631548743274336,0.01399291971985019,0.00023335634181837766,4.13910277921769e-07,0.0,0.32264063226406325,0.0,0.1539726399144532,0.006295610309117969,120.0,1062.0,362.0,15664.0,0.10152284263959391,0.24896265560165975,0.2533736498621693
42,1,model_raw,candidate_count,1,1195,0.012054839265728342,0.0022408825125555917,0.17365638391844226,-0.00026470120941698256,0.0,0.0,0.0008819450000000094,0.00426377429999999,0.0314907141399997,0.243055556,0.0015661241163179918,0.00016528741509141338,0.6234309623430963,-0.0014903363225364518,0.00030425196895853175,0.00302423275870912,0.006441992516041912,0.016634934668816145,0.02724948588800509,0.0013014229069010091,8.775916479677462e-06,0.0,0.2217573221757322,0.0,0.1665322864777512,0.0071240974406910846,76.0,294.0,41.0,784.0,0.20540540540540542,0.6495726495726496,0.27453941597230097
42,1,model_raw,candidate_count,2,4302,0.0034625562048694104,0.0007812398780032572,0.051577949120026265,1.6778548839608063e-05,0.0,0.0,0.00055871,0.001455474,0.007652376,0.101808033,0.00045680667294281733,1.172355920499535e-05,0.602742910274291,-0.0025476529609300483,0.00016144915221298224,0.001309713240619163,0.0019666239718112233,0.004480419237952666,0.0152802299593821,0.0004735852217824253,9.823554632375974e-07,0.0,0.16806136680613668,0.0,0.04737624795896496,0.0042017011610612975,89.0,518.0,200.0,3495.0,0.14662273476112025,0.3079584775086505,0.08154137330828791
42,1,model_raw,candidate_count,3,5736,0.004751211507571637,0.001562287671132174,0.12948452588961104,-9.503731423260624e-06,0.0,0.0,0.002130512,0.005372811,0.020808116,0.096087999,0.0011591029576359835,2.600195791468683e-05,0.5418410041841004,-0.0015575395067093133,0.00038822488645762204,0.003336330020713949,0.00492346127594179,0.009300123229637497,0.025746291060878786,0.0011495992262127227,4.1862980685947775e-06,0.0,0.1983960948396095,0.0,0.11228441075099262,0.01720011513861845,649.0,1226.0,228.0,3633.0,0.34613333333333335,0.7400228050171037,0.20470658960559437
42,1,model_raw,candidate_count,4,22944,0.0034797325261943656,0.0007210026372634504,0.27781830628524956,2.397242739363287e-05,0.0,0.0,0.000321247,0.001331103,0.008993226079999996,0.20429983,0.0004309970198308926,1.2856811809483623e-05,0.6221670153417015,-0.001956883405568905,9.394952045572828e-05,0.001344654003392671,0.0022610641297026437,0.005262009178442452,0.01947538469634592,0.00045496944722452553,1.1710517384788501e-06,0.0,0.2683490237099024,0.0,0.2584320040827182,0.019386302202531392,637.0,2477.0,687.0,19143.0,0.20456005138086064,0.4811178247734139,0.43921262111381654
