split_seed,start,end,candidate_count,source_a,source_b,n,cross_mean,weight,weighted_cross_mean,correlation,source_a_bias,source_b_bias,aligned_mse
42,73,77,1,1,1,1195,0.0001452613185108849,1.0,0.0001452613185108849,1.0,-0.00020945674938470886,-0.00020945674938470886,0.0001452613185108849
42,78,95,2,1,1,4302,1.1977559254726658e-05,0.25,2.9943898136816645e-06,1.0,3.7925097378687965e-05,3.7925097378687965e-05,1.1819895976553018e-05
42,78,95,2,1,6,4302,1.1683858370241163e-05,0.25,2.9209645925602906e-06,0.9772582449907238,3.7925097378687965e-05,5.8447976454698834e-05,1.1819895976553018e-05
42,78,95,2,6,1,4302,1.1683858370241163e-05,0.25,2.9209645925602906e-06,0.9772582449907237,5.8447976454698834e-05,3.7925097378687965e-05,1.1819895976553018e-05
42,78,95,2,6,6,4302,1.193430791100309e-05,0.25,2.9835769777507727e-06,0.9999999999999999,5.8447976454698834e-05,5.8447976454698834e-05,1.1819895976553018e-05
42,96,119,3,1,1,5736,2.254764656529641e-05,0.1111111111111111,2.505294062810712e-06,1.0,2.0419042071945976e-05,2.0419042071945976e-05,2.2599183396322032e-05
42,96,119,3,1,6,5736,2.2313687620024845e-05,0.1111111111111111,2.479298624447205e-06,0.970318995861945,2.0419042071945976e-05,5.7475781541876695e-05,2.2599183396322032e-05
42,96,119,3,1,24,5736,2.212022385589239e-05,0.1111111111111111,2.45780265065471e-06,0.9695061864794486,2.0419042071945976e-05,9.008321848003652e-05,2.2599183396322032e-05
42,96,119,3,6,1,5736,2.2313687620024845e-05,0.1111111111111111,2.479298624447205e-06,0.9703189958619451,5.7475781541876695e-05,2.0419042071945976e-05,2.2599183396322032e-05
42,96,119,3,6,6,5736,2.3455026558529473e-05,0.1111111111111111,2.60611406205883e-06,1.0,5.7475781541876695e-05,5.7475781541876695e-05,2.2599183396322032e-05
42,96,119,3,6,24,5736,2.2714983029061662e-05,0.1111111111111111,2.5238870032290733e-06,0.9760449319406234,5.7475781541876695e-05,9.008321848003652e-05,2.2599183396322032e-05
42,96,119,3,24,1,5736,2.212022385589239e-05,0.1111111111111111,2.45780265065471e-06,0.9695061864794485,9.008321848003652e-05,2.0419042071945976e-05,2.2599183396322032e-05
42,96,119,3,24,6,5736,2.2714983029061662e-05,0.1111111111111111,2.5238870032290733e-06,0.9760449319406234,9.008321848003652e-05,5.7475781541876695e-05,2.2599183396322032e-05
42,96,119,3,24,24,5736,2.309218843311465e-05,0.1111111111111111,2.5657987147905166e-06,0.9999999999999998,9.008321848003652e-05,9.008321848003652e-05,2.2599183396322032e-05
42,120,215,4,1,1,22944,1.2087434741694868e-05,0.0625,7.554646713559292e-07,0.9999999999999999,5.269514679832795e-05,5.269514679832795e-05,1.1940318041268418e-05
42,120,215,4,1,6,22944,1.1857476366513872e-05,0.0625,7.41092272907117e-07,0.9735795643639332,5.269514679832795e-05,7.181943718639818e-05,1.1940318041268418e-05
42,120,215,4,1,24,22944,1.1852131029311424e-05,0.0625,7.40758189331964e-07,0.9747337288147505,5.269514679832795e-05,5.76304194761525e-05,1.1940318041268418e-05
42,120,215,4,1,48,22944,1.1772637713686084e-05,0.0625,7.357898571053803e-07,0.9734202061639922,5.269514679832795e-05,1.9492325763659062e-05,1.1940318041268418e-05
42,120,215,4,6,1,22944,1.1857476366513872e-05,0.0625,7.41092272907117e-07,0.9735795643639332,7.181943718639818e-05,5.269514679832795e-05,1.1940318041268418e-05
42,120,215,4,6,6,22944,1.2271921836295848e-05,0.0625,7.669951147684905e-07,1.0,7.181943718639818e-05,7.181943718639818e-05,1.1940318041268418e-05
42,120,215,4,6,24,22944,1.1925081980577629e-05,0.0625,7.453176237861018e-07,0.9733378989103931,7.181943718639818e-05,5.76304194761525e-05,1.1940318041268418e-05
42,120,215,4,6,48,22944,1.186136468975092e-05,0.0625,7.413352931094325e-07,0.973419517117677,7.181943718639818e-05,1.9492325763659062e-05,1.1940318041268418e-05
42,120,215,4,24,1,22944,1.1852131029311424e-05,0.0625,7.40758189331964e-07,0.9747337288147505,5.76304194761525e-05,5.269514679832795e-05,1.1940318041268418e-05
42,120,215,4,24,6,22944,1.1925081980577629e-05,0.0625,7.453176237861018e-07,0.9733378989103932,5.76304194761525e-05,7.181943718639818e-05,1.1940318041268418e-05
42,120,215,4,24,24,22944,1.2231561205128354e-05,0.0625,7.644725753205221e-07,0.9999999999999999,5.76304194761525e-05,5.76304194761525e-05,1.1940318041268418e-05
42,120,215,4,24,48,22944,1.1907488655207982e-05,0.0625,7.442180409504989e-07,0.9787660117561477,5.76304194761525e-05,1.9492325763659062e-05,1.1940318041268418e-05
42,120,215,4,48,1,22944,1.1772637713686084e-05,0.0625,7.357898571053803e-07,0.9734202061639922,1.9492325763659062e-05,5.269514679832795e-05,1.1940318041268418e-05
42,120,215,4,48,6,22944,1.186136468975092e-05,0.0625,7.413352931094325e-07,0.973419517117677,1.9492325763659062e-05,7.181943718639818e-05,1.1940318041268418e-05
42,120,215,4,48,24,22944,1.1907488655207982e-05,0.0625,7.442180409504989e-07,0.9787660117561477,1.9492325763659062e-05,5.76304194761525e-05,1.1940318041268418e-05
42,120,215,4,48,48,22944,1.2101810007079798e-05,0.0625,7.563631254424874e-07,1.0,1.9492325763659062e-05,1.9492325763659062e-05,1.1940318041268418e-05
