split_seed,horizon,space,group_type,group,n,rmse,mae,sse,bias,truth_q00,truth_q50,truth_q90,truth_q95,truth_q99,truth_q100,truth_mean,truth_variance,truth_zero_fraction,prediction_q00,prediction_q50,prediction_q90,prediction_q95,prediction_q99,prediction_q100,prediction_mean,prediction_variance,prediction_zero_fraction,negative_fraction,above_one_fraction,underestimated_sse,overestimated_sse,tp,fp,fn,tn,precision,recall,sse_fraction_of_full
42,1,model_raw,all,all,34177,0.004302055954769182,0.0009229222912678322,0.6325371652133293,7.3550441095002345e-06,0.0,0.0,0.000574911,0.002088187,0.011858698559999919,0.243055556,0.0005961351439272024,2.0356924792160774e-05,0.6062849284606607,-0.0025476529609300483,0.0001303769303519182,0.0017751111505515471,0.0028772801391069693,0.006611529683431015,0.02724948588800509,0.0006034901880367027,2.003277317783535e-06,0.0,0.2423559703894432,0.0,0.584624949270427,0.04791221594290222,1451.0,4515.0,1156.0,27055.0,0.24321153201475026,0.556578442654392,1.0
42,1,model_raw,common_target,120_215,22944,0.0034797325261943656,0.0007210026372634504,0.27781830628524956,2.397242739363287e-05,0.0,0.0,0.000321247,0.001331103,0.008993226079999996,0.20429983,0.0004309970198308926,1.2856811809483623e-05,0.6221670153417015,-0.001956883405568905,9.394952045572828e-05,0.001344654003392671,0.0022610641297026437,0.005262009178442452,0.01947538469634592,0.00045496944722452553,1.1710517384788501e-06,0.0,0.2683490237099024,0.0,0.2584320040827182,0.019386302202531392,637.0,2477.0,687.0,19143.0,0.20456005138086064,0.4811178247734139,0.43921262111381654
42,1,model_raw,target_window,73_76,956,0.013326959740625664,0.0024622985564989766,0.16979311026741398,-0.0003615077648827127,0.0,0.0,0.0008750405,0.004604131,0.037974659650000686,0.243055556,0.001765481563807531,0.0002023379895844553,0.6370292887029289,-0.0014903363225364518,0.00030155162420088743,0.003521127551130458,0.007200242499343532,0.017086923557837752,0.02724948588800509,0.0014039737989248189,1.026503676618806e-05,0.0,0.23117154811715482,0.0,0.16320550909125034,0.006587601176163645,63.0,234.0,30.0,629.0,0.21212121212121213,0.6774193548387096,0.26843183231794704
42,1,model_raw,target_window,77_95,4541,0.0034941427937074296,0.0008114492705705622,0.05544122277105456,2.2344152187309624e-05,0.0,0.0,0.000571204,0.001477741,0.007828341,0.101808033,0.00047322181259634434,1.1968761536880923e-05,0.6009689495705791,-0.0025476529609300483,0.0001650357936985239,0.001376378827738346,0.002073838673981004,0.004983832762474469,0.0152802299593821,0.000495565964783654,1.0766704373853308e-06,0.0,0.16890552741686854,0.0,0.05070302534546581,0.004738197425588737,102.0,578.0,211.0,3650.0,0.15,0.3258785942492013,0.08764895696264183
42,1,model_raw,target_window,96_143,11472,0.0046404415596833296,0.0015797281060850159,0.24703458195128947,9.610589231611475e-06,0.0,0.0,0.0021381336999999993,0.0052649688499999785,0.020622357989999753,0.106233062,0.0011250934055962345,2.452094413705301e-05,0.5043584379358438,-0.001956883405568905,0.0004933932275508416,0.0030850773369394493,0.004636542910915679,0.008546858857321865,0.025746291060878786,0.001134703994827846,3.5199347513639056e-06,0.0,0.15193514644351463,0.0,0.2167437749192576,0.030290807032031873,1166.0,2641.0,553.0,7112.0,0.3062779091147885,0.6783013379872018,0.39054556085724174
42,1,model_raw,target_window,144_215,17208,0.0030518174294141918,0.00042894733600531466,0.16026825022357122,2.2388266562682643e-05,0.0,0.0,0.000127093,0.000429744,0.003361723,0.20429983,0.000210968075255695,9.269559113454903e-06,0.673930729893073,-0.001110095396262152,4.8819892732430184e-05,0.0007163042993669897,0.0013060501639422905,0.0030631548743274336,0.01399291971985019,0.00023335634181837766,4.13910277921769e-07,0.0,0.32264063226406325,0.0,0.1539726399144532,0.006295610309117969,120.0,1062.0,362.0,15664.0,0.10152284263959391,0.24896265560165975,0.2533736498621693
42,1,model_raw,fold,0,6864,0.0019635577447230093,0.0007575146475715078,0.026464557091738776,0.00023617138532743885,0.0,0.0,0.0004087813999999999,0.001632957499999997,0.007652376,0.046462723,0.0003539331413170163,3.596144640234329e-06,0.6162587412587412,-0.001956883405568905,0.00014048176683730294,0.00175602340638237,0.0027402846699589294,0.006978265658406789,0.02724948588800509,0.0005901045266444552,2.254694454462669e-06,0.0,0.32094988344988346,0.0,0.015339285302671948,0.011125271789066828,226.0,969.0,184.0,5485.0,0.1891213389121339,0.551219512195122,0.041838738570900175
42,1,model_raw,fold,1,6721,0.0032504660082425894,0.0009254169011502096,0.07101092222864698,-1.0851934790161439e-05,0.0,0.0,0.00065934,0.001991757,0.014021061,0.080875238,0.0006138736387442345,1.2472103792488244e-05,0.5668799285820563,-0.0007956354598234506,0.00015113876274943874,0.001817073352310849,0.0027993350137519427,0.005575752547083583,0.017468493980094712,0.0006030217039540731,1.3289662032202908e-06,0.0,0.2770421068293409,0.0,0.06402628551586134,0.006984636712785649,315.0,1007.0,235.0,5164.0,0.23827534039334342,0.5727272727272728,0.1122636362476786
42,1,model_raw,fold,2,6864,0.005733466724227489,0.0010665831975900089,0.22563780561258331,-5.66531199646039e-05,0.0,0.0,0.0006092300999999997,0.0026060244999999873,0.01289085589999996,0.20429983,0.000731896268939394,3.5650353312272857e-05,0.6142191142191142,-0.0025476529609300483,0.00012414799178718012,0.0019393257868427426,0.003291633085579289,0.007554744382184667,0.02292259070478859,0.0006752431489747901,2.6883436227014134e-06,0.0,0.16885198135198135,0.0,0.2128439096361201,0.01279389597646315,336.0,926.0,225.0,5377.0,0.2662440570522979,0.5989304812834224,0.35671865310314976
42,1,model_raw,fold,3,6864,0.005649982487702738,0.0010322860527492525,0.21911468169229,-3.055730009036838e-05,0.0,0.0,0.0006188556999999998,0.002217717,0.012481962,0.243055556,0.0006689281006701632,3.512715558914826e-05,0.6165501165501166,-0.0011334383348938167,0.00010461474784374818,0.0020696397804952126,0.0032588419225873942,0.0071034837715379185,0.025746291060878786,0.0006383708005797949,2.3417624067230332e-06,0.0,0.34513403263403264,0.0,0.20809211299248823,0.011022568699801855,320.0,968.0,224.0,5352.0,0.2484472049689441,0.5882352941176471,0.34640601966588236
