split_seed,horizon,space,fipsCode,countyName,stateAbbr,fold,n,rmse,mae,sse,bias,weighted_N_sse
42,1,model_raw,18009,Blackford County,IN,0,143,0.0009887922324132673,0.0006249633795053301,0.00013981254127995628,0.00029246317822811843,1.712703630679464e-05
42,1,model_raw,18013,Brown County,IN,1,143,0.010333905124111201,0.0033094627645448888,0.015270912101320836,-0.002187011089819134,0.0018706867324118023
42,1,model_raw,18023,Clinton County,IN,3,143,0.0008673276735763529,0.0004126172980453878,0.00010757279294924571,0.00025180520800360926,1.3177667136282598e-05
42,1,model_raw,18025,Crawford County,IN,2,143,0.01105089517122228,0.002380998872384071,0.01746348662420418,-0.0012458359529158552,0.002139277111465012
42,1,model_raw,18027,Daviess County,IN,2,143,0.0012788251000636886,0.000388161517981792,0.0002338612900270651,0.00019723337631216567,2.8648008028315474e-05
42,1,model_raw,18029,Dearborn County,IN,1,143,0.00074628912834036,0.0003208050893511646,7.964348722029903e-05,0.00015493763813901294,9.75632718448663e-06
42,1,model_raw,18033,DeKalb County,IN,1,143,0.0019154188767841647,0.0005308256179513397,0.000524642614716379,-0.0003102553558987275,6.426872030275642e-05
42,1,model_raw,18035,Delaware County,IN,1,143,0.0009990520829621487,0.0004251232160525656,0.00014272902421935416,-4.381344594853537e-05,1.7484305466870884e-05
42,1,model_raw,18037,Dubois County,IN,3,143,0.0020008875581487896,0.0007622070540583856,0.0005725077959107113,0.00030855086332564176,7.013220499906213e-05
42,1,model_raw,18039,Elkhart County,IN,4,143,0.0006610982401062601,0.00046774950121114604,6.2498276279238e-05,0.00038176705342576325,7.656038844206654e-06
42,1,model_raw,18041,Fayette County,IN,2,143,0.0020634907718583037,0.0008430448712534235,0.0006088931656728461,-8.376094923721632e-05,7.458941279492364e-05
42,1,model_raw,18043,Floyd County,IN,4,143,0.0009737287490869477,0.0004271967740659827,0.00013558511778217583,7.863073535333371e-05,1.6609176928316537e-05
42,1,model_raw,18045,Fountain County,IN,3,143,0.0020123914851844587,0.0009128784090969601,0.0005791098870189361,0.0006713211854463179,7.094096115981967e-05
42,1,model_raw,18047,Franklin County,IN,4,143,0.0032435428367909285,0.0009967020989817032,0.001504441529175978,2.8433762577118883e-05,0.0001842940873240573
42,1,model_raw,18051,Gibson County,IN,1,143,0.0006159531613820581,0.0002284839178443384,5.4253956473366896e-05,2.2226384673084817e-07,6.646109667987444e-06
42,1,model_raw,18059,Hancock County,IN,3,143,0.0011612353398126848,0.00034127790984135256,0.00019283085456347314,-5.2263417538911314e-05,2.3621779684025455e-05
42,1,model_raw,18061,Harrison County,IN,3,143,0.0025558593756798663,0.0009597737884733434,0.0009341356521998465,-0.00027999073557766186,0.00011443161739448119
42,1,model_raw,18065,Henry County,IN,3,143,0.0013056279276230194,0.00044382340102476383,0.0002437669928106528,-8.860306049741738e-05,2.9861456619304966e-05
42,1,model_raw,18067,Howard County,IN,2,143,0.001241558088602261,0.00041014618229600805,0.000220429707694439,-0.00014499841586277976,2.7002639192568774e-05
42,1,model_raw,18069,Huntington County,IN,0,143,0.0006756253843953247,0.00031334181954427025,6.527516138562421e-05,0.00010329529076279685,7.996207269738966e-06
42,1,model_raw,18071,Jackson County,IN,0,143,0.0026575065100755274,0.0008764153327347234,0.001009914741706415,0.000826719898463652,0.00012371455585903583
42,1,model_raw,18073,Jasper County,IN,2,143,0.0016207744578848762,0.000954832828488924,0.0003756481075964781,0.0009411167380233584,4.6016893180568557e-05
42,1,model_raw,18077,Jefferson County,IN,2,143,0.0026713691340039276,0.0007721412259667192,0.0010204784661655712,-0.0002552022113748752,0.00012500861210528247
42,1,model_raw,18083,Knox County,IN,2,143,0.00112679926198302,0.0004945064960893201,0.00018156375048318347,0.00025269454392097253,2.224155943418997e-05
42,1,model_raw,18085,Kosciusko County,IN,3,143,0.00070791639131367,0.00037988873252193525,7.166382324395138e-05,0.00024151640376915455,8.778818347384043e-06
42,1,model_raw,18087,LaGrange County,IN,2,143,0.0007734995820004672,0.0004401649914439518,8.555712927975035e-05,0.00031918989223140117,1.0480748336769416e-05
42,1,model_raw,18089,Lake County,IN,4,143,0.0005181213262715225,0.0002677476309287599,3.83883083494427e-05,0.000250689584794882,4.70256777280673e-06
42,1,model_raw,18091,LaPorte County,IN,0,143,0.000914868582580761,0.000436590510854156,0.00011968878684524626,-4.877467598377157e-05,1.4661876388542665e-05
42,1,model_raw,18093,Lawrence County,IN,1,143,0.005670569832421278,0.001517651263626117,0.004598216798084377,-0.001160135011559395,0.0005632815577653361
42,1,model_raw,18095,Madison County,IN,0,143,0.001004158443350889,0.00036671307861822116,0.00014419178764746188,1.8058302460166662e-06,1.7663493986814077e-05
42,1,model_raw,18097,Marion County,IN,1,143,0.00044683091352008326,0.00021513810985284215,2.8551074734638472e-05,0.0001116202788126485,3.4975066549932124e-06
42,1,model_raw,18099,Marshall County,IN,3,143,0.006393838088501808,0.0018364824862690528,0.005846006666782632,-0.0013063651529659124,0.0007161358166808722
42,1,model_raw,18101,Martin County,IN,4,143,0.0023640851950387253,0.0009089166673384051,0.0007992125297443842,9.343512087460433e-05,9.790353489368706e-05
42,1,model_raw,18103,Miami County,IN,0,143,0.0011485789443115959,0.0005747302808040339,0.00018865040355817936,0.0003636656181450623,2.310967443587697e-05
42,1,model_raw,18105,Monroe County,IN,3,143,0.0012058162170483877,0.00042530474073233066,0.00020792096314945443,-0.00014023832924536152,2.5470317985808165e-05
42,1,model_raw,18107,Montgomery County,IN,1,143,0.000522771952417879,0.00029812880528055376,3.908054353557657e-05,0.00013886241641110263,4.787366583108129e-06
