split_seed,horizon,scenario,group_type,group,fipsCode,countyName,stateAbbr,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
42,1,O_N_all,county,18009,18009,Blackford County,IN,0.0,143,0.005936635063110305,0.0032485902280066183,0.00503983992977475,0.001134706876006752,0.005920020362130476,1.6614700979829602e-05,0.2806527674484194,-2.8170254185109697e-05
42,1,O_N_all,county,18013,18013,Brown County,IN,1.0,143,0.026826076706597517,0.01224560396259757,0.1029082899799603,-0.008025712572561539,0.02892942207308759,-0.002103345366490074,-7.270609696855201,0.016770049012086896
42,1,O_N_all,county,18023,18023,Clinton County,IN,3.0,143,0.00157812110387074,0.0006339711131441625,0.00035613666924295506,0.0005794400768761535,0.0018709714518135687,-0.0002928503479428287,-15.65231514670965,0.00014443971756774134
42,1,O_N_all,county,18025,18025,Crawford County,IN,2.0,143,0.009305400636737935,0.0016316987687678096,0.012382438784458993,-0.0009156736396824946,0.011956636536472507,-0.0026512358997345716,-22.173760084177896,0.00806100670448024
42,1,O_N_all,county,18027,18027,Daviess County,IN,2.0,143,0.0034351577704094323,0.0014257153519788095,0.0016874441737874154,0.0014063396049255063,0.0037118441857143286,-0.0002766864153048963,-7.454149513327413,0.0002827794042526259
42,1,O_N_all,county,18029,18029,Dearborn County,IN,1.0,143,0.0012132658593039052,0.00038546456747038017,0.0002104980084853994,-5.691681690862215e-05,0.0013874356988604448,-0.00017416983955653958,-12.553362991855554,6.477381955614955e-05
42,1,O_N_all,county,18033,18033,DeKalb County,IN,1.0,143,0.002788431246227075,0.0011811990447124436,0.0011118748805357729,-0.0008813490281286263,0.0032689874273658212,-0.0004805561811387464,-14.700459754474583,0.000416262987903667
42,1,O_N_all,county,18035,18035,Delaware County,IN,1.0,143,0.0018357225001942859,0.0008888971263440715,0.00048189242497389704,-0.000676449004143975,0.0020362858677457924,-0.00020056336755150655,-9.84947009299505,0.00011105137435701948
42,1,O_N_all,county,18037,18037,Dubois County,IN,3.0,143,0.002169925445559581,0.0008999029915787098,0.0006733264308180334,0.0006792697217528743,0.0026709344281253453,-0.0005010089825657643,-18.75781663862892,0.00034681994204833935
42,1,O_N_all,county,18039,18039,Elkhart County,IN,4.0,143,0.001613538547704402,0.0011522817584172403,0.0003723014502247085,0.0011167595402547812,0.001812347946695431,-0.0001988093989910289,-10.969714692674259,9.739707619972523e-05
