scope,fold,lead_hours,weight,objective_value
outer,0,1,0.15,0.9974295381925394
outer,0,6,0.15,0.9974295381925394
outer,0,24,0.4,0.9974295381925394
outer,0,48,0.3,0.9974295381925394
outer,1,1,0.05,0.9937265003568134
outer,1,6,0.15,0.9937265003568134
outer,1,24,0.3,0.9937265003568134
outer,1,48,0.5,0.9937265003568134
outer,2,1,0.1,0.9976363288572302
outer,2,6,0.25,0.9976363288572302
outer,2,24,0.4,0.9976363288572302
outer,2,48,0.25,0.9976363288572302
outer,3,1,0.05,0.9946285992364858
outer,3,6,0.15,0.9946285992364858
outer,3,24,0.35,0.9946285992364858
outer,3,48,0.45,0.9946285992364858
outer,4,1,0.05,0.9936037938512576
outer,4,6,0.15,0.9936037938512576
outer,4,24,0.2,0.9936037938512576
outer,4,48,0.6,0.9936037938512576
final,all,1,0.1,0.9962562114914255
final,all,6,0.15,0.9962562114914255
final,all,24,0.35,0.9962562114914255
final,all,48,0.4,0.9962562114914255
