horizon,model,rmse,mae,n,rmse_change_pct_vs_v1.12,mae_change_pct_vs_v1.12
osi_target_t01h,v1.12,0.011676613766703986,0.003502269606663691,34177,0.0,0.0
osi_target_t01h,weighted_alignment,0.011679455619117691,0.0035499865106126314,34177,0.0243379842006064,1.3624566155087114
osi_target_t01h,weighted_alignment_plus_tail,0.011679455619117691,0.0035499865106126314,34177,0.0243379842006064,1.3624566155087114
osi_target_t06h,v1.12,0.01032059984086345,0.003300881630204454,32982,0.0,0.0
osi_target_t06h,weighted_alignment,0.010323931443527511,0.0033503274074848776,32982,0.03228109524089362,1.4979566921750287
osi_target_t06h,weighted_alignment_plus_tail,0.010323931443527511,0.0033503274074848776,32982,0.03228109524089362,1.4979566921750287
osi_target_t24h,v1.12,0.008208972775349635,0.002576572092079163,28680,0.0,0.0
osi_target_t24h,weighted_alignment,0.008333180374143007,0.0028266226443578275,28680,1.5130711502217453,9.704776087863554
osi_target_t24h,weighted_alignment_plus_tail,0.008208972775349635,0.002576572092079163,28680,0.0,0.0
osi_target_t48h,v1.12,0.007550371388803473,0.0020489713484549915,22944,0.0,0.0
osi_target_t48h,weighted_alignment,0.00765069316338406,0.0022986963600347297,22944,1.3286998667291439,12.187823503146644
osi_target_t48h,weighted_alignment_plus_tail,0.007550371388803473,0.0020489713484549915,22944,0.0,0.0
