horizon,a_mse,b_mse,twice_cross_mean,P_mse
osi_target_t06h,8.134628688798933e-05,0.0001661584305814711,1.6474302712030293e-05,0.0002639790201814907
osi_target_t24h,5.670232367220808e-05,0.00014738523918157134,1.0277408134104961e-05,0.00021436497098788434
osi_target_t48h,2.3759369245646097e-05,0.00014579848135532977,7.4992637257277884e-06,0.0001770571143267036
