horizon,outer_fold,kind,best_iterations,requested_rounds,trees_saved,fit_seconds
osi_target_t06h,0,a,"67,98,118,49",83,83,7.655834911012789
osi_target_t06h,0,b,"229,560,10,345",286,286,18.34023827398778
osi_target_t06h,1,a,"110,130,75,26",85,85,7.734923340991372
osi_target_t06h,1,b,"155,394,7,215",192,192,14.059914348996244
osi_target_t06h,2,a,"108,57,206,24",98,98,8.258450492023258
osi_target_t06h,2,b,"88,173,13,278",138,138,11.397699366003508
osi_target_t06h,3,a,"136,63,248,23",117,117,9.185520271013957
osi_target_t06h,3,b,"132,88,815,466",375,375,22.632259549980517
osi_target_t06h,4,a,"180,47,106,45",94,94,8.521358204015996
osi_target_t06h,4,b,"207,310,492,33",260,260,17.41579424898373
osi_target_t24h,0,a,"27,448,91,16",145,145,9.095694168994669
osi_target_t24h,0,b,"206,600,7,394",301,301,17.283867946011014
osi_target_t24h,1,a,"71,116,192,17",99,99,7.407442281983094
osi_target_t24h,1,b,"259,467,8,226",240,240,14.552919292007573
osi_target_t24h,2,a,"120,32,789,20",240,240,12.11293905499042
osi_target_t24h,2,b,"85,220,4,439",187,187,11.800331222999375
osi_target_t24h,3,a,"60,50,259,10",94,94,7.297813955985475
osi_target_t24h,3,b,"90,32,615,388",281,281,16.065880565001862
osi_target_t24h,4,a,"67,19,229,35",87,87,7.338622308976483
osi_target_t24h,4,b,"299,179,846,7",332,332,18.019453744986095
osi_target_t48h,0,a,"27,16,30,23",24,24,3.9800242919882294
osi_target_t48h,0,b,"86,579,7,97",192,192,10.050664023990976
osi_target_t48h,1,a,"55,14,1188,48",326,326,11.984171533986228
osi_target_t48h,1,b,"178,589,19,234",255,255,12.52721021900652
osi_target_t48h,2,a,"29,23,409,44",126,126,6.924194716004422
osi_target_t48h,2,b,"24,13,7,465",127,127,7.6994961589807644
osi_target_t48h,3,a,"39,340,305,8",173,173,8.490954203007277
osi_target_t48h,3,b,"244,21,410,204",219,219,11.089719234994845
osi_target_t48h,4,a,"67,38,30,16",37,37,4.561346962000243
osi_target_t48h,4,b,"24,23,636,24",176,176,9.141354060004232
