case,horizon,fipsCode,countyName,stateAbbr,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
B0,osi_target_t01h,18009,Blackford County,IN,0,143,0.005920020362130476,0.003289980921675431,0.005011669675589641,0.0012663610728825593,0.005920020362130476,0.0,0.0,0.0
B0,osi_target_t01h,18013,Brown County,IN,1,143,0.02892942207308759,0.013086795663050937,0.1196783389920472,-0.00883089960290037,0.02892942207308759,0.0,0.0,0.0
B0,osi_target_t01h,18023,Clinton County,IN,3,143,0.0018709714518135687,0.0007642680706385558,0.0005005763868106963,0.0007195128258833109,0.0018709714518135687,0.0,0.0,0.0
B0,osi_target_t01h,18025,Crawford County,IN,2,143,0.011956636536472507,0.002201879568039453,0.02044344548893922,-0.0014064293729118553,0.011956636536472507,0.0,0.0,0.0
B0,osi_target_t01h,18027,Daviess County,IN,2,143,0.0037118441857143286,0.001501023229992251,0.0019702235780400413,0.0014802459090823867,0.0037118441857143286,0.0,0.0,0.0
B0,osi_target_t01h,18029,Dearborn County,IN,1,143,0.0013874356988604448,0.000438835473667201,0.000275271828041549,-4.3383343414849544e-05,0.0013874356988604448,0.0,0.0,0.0
B0,osi_target_t01h,18033,DeKalb County,IN,1,143,0.0032689874273658212,0.001292438163591561,0.0015281378684394407,-0.0009660952533432927,0.0032689874273658212,0.0,0.0,0.0
B0,osi_target_t01h,18035,Delaware County,IN,1,143,0.0020362858677457924,0.0009654424017327921,0.0005929437993309166,-0.0007320514888120178,0.0020362858677457924,0.0,0.0,0.0
B0,osi_target_t01h,18037,Dubois County,IN,3,143,0.002670934428125345,0.0011209974184737054,0.0010201463728663727,0.0007699484674247546,0.002670934428125345,0.0,0.0,0.0
B0,osi_target_t01h,18039,Elkhart County,IN,4,143,0.001812347946695431,0.0013517068509404262,0.0004696985264244337,0.0013035799005402379,0.001812347946695431,0.0,0.0,0.0
B0,osi_target_t01h,18041,Fayette County,IN,2,143,0.005191514340833857,0.00199334157074368,0.003854110424604954,-0.0016310979360344468,0.005191514340833857,0.0,0.0,0.0
B0,osi_target_t01h,18043,Floyd County,IN,4,143,0.002342864681478868,0.0009682367929838995,0.0007849291329481144,0.0005976418260228865,0.002342864681478868,0.0,0.0,0.0
B0,osi_target_t01h,18045,Fountain County,IN,3,143,0.002673688977713285,0.001054984581692016,0.001022251623185008,0.0010461818960392833,0.002673688977713285,0.0,0.0,0.0
B0,osi_target_t01h,18047,Franklin County,IN,4,143,0.0030368418454637894,0.001298324954490496,0.0013188044003934678,0.0005025661420977901,0.0030368418454637894,0.0,0.0,0.0
B0,osi_target_t01h,18051,Gibson County,IN,1,143,0.001304968760066729,0.0004166456517948553,0.00024352091545926373,3.835668534886598e-05,0.001304968760066729,0.0,0.0,0.0
B0,osi_target_t01h,18059,Hancock County,IN,3,143,0.0011545657820702159,0.0003482850148480878,0.00019062216675321954,0.00013653195905739783,0.0011545657820702159,0.0,0.0,0.0
B0,osi_target_t01h,18061,Harrison County,IN,3,143,0.004031089443652671,0.0016456254578180016,0.0023237045406901036,-0.00031974950350634895,0.004031089443652671,0.0,0.0,0.0
B0,osi_target_t01h,18065,Henry County,IN,3,143,0.002090814519442124,0.0007971059885740737,0.0006251252657235301,-0.00018096390941775938,0.002090814519442124,0.0,0.0,0.0
B0,osi_target_t01h,18067,Howard County,IN,2,143,0.0016802444956665718,0.00047092742368485434,0.0004037206838261472,-0.00013686088083142252,0.0016802444956665718,0.0,0.0,0.0
B0,osi_target_t01h,18069,Huntington County,IN,0,143,0.001111722540858171,0.0005546944277409663,0.0001767375621228571,-0.00017822136051809975,0.001111722540858171,0.0,0.0,0.0
B0,osi_target_t01h,18071,Jackson County,IN,0,143,0.0043979783478997935,0.0017561379398505581,0.0027659365374491413,0.0017351271475310021,0.0043979783478997935,0.0,0.0,0.0
B0,osi_target_t01h,18073,Jasper County,IN,2,143,0.003413545107665636,0.001987011995807175,0.001666277498895724,0.0017952705351189002,0.003413545107665636,0.0,0.0,0.0
B0,osi_target_t01h,18077,Jefferson County,IN,2,143,0.004745308799036806,0.0014437091453602584,0.003220067650544907,-0.0009214424215571967,0.004745308799036806,0.0,0.0,0.0
B0,osi_target_t01h,18083,Knox County,IN,2,143,0.00336750180348414,0.0016215472170729754,0.001621629780695058,0.0015152535107792692,0.00336750180348414,0.0,0.0,0.0
B0,osi_target_t01h,18085,Kosciusko County,IN,3,143,0.004227230301169601,0.0035654577172548178,0.0025553350707350794,0.003471861307511765,0.004227230301169601,0.0,0.0,0.0
B0,osi_target_t01h,18087,LaGrange County,IN,2,143,0.002415194423142503,0.0021981281381433532,0.0008341424665257467,0.00218461564534726,0.002415194423142503,0.0,0.0,0.0
B0,osi_target_t01h,18089,Lake County,IN,4,143,0.0026321436055770347,0.0019371018309050974,0.0009907297343343504,0.001033956124534747,0.0026321436055770347,0.0,0.0,0.0
B0,osi_target_t01h,18091,LaPorte County,IN,0,143,0.0013650242638804603,0.0007006583198359503,0.00026645064746048215,-0.00013668667000972396,0.0013650242638804603,0.0,0.0,0.0
B0,osi_target_t01h,18093,Lawrence County,IN,1,143,0.007693907821650959,0.0024119524367907813,0.008465059112232838,-0.0020028486604465514,0.007693907821650959,0.0,0.0,0.0
B0,osi_target_t01h,18095,Madison County,IN,0,143,0.0014186945385673692,0.0006363272599290863,0.0002878152697078059,-8.034566385246243e-05,0.0014186945385673692,0.0,0.0,0.0
