case,reference,pair,horizon,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
G1,G0,G1_minus_G0,1,34177,0.010844984572169597,4.019683095795879,0.0032502827763289687,-6.490446038680077e-05,0.010840689291401098,4.295280768498375e-06,0.03962184186854234,-0.0031834528207852486
G2,G0,G2_minus_G0,1,34177,0.010304249448688855,3.6288303553633976,0.0032065335457975323,-0.00011428845487213588,0.010840689291401098,-0.0005364398427122434,-4.948392378866084,0.3876692876116965
G2,G1,G2_minus_G1,1,34177,0.010304249448688855,3.6288303553633976,0.0032065335457975323,-0.00011428845487213588,0.010844984572169597,-0.0005407351234807418,-4.986038660381098,0.39085274043248175
G1,G0,G1_minus_G0,6,32982,0.009903725060082268,3.234998904306968,0.0031139172427650003,-6.97810308650284e-05,0.009909062742500467,-5.33768241819943e-06,-0.05386667293271197,0.0034879906019646967
G2,G0,G2_minus_G0,6,32982,0.00973088308677933,3.1230684048610704,0.0030965822396270344,-0.00010024611154832882,0.009909062742500467,-0.00017817965572113764,-1.798148425853796,0.11541849004786231
G2,G1,G2_minus_G1,6,32982,0.00973088308677933,3.1230684048610704,0.0030965822396270344,-0.00010024611154832882,0.009903725060082268,-0.0001728419733029382,-1.7452218458647528,0.11193049944589761
G1,G0,G1_minus_G0,24,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05,0.008434736596420678,0.0,0.0,0.0
G2,G0,G2_minus_G0,24,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05,0.008434736596420678,0.0,0.0,0.0
G2,G1,G2_minus_G1,24,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05,0.008434736596420678,0.0,0.0,0.0
G1,G0,G1_minus_G0,48,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
G2,G0,G2_minus_G0,48,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
G2,G1,G2_minus_G1,48,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
