case,outer_fold,inner_best_iterations,refit_rounds,actual_trees,refit_weight_mean,fit_seconds
G1,0,"397,2,841,4",311,311,0.9223509727685566,3.976236220001738
G1,1,"1,9,354,5",92,92,0.9209776500102032,1.8714636719978444
G1,2,"1,45,695,15",189,189,0.9201095150748533,2.5726361329961946
G1,3,"6,989,9,266",317,317,0.9191803267092012,3.3986451100008708
G1,4,"1,20,2,344",91,91,0.9221085701815684,1.845192535998649
G2,0,"61,9,343,315",182,182,1.4121299947951729,2.5055919970000105
G2,1,"81,238,554,25",224,224,1.3408130692926956,2.7660972210014734
G2,2,"285,330,598,329",385,385,1.3990335239117673,3.698259157999928
G2,3,"8,555,8,472",260,260,1.1636167494104204,3.0013186920004955
G2,4,"74,46,20,350",122,122,1.4081113641814194,1.9535815570015984
