case,domain,counties,mean_abs_additional_jump,max_abs_additional_jump,max_county
G0,OSI1,239,0.0,0.0,18009
G0,OSI6,239,0.0,0.0,18009
G0,P1_source,239,0.0,0.0,18009
G1,OSI1,239,0.00027438928947829473,0.004755008613174627,42009
G1,OSI6,239,0.00027438928947829473,0.004755008613174627,42009
G1,P1_source,239,0.0014908713639678972,0.02377504306587312,42009
G2,OSI1,239,0.00012281974428434475,0.0018810621858621885,42023
G2,OSI6,239,0.00012281974428434475,0.0018810621858621885,42023
G2,P1_source,239,0.000656150178639023,0.00809208324412823,18087
