split_seed,case,horizon,n,P_self_sse_gain,P_other_cross_sse_gain,postprocessing_and_precision_sse_gain,actual_OSI_sse_gain
42,AB_P06,osi_target_t01h,34177,-0.004785101813334223,0.10836068919399494,-0.00023850154951122858,0.1033370858311495
42,AB_P06,osi_target_t06h,32982,-0.004785101813334212,0.10836068919399494,-0.00023850154951122844,0.1033370858311495
42,AB_P06,osi_target_t24h,28680,0.0,0.0,0.0,0.0
42,AB_P06,osi_target_t48h,22944,0.0,0.0,0.0,0.0
20260917,AB_P06,osi_target_t01h,34177,0.006243502955915768,0.14224601251136304,-0.0005287942513976001,0.14796072121588116
20260917,AB_P06,osi_target_t06h,32982,0.006243502955915768,0.14224601251136304,-0.0005287942513976001,0.14796072121588114
20260917,AB_P06,osi_target_t24h,28680,0.0,0.0,0.0,0.0
20260917,AB_P06,osi_target_t48h,22944,0.0,0.0,0.0,0.0
20260918,AB_P06,osi_target_t01h,34177,-0.012943806112180004,0.0958375895573641,-7.664381975130337e-05,0.08281713962543283
20260918,AB_P06,osi_target_t06h,32982,-0.01294380611218,0.0958375895573641,-7.664381975130338e-05,0.08281713962543283
20260918,AB_P06,osi_target_t24h,28680,0.0,0.0,0.0,0.0
20260918,AB_P06,osi_target_t48h,22944,0.0,0.0,0.0,0.0
