split_seed,horizon,a_mse,b_mse,twice_cross_mean,P_mse
42,osi_target_t06h,8.134628688798933e-05,0.0001661584305814711,1.6474302712030293e-05,0.0002639790201814907
20260917,osi_target_t06h,7.560016991135303e-05,0.00017696973936006088,1.6868776764600285e-05,0.0002694386860360142
20260918,osi_target_t06h,8.40679198534526e-05,0.00014478779874789647,1.8854917561675273e-05,0.0002477106361630244
