split_seed,case,horizon,space,group,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
42,B0,osi_target_t01h,component_clipped,full,34177,0.017861487700620824,0.005219315121071696,10.903582053390243,2.7250338117868578e-05,0.017861487700620824,0.0,0.0,0.0
42,B0,osi_target_t01h,component_clipped,common_120_215,22944,0.012881572306251579,0.0036056003827212024,3.807210462182769,6.369194313091443e-05,0.012881572306251579,0.0,0.0,0.0
42,B0,osi_target_t01h,aligned,full,34177,0.01749044167001514,0.005172721136872373,10.455275745931624,6.28962925738371e-05,0.01749044167001514,0.0,0.0,0.0
42,B0,osi_target_t01h,aligned,common_120_215,22944,0.012349986900148224,0.00346592386800823,3.499468816097858,8.066567777143678e-05,0.012349986900148224,0.0,0.0,0.0
42,B0,osi_target_t06h,component_clipped,full,32982,0.0167042692272652,0.005397506942515822,9.203053556772145,0.000244596275019208,0.0167042692272652,0.0,0.0,0.0
42,B0,osi_target_t06h,component_clipped,common_120_215,22944,0.012755122572522455,0.003686447076317147,3.732831675818609,0.00020305549448745028,0.012755122572522455,0.0,0.0,0.0
42,B0,osi_target_t06h,aligned,full,32982,0.01567935700916176,0.004934119304791035,8.108368635032775,0.00010064449229285558,0.01567935700916176,0.0,0.0,0.0
42,B0,osi_target_t06h,aligned,common_120_215,22944,0.012349986900148224,0.00346592386800823,3.499468816097858,8.066567777143678e-05,0.012349986900148224,0.0,0.0,0.0
42,B0,osi_target_t24h,component_clipped,full,28680,0.01363012843468114,0.0043960020609303575,5.328181904864508,6.563508394135092e-05,0.01363012843468114,0.0,0.0,0.0
42,B0,osi_target_t24h,component_clipped,common_120_215,22944,0.012351184882079353,0.0035178119660870585,3.500147764792515,5.411725853369705e-05,0.012351184882079353,0.0,0.0,0.0
42,B0,osi_target_t24h,aligned,full,28680,0.013411932285436487,0.004263352646647321,5.158956324403551,0.0001256074080797595,0.013411932285436487,0.0,0.0,0.0
42,B0,osi_target_t24h,aligned,common_120_215,22944,0.012349986900148224,0.00346592386800823,3.499468816097858,8.066567777143678e-05,0.012349986900148224,0.0,0.0,0.0
42,B0,osi_target_t48h,component_clipped,full,22944,0.01234645607437439,0.0034840596165209028,3.4974681259730933,1.7980149336858274e-06,0.01234645607437439,0.0,0.0,0.0
42,B0,osi_target_t48h,component_clipped,common_120_215,22944,0.01234645607437439,0.0034840596165209028,3.4974681259730933,1.7980149336858274e-06,0.01234645607437439,0.0,0.0,0.0
42,B0,osi_target_t48h,aligned,full,22944,0.012349986900148224,0.00346592386800823,3.499468816097858,8.066567777143678e-05,0.012349986900148224,0.0,0.0,0.0
42,B0,osi_target_t48h,aligned,common_120_215,22944,0.012349986900148224,0.00346592386800823,3.499468816097858,8.066567777143678e-05,0.012349986900148224,0.0,0.0,0.0
42,AB_P06,osi_target_t01h,component_clipped,full,34177,0.017861487700620824,0.005219315121071696,10.903582053390243,2.7250338117868578e-05,0.017861487700620824,0.0,0.0,0.0
42,AB_P06,osi_target_t01h,component_clipped,common_120_215,22944,0.012881572306251579,0.0036056003827212024,3.807210462182769,6.369194313091443e-05,0.012881572306251579,0.0,0.0,0.0
