split_seed,case,horizon,fipsCode,countyName,stateAbbr,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
42,AB_P06,osi_target_t01h,18013,Brown County,IN,1,143,0.029030526797628693,0.013180154762106669,0.12051632251914078,-0.00879707685422395,0.02892942207308759,0.00010110472454110189,0.3494875365490202,-0.0008379835270935776
42,AB_P06,osi_target_t01h,39115,Morgan County,OH,2,143,0.03168935177603044,0.006783950118514268,0.1436027472858555,-0.005259311765265212,0.031664786178197714,2.4565597832724995e-05,0.07758017911279058,-0.00022255551518521322
42,AB_P06,osi_target_t01h,39117,Morrow County,OH,4,143,0.015670871061249887,0.009803023340487417,0.03511739657401963,-1.3551729814903685e-05,0.017959500045327124,-0.0022886289840772372,-12.743277810078657,0.01100634421454938
42,AB_P06,osi_target_t01h,42053,Forest County,PA,3,143,0.09428587215225846,0.03412892906696862,1.2712450733142202,-0.02584968950549985,0.09413286581485097,0.00015300633740748804,0.1625429504169551,-0.004122584322326706
42,AB_P06,osi_target_t01h,42131,Wyoming County,PA,3,143,0.015883138738186208,0.003509436260446972,0.0360751957532354,-0.0032953001364800574,0.01577127595360595,0.00011186278458025917,0.7092817658464812,-0.0005063559889505326
42,AB_P06,osi_target_t01h,54013,Calhoun County,WV,2,143,0.04349600795892995,0.021777347820145582,0.2705420872959515,-0.02042835697850897,0.043186635042322584,0.0003093729166073686,0.716362634653489,-0.003834868478088116
42,AB_P06,osi_target_t01h,54015,Clay County,WV,2,143,0.04986667410924461,0.02632371467137489,0.3555959817006178,-0.023634047297061842,0.050411612307364954,-0.0005449381981203413,-1.0809775231900853,0.007814302025596132
42,AB_P06,osi_target_t06h,18013,Brown County,IN,1,138,0.029534225086264063,0.013473816526466488,0.12037332229956312,-0.009299691597702196,0.02943124372239271,0.0001029813638713517,0.34990489984967343,-0.0008379835270936192
42,AB_P06,osi_target_t06h,39115,Morgan County,OH,2,138,0.03224957991898415,0.006900058032450557,0.14352488588323054,-0.005579553919581804,0.032224566464522306,2.501345446184744e-05,0.07762231491736937,-0.00022255551518521322
42,AB_P06,osi_target_t06h,39117,Morrow County,OH,4,138,0.014030694438786469,0.008798240665780737,0.02716673332797391,0.0013459219452784622,0.016631791963926442,-0.0026010975251399733,-15.63931012834714,0.01100634421454938
42,AB_P06,osi_target_t06h,42053,Forest County,PA,3,138,0.06921483342676409,0.02383193086233089,0.6611156569486686,-0.015252718852982813,0.06899869105176959,0.0002161423749944963,0.3132557613771514,-0.004122584322326817
42,AB_P06,osi_target_t06h,42131,Wyoming County,PA,3,138,0.016168314368424388,0.0036358651104631667,0.03607518575323539,-0.0034139704312800595,0.016054443099013296,0.00011387126941109216,0.7092819645552861,-0.0005063559889505256
42,AB_P06,osi_target_t06h,54013,Calhoun County,WV,2,138,0.04427660975290297,0.022534894164781275,0.27053770762709906,-0.021191307184549157,0.043961679553853834,0.00031493019904913627,0.7163743565878677,-0.003834868478088227
42,AB_P06,osi_target_t06h,54015,Clay County,WV,2,138,0.05074822417210767,0.02705427115640443,0.35540275141390404,-0.02471355465146842,0.05130309575083716,-0.0005548715787294933,-1.0815557435838397,0.007814302025596076
42,AB_P06,osi_target_t24h,18013,Brown County,IN,1,120,0.03153700980103376,0.01482460369417611,0.1193499584628599,-0.01075469130344238,0.03153700980103376,0.0,0.0,0.0
42,AB_P06,osi_target_t24h,39115,Morgan County,OH,2,120,0.034499643150416315,0.00721839044620487,0.1428270453007281,-0.006947427368440506,0.034499643150416315,0.0,0.0,0.0
42,AB_P06,osi_target_t24h,39117,Morrow County,OH,4,120,0.010524015799697988,0.006757672471641796,0.013290589026275147,-0.002960359814500594,0.010524015799697988,0.0,0.0,0.0
42,AB_P06,osi_target_t24h,42053,Forest County,PA,3,120,0.009525734075397033,0.006175675980179049,0.01088875316102162,0.0005308360007856643,0.009525734075397033,0.0,0.0,0.0
42,AB_P06,osi_target_t24h,42131,Wyoming County,PA,3,120,0.0028883454953760176,0.0013174706322344623,0.001001104764079072,-0.0010119242601644286,0.0028883454953760176,0.0,0.0,0.0
42,AB_P06,osi_target_t24h,54013,Calhoun County,WV,2,120,0.04656351774043367,0.0256079315560903,0.2601793421236418,-0.02418148828489172,0.04656351774043367,0.0,0.0,0.0
42,AB_P06,osi_target_t24h,54015,Clay County,WV,2,120,0.05018563470760494,0.027917919091629478,0.3022317517206194,-0.023798649902942302,0.05018563470760494,0.0,0.0,0.0
42,AB_P06,osi_target_t48h,18013,Brown County,IN,1,96,0.017277270414225405,0.008466917789019224,0.028656391004761774,-0.002513611277888898,0.017277270414225405,0.0,0.0,0.0
42,AB_P06,osi_target_t48h,39115,Morgan County,OH,2,96,0.03857661169085658,0.008499269791595614,0.1428628770765247,-0.0074716802501162425,0.03857661169085658,0.0,0.0,0.0
42,AB_P06,osi_target_t48h,39117,Morrow County,OH,4,96,0.006628136061367782,0.0051148377071732485,0.004217490014208386,-0.00483437980586649,0.006628136061367782,0.0,0.0,0.0
42,AB_P06,osi_target_t48h,42053,Forest County,PA,3,96,0.007001260076209866,0.005266083301553576,0.004705693694854097,0.0012026366714988385,0.007001260076209866,0.0,0.0,0.0
42,AB_P06,osi_target_t48h,42131,Wyoming County,PA,3,96,0.0028963207220625902,0.001348142524803947,0.0008053126776047198,-0.0010872615856185278,0.0028963207220625902,0.0,0.0,0.0
42,AB_P06,osi_target_t48h,54013,Calhoun County,WV,2,96,0.04949285046696422,0.03043259025806112,0.23515605574514695,-0.028462201201676196,0.04949285046696422,0.0,0.0,0.0
42,AB_P06,osi_target_t48h,54015,Clay County,WV,2,96,0.05714943168179572,0.03392082663725176,0.3135415239890147,-0.02974719498064284,0.05714943168179572,0.0,0.0,0.0
20260917,AB_P06,osi_target_t01h,18013,Brown County,IN,0,143,0.027774405699860626,0.012132440245180145,0.11031271851320441,-0.00994239085706811,0.027935266537810664,-0.000160860837950038,-0.5758342693179985,0.0012814951518045348
20260917,AB_P06,osi_target_t01h,39115,Morgan County,OH,0,143,0.03176224356942975,0.007376185758360344,0.14426413666862076,-0.006986842965179795,0.03175474218515939,7.501384270358624e-06,0.02362287883370673,-6.813454045115352e-05
20260917,AB_P06,osi_target_t01h,39117,Morrow County,OH,4,143,0.01367123278167859,0.008343926601173475,0.026727072625230594,-0.0002722384885674429,0.01614058285630621,-0.0024693500746276204,-15.299014271116196,0.010527060711373298
20260917,AB_P06,osi_target_t01h,42053,Forest County,PA,3,143,0.09543634950263691,0.03457106968480933,1.3024578433136935,-0.028375402482345987,0.09644110183059004,-0.0010047523279531345,-1.0418299966316158,0.027568872174954517
20260917,AB_P06,osi_target_t01h,42131,Wyoming County,PA,2,143,0.015942654732203815,0.003817306379194628,0.03634605830716728,-0.003323372981056884,0.015804471078946416,0.00013818365325739962,0.8743326655295647,-0.0006273315369760002
20260917,AB_P06,osi_target_t01h,54013,Calhoun County,WV,4,143,0.04610629587137848,0.02299788703675946,0.30398804421401016,-0.021674096637426324,0.04536602243903401,0.0007402734323444723,1.6317794519881135,-0.009683177366742124
20260917,AB_P06,osi_target_t01h,54015,Clay County,WV,4,143,0.051317703456745446,0.02691870647139402,0.3765914563946483,-0.02448035310085034,0.05086387123674652,0.0004538322199989231,0.8922486805743812,-0.006631380596717085
20260917,AB_P06,osi_target_t06h,18013,Brown County,IN,0,138,0.02825696412167402,0.012398586868163416,0.11018693094955305,-0.010476056955180793,0.028420806078043943,-0.00016384195636992213,-0.5764859586318893,0.001281495151804507
