split_seed,case,horizon,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
42,B0,osi_target_t01h,0,6864,0.00649627007224563,0.002635110290976331,0.28967126658106834,0.00014814811815686287,0.00649627007224563,0.0,0.0,0.0
42,B0,osi_target_t01h,1,6721,0.009869159421452112,0.0034151726679737143,0.6546274679578545,-0.00044083660081524804,0.009869159421452112,0.0,0.0,0.0
42,B0,osi_target_t01h,2,6864,0.012634175404294012,0.0038836577881071438,1.095648072237355,-0.0005449096619887747,0.012634175404294012,0.0,0.0,0.0
42,B0,osi_target_t01h,3,6864,0.015387133227847715,0.0036747639709935154,1.625147196620618,0.00044087320391964044,0.015387133227847715,0.0,0.0,0.0
42,B0,osi_target_t01h,4,6864,0.008221230589243267,0.0029014829777470963,0.46392837280395893,-0.00013229209072073878,0.008221230589243267,0.0,0.0,0.0
42,B0,osi_target_t06h,0,6624,0.0064058406635748265,0.0025564682578704317,0.2718144794774885,0.00014764156392666234,0.0064058406635748265,0.0,0.0,0.0
42,B0,osi_target_t06h,1,6486,0.009589776626990655,0.0032969915302070944,0.5964773089906676,-0.00039147361360912763,0.009589776626990655,0.0,0.0,0.0
42,B0,osi_target_t06h,2,6624,0.012688807942972615,0.00382442534743075,1.066502730618384,-0.0006885327467828642,0.012688807942972615,0.0,0.0,0.0
42,B0,osi_target_t06h,3,6624,0.01219396978873611,0.0034040990211685112,0.9849417643578258,0.0005957434335132287,0.01219396978873611,0.0,0.0,0.0
42,B0,osi_target_t06h,4,6624,0.00806893369197394,0.0028077032504759745,0.43127334469032796,-0.00010927244031925482,0.00806893369197394,0.0,0.0,0.0
42,B0,osi_target_t24h,0,5760,0.004722006437624519,0.0021059088433387193,0.12843270603053222,0.0004342643061164664,0.004722006437624519,0.0,0.0,0.0
42,B0,osi_target_t24h,1,5640,0.008926834627565224,0.0029095390774955274,0.4494424432789421,-0.0005011371074237945,0.008926834627565224,0.0,0.0,0.0
42,B0,osi_target_t24h,2,5760,0.012860189555137309,0.0038187202582121555,0.9526145782698012,-0.0010054195428662632,0.012860189555137309,0.0,0.0,0.0
42,B0,osi_target_t24h,3,5760,0.0061831058424843465,0.002799674455534234,0.220209395669937,0.0010566893098766035,0.0061831058424843465,0.0,0.0,0.0
42,B0,osi_target_t24h,4,5760,0.007428758397301128,0.0024404211477509086,0.31787395963471893,-0.0004080801392518454,0.007428758397301128,0.0,0.0,0.0
42,B0,osi_target_t48h,0,4608,0.0036632306388987446,0.0015956445257807718,0.06183594415303605,0.0004560453424232713,0.0036632306388987446,0.0,0.0,0.0
42,B0,osi_target_t48h,1,4512,0.005855181393125153,0.0019970723373512436,0.15468556894855234,-0.00027187300705922685,0.005855181393125153,0.0,0.0,0.0
42,B0,osi_target_t48h,2,4608,0.013066410316828946,0.0032591786642496433,0.7867288100401179,-0.001280845725181886,0.013066410316828946,0.0,0.0,0.0
42,B0,osi_target_t48h,3,4608,0.0053724652793763,0.002168728024357481,0.13300246968470258,0.0005056889175742389,0.0053724652793763,0.0,0.0,0.0
42,B0,osi_target_t48h,4,4608,0.006925166870368426,0.0021494377477357354,0.22099016992872228,-0.00019436995091425306,0.006925166870368426,0.0,0.0,0.0
42,AB_P06,osi_target_t01h,0,6864,0.006508227250914973,0.002652900805160948,0.2907385986617268,0.00018271234220699375,0.00649627007224563,1.195717866934315e-05,0.18406221626203756,-0.0010673320806584563
42,AB_P06,osi_target_t01h,1,6721,0.009525203210483274,0.0033034008845826525,0.609792943966927,-0.0004977214279555325,0.009869159421452112,-0.0003439562109688373,-3.4851621731957882,0.04483452399092758
42,AB_P06,osi_target_t01h,2,6864,0.012465721111152626,0.003835105949037626,1.0666258081635929,-0.0006146343002146903,0.012634175404294012,-0.00016845429314138634,-1.3333224191594883,0.029022264073762072
42,AB_P06,osi_target_t01h,3,6864,0.015274071830806878,0.0035266066745314874,1.6013524632887373,0.00032033713862111276,0.015387133227847715,-0.00011306139704083708,-0.7347788270021471,0.023794733331880646
42,AB_P06,osi_target_t01h,4,6864,0.008161177537992413,0.0028781574081789825,0.45717547628872146,-1.6808466826547393e-06,0.008221230589243267,-6.0053051250853404e-05,-0.7304630444185278,0.006752896515237472
42,AB_P06,osi_target_t06h,0,6624,0.006418405226996253,0.0025749033559023184,0.272881811558147,0.00018345811493513138,0.0064058406635748265,1.2564563421426332e-05,0.19614230327131832,-0.0010673320806585118
42,AB_P06,osi_target_t06h,1,6486,0.009222326615461077,0.0031811700445192556,0.5516427849997401,-0.0004504194852110166,0.009589776626990655,-0.0003674500115295777,-3.8316847808048116,0.04483452399092758
42,AB_P06,osi_target_t06h,2,6624,0.012514969699033504,0.003774114383757264,1.037480466544622,-0.0007607836400169652,0.012688807942972615,-0.00017383824393911104,-1.3700124134622627,0.029022264073762072
42,AB_P06,osi_target_t06h,3,6624,0.012045775156805515,0.0032505737067187283,0.9611470310259448,0.0004708401194720005,0.01219396978873611,-0.00014819463193059546,-1.215310801142766,0.02379473333188098
42,AB_P06,osi_target_t06h,4,6624,0.008005512595111616,0.0027835325515756827,0.42452044817509044,2.607109516948453e-05,0.00806893369197394,-6.342109686232472e-05,-0.7859910526394454,0.0067528965152375275
42,AB_P06,osi_target_t24h,0,5760,0.004722006437624519,0.0021059088433387193,0.12843270603053222,0.0004342643061164664,0.004722006437624519,0.0,0.0,0.0
42,AB_P06,osi_target_t24h,1,5640,0.008926834627565224,0.0029095390774955274,0.4494424432789421,-0.0005011371074237945,0.008926834627565224,0.0,0.0,0.0
42,AB_P06,osi_target_t24h,2,5760,0.012860189555137309,0.0038187202582121555,0.9526145782698012,-0.0010054195428662632,0.012860189555137309,0.0,0.0,0.0
42,AB_P06,osi_target_t24h,3,5760,0.0061831058424843465,0.002799674455534234,0.220209395669937,0.0010566893098766035,0.0061831058424843465,0.0,0.0,0.0
42,AB_P06,osi_target_t24h,4,5760,0.007428758397301128,0.0024404211477509086,0.31787395963471893,-0.0004080801392518454,0.007428758397301128,0.0,0.0,0.0
42,AB_P06,osi_target_t48h,0,4608,0.0036632306388987446,0.0015956445257807718,0.06183594415303605,0.0004560453424232713,0.0036632306388987446,0.0,0.0,0.0
42,AB_P06,osi_target_t48h,1,4512,0.005855181393125153,0.0019970723373512436,0.15468556894855234,-0.00027187300705922685,0.005855181393125153,0.0,0.0,0.0
42,AB_P06,osi_target_t48h,2,4608,0.013066410316828946,0.0032591786642496433,0.7867288100401179,-0.001280845725181886,0.013066410316828946,0.0,0.0,0.0
42,AB_P06,osi_target_t48h,3,4608,0.0053724652793763,0.002168728024357481,0.13300246968470258,0.0005056889175742389,0.0053724652793763,0.0,0.0,0.0
42,AB_P06,osi_target_t48h,4,4608,0.006925166870368426,0.0021494377477357354,0.22099016992872228,-0.00019436995091425306,0.006925166870368426,0.0,0.0,0.0
20260917,B0,osi_target_t01h,0,6864,0.01032889515431733,0.0033163937393729894,0.7322932195473524,-0.0015165684374626328,0.01032889515431733,0.0,0.0,0.0
20260917,B0,osi_target_t01h,1,6864,0.009128825179162282,0.0034076109182033876,0.5720145229773188,0.0013481374155385906,0.009128825179162282,0.0,0.0,0.0
20260917,B0,osi_target_t01h,2,6864,0.007897741228747618,0.002975379559712814,0.42813730856760823,0.0006502332160666777,0.007897741228747618,0.0,0.0,0.0
20260917,B0,osi_target_t01h,3,6721,0.015279319269127336,0.0031939733662273064,1.5690685116409901,-0.00032052074549689965,0.015279319269127336,0.0,0.0,0.0
20260917,B0,osi_target_t01h,4,6864,0.012350190393401898,0.0037906114964491645,1.0469467196984903,-0.001014923162959354,0.012350190393401898,0.0,0.0,0.0
20260917,B0,osi_target_t06h,0,6624,0.010377520213846135,0.0032750793699886822,0.7133579404249126,-0.0016177973533691387,0.010377520213846135,0.0,0.0,0.0
20260917,B0,osi_target_t06h,1,6624,0.008723310788985644,0.003279990645958768,0.5040609050270497,0.0012348908136383722,0.008723310788985644,0.0,0.0,0.0
20260917,B0,osi_target_t06h,2,6624,0.007782321396237782,0.0028823248684384894,0.40117942230619075,0.0006535286952060257,0.007782321396237782,0.0,0.0,0.0
20260917,B0,osi_target_t06h,3,6486,0.011893618884585877,0.002891234293984512,0.9174976917341507,-6.470935429845766e-05,0.011893618884585877,0.0,0.0,0.0
20260917,B0,osi_target_t06h,4,6624,0.012176960915303606,0.003713330428144963,0.9821959701278767,-0.0010242048850081344,0.012176960915303606,0.0,0.0,0.0
20260917,B0,osi_target_t24h,0,5760,0.010292288527218797,0.0031032469357711425,0.6101637300145132,-0.0017906865553814994,0.010292288527218797,0.0,0.0,0.0
20260917,B0,osi_target_t24h,1,5760,0.006936390394075493,0.0030706789773871325,0.27713382738637116,0.001262688593886408,0.006936390394075493,0.0,0.0,0.0
20260917,B0,osi_target_t24h,2,5760,0.006425406407371111,0.0026138385184966677,0.23780648159934176,0.0009502102313741534,0.006425406407371111,0.0,0.0,0.0
20260917,B0,osi_target_t24h,3,5640,0.006297646551881186,0.002443474538539895,0.22368438580125438,0.00016454696512030516,0.006297646551881186,0.0,0.0,0.0
20260917,B0,osi_target_t24h,4,5760,0.011983782189686838,0.003539471774807722,0.8271995648823676,-0.001058430198192056,0.011983782189686838,0.0,0.0,0.0
20260917,B0,osi_target_t48h,0,4608,0.009747827678557438,0.0024350176144370735,0.43785282562951905,-0.0014853907878811885,0.009747827678557438,0.0,0.0,0.0
20260917,B0,osi_target_t48h,1,4608,0.005400262868545189,0.0022557715794543267,0.1343823623395795,0.0006667636521539717,0.005400262868545189,0.0,0.0,0.0
