split_seed,horizon,kind,supported_rows,all_valid_rows,supported_counties,raw_label_rmse,clipped_label_rmse,raw_P_contribution_rmse,clipped_P_contribution_rmse,clip_low_rows,clip_high_rows
42,osi_target_t06h,a,25668,32982,186,0.3302249040333851,0.3302243845362479,0.00901922212295554,0.009019217642788612,51,0
42,osi_target_t06h,b,32982,32982,239,0.01347716684659082,0.013460856027205759,0.012904785839581214,0.012890245559393783,11992,0
20260917,osi_target_t06h,a,25668,32982,186,0.3273409100073876,0.3273353707645181,0.008695094787586137,0.008694835818539247,514,0
20260917,osi_target_t06h,b,32982,32982,239,0.013875172439979835,0.013853199725598214,0.013324660161726756,0.01330299738254732,11095,0
20260918,osi_target_t06h,a,25668,32982,186,0.3287582002766788,0.32875614711460854,0.009168881477039321,0.009168855972990992,381,0
20260918,osi_target_t06h,b,32982,32982,239,0.012656152927301673,0.012638298938956018,0.012049875880504267,0.012032780175333399,12197,0
