horizon,fipsCode,countyName,stateAbbr,improved_splits,worsened_splits,unchanged_splits,split42_sse_reduction,split20260917_sse_reduction,split20260918_sse_reduction
osi_target_t01h,18143,Scott County,IN,1,2,0,-0.00014891325949567503,-0.0001258222627136148,3.7287891048085574e-05
osi_target_t01h,18145,Shelby County,IN,2,1,0,9.582320159270247e-06,1.312281152553445e-06,-4.109360012434439e-06
osi_target_t01h,18147,Spencer County,IN,1,2,0,-9.16182202072665e-06,-0.0001025806496355917,2.786445613542647e-05
osi_target_t01h,18149,Starke County,IN,3,0,0,0.0019154341584609012,0.00013574578037818107,0.0006138800234061564
osi_target_t01h,18151,Steuben County,IN,0,3,0,-0.0002833807231638029,-0.0005001004802095733,-0.0012261974200207977
osi_target_t01h,18153,Sullivan County,IN,3,0,0,8.184741080946665e-08,8.710413412569e-05,8.28519070535951e-05
osi_target_t01h,18155,Switzerland County,IN,1,2,0,-0.00023921873179790247,0.00021691297692241632,-0.00017726108064488049
osi_target_t01h,18157,Tippecanoe County,IN,2,1,0,1.680246184555413e-05,-2.685041425659119e-06,3.080316964326329e-05
osi_target_t01h,18159,Tipton County,IN,3,0,0,0.00012458674741589425,7.476131068747706e-05,7.34910824861908e-05
osi_target_t01h,18161,Union County,IN,3,0,0,3.663094780660984e-05,0.00015555210896384022,7.423114888566217e-05
osi_target_t01h,18163,Vanderburgh County,IN,0,3,0,-9.592717094274557e-06,-2.1985039427562046e-05,-3.505279796429123e-06
osi_target_t01h,18165,Vermillion County,IN,1,2,0,6.886987515363277e-05,-0.00023344216919770136,-0.00024688216244422856
osi_target_t01h,18167,Vigo County,IN,0,3,0,-2.2152407077452477e-05,-2.615241690645428e-05,-1.9261138954718545e-05
osi_target_t01h,18169,Wabash County,IN,2,1,0,1.9691593766130513e-05,2.2026129993075788e-05,-7.86443218058321e-06
osi_target_t01h,18171,Warren County,IN,0,3,0,-0.0001928353166397367,-0.00012215502295871141,-0.0003485028075255786
osi_target_t01h,18173,Warrick County,IN,1,2,0,5.427709678679769e-06,-1.727427961013123e-05,-1.8818733076468922e-05
osi_target_t01h,18175,Washington County,IN,1,2,0,2.687970769566818e-05,-2.6577699895561713e-05,-6.455026113311949e-05
osi_target_t01h,18177,Wayne County,IN,3,0,0,4.876819329125814e-05,0.00021091592787062885,5.23722890211565e-05
osi_target_t01h,18179,Wells County,IN,1,2,0,1.4702185781458044e-05,-7.870451055204701e-05,-2.956521302779772e-05
osi_target_t01h,18181,White County,IN,2,1,0,3.5260583129220486e-05,2.9305922606155514e-05,-8.148407495596434e-06
osi_target_t01h,18183,Whitley County,IN,2,1,0,-2.8559811896932547e-05,2.6228562884775134e-05,3.1546692435774435e-05
osi_target_t01h,39017,Butler County,OH,1,2,0,-5.44404703750712e-06,-5.766450955210659e-06,1.0000056221684425e-05
osi_target_t01h,39023,Clark County,OH,1,2,0,3.459203161146427e-05,-0.0004393130733903589,-0.00027793597593354577
osi_target_t01h,39025,Clermont County,OH,0,3,0,-2.0658004690409903e-05,-5.139008271498428e-06,-6.591361242827337e-06
osi_target_t01h,39027,Clinton County,OH,1,2,0,2.59651904884118e-07,-3.6009491789404813e-05,-3.626416862147956e-05
osi_target_t01h,39029,Columbiana County,OH,3,0,0,0.0030311865890030026,0.002814940597367902,0.001838481886859684
osi_target_t01h,39031,Coshocton County,OH,3,0,0,0.0005351484504786327,0.0015968092837018617,0.004250948530153361
osi_target_t01h,39033,Crawford County,OH,0,3,0,-9.463353305532579e-05,-0.0009269195217339555,-0.0017656789176318834
osi_target_t01h,39035,Cuyahoga County,OH,3,0,0,0.0005773234467977405,0.000561387336027782,3.026634886225347e-05
osi_target_t01h,39037,Darke County,OH,3,0,0,9.746276940347895e-05,0.00014280922140859646,0.00018547896527056713
osi_target_t01h,39039,Defiance County,OH,3,0,0,0.000666096845377261,0.0006330377813186482,0.0004130809016330769
osi_target_t01h,39045,Fairfield County,OH,0,3,0,-4.095784180836899e-05,-0.00019591319341271491,-0.000201860250483967
osi_target_t01h,39049,Franklin County,OH,1,2,0,-4.9774199685903055e-05,-0.0001429117661625656,0.00030044879284114607
osi_target_t01h,39051,Fulton County,OH,1,2,0,-8.783126975470405e-05,8.32398405598146e-05,-0.00014817883849902336
osi_target_t01h,39053,Gallia County,OH,3,0,0,1.186275357900504e-05,1.3060425164096489e-05,5.375014238075517e-06
osi_target_t01h,39055,Geauga County,OH,3,0,0,0.0041582510578148275,0.00338203670576169,0.0016826270135212665
osi_target_t01h,39059,Guernsey County,OH,1,2,0,-0.009838328853534792,0.0006984235380786963,-0.025660562160715675
osi_target_t01h,39061,Hamilton County,OH,3,0,0,6.038136783617187e-06,1.5686576013442075e-05,9.148752557891168e-06
osi_target_t01h,39063,Hancock County,OH,3,0,0,0.00011926322619192325,0.00021587761895435577,0.00015933168244372357
osi_target_t01h,39065,Hardin County,OH,2,1,0,2.1045558232972352e-05,-6.965221458231558e-05,5.895969108647139e-05
osi_target_t01h,39069,Henry County,OH,2,1,0,-2.441402063644801e-05,6.951620947070504e-05,8.128328293808542e-05
