split_seed,case,horizon,start,end,common_target,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
42,B0,osi_target_t01h,73,76,False,956,0.023564781526417063,0.00639516555292622,0.5308657755387052,-0.00042991651861295414,0.023564781526417063,0.0,0.0,0.0
42,B0,osi_target_t01h,77,95,False,4541,0.018705630165985636,0.006338736593989799,1.5888986241760152,-0.00023549356638295424,0.018705630165985636,0.0,0.0,0.0
42,B0,osi_target_t01h,96,143,False,11472,0.010243757552777533,0.004552897720332377,1.2038093732745954,0.0001420597239324634,0.010243757552777533,0.0,0.0,0.0
42,B0,osi_target_t01h,144,215,False,17208,0.006841537592880292,0.00149399900411888,0.8054486032115395,-0.00021603126139926212,0.006841537592880292,0.0,0.0,0.0
42,B0,osi_target_t01h,120,215,True,22944,0.007738439927520654,0.0022094994375028896,1.3739659344317916,-0.00012252600600626414,0.007738439927520654,0.0,0.0,0.0
42,B0,osi_target_t06h,73,76,False,0,,,0.0,,,,,0.0
42,B0,osi_target_t06h,77,95,False,4302,0.017660413432723704,0.006243311725541747,1.341751651648559,-0.00018870767107998974,0.017660413432723704,0.0,0.0,0.0
42,B0,osi_target_t06h,96,143,False,11472,0.010243757552777533,0.004552897720332377,1.2038093732745954,0.0001420597239324634,0.010243757552777533,0.0,0.0,0.0
42,B0,osi_target_t06h,144,215,False,17208,0.006841537592880292,0.00149399900411888,0.8054486032115395,-0.00021603126139926212,0.006841537592880292,0.0,0.0,0.0
42,B0,osi_target_t06h,120,215,True,22944,0.007738439927520654,0.0022094994375028896,1.3739659344317916,-0.00012252600600626414,0.007738439927520654,0.0,0.0,0.0
42,B0,osi_target_t24h,73,76,False,0,,,0.0,,,,,0.0
42,B0,osi_target_t24h,77,95,False,0,,,0.0,,,,,0.0
42,B0,osi_target_t24h,96,143,False,11472,0.010616169485079483,0.004753144773278289,1.292929441636221,4.1102281061094314e-05,0.010616169485079483,0.0,0.0,0.0
42,B0,osi_target_t24h,144,215,False,17208,0.006713761658672963,0.001521997783465929,0.7756436412477103,-0.00016572547623682578,0.006713761658672963,0.0,0.0,0.0
42,B0,osi_target_t24h,120,215,True,22944,0.007738976522688962,0.0022723063915952883,1.3741564868041627,-0.00011090911790532663,0.007738976522688962,0.0,0.0,0.0
42,B0,osi_target_t48h,73,76,False,0,,,0.0,,,,,0.0
42,B0,osi_target_t48h,77,95,False,0,,,0.0,,,,,0.0
42,B0,osi_target_t48h,96,143,False,5736,0.009851380342539039,0.00431227695207857,0.5566770485316992,-5.147371735132227e-05,0.009851380342539039,0.0,0.0,0.0
42,B0,osi_target_t48h,144,215,False,17208,0.006820769116646474,0.0015425792030725142,0.8005659142234318,-0.00019162948224700884,0.006820769116646474,0.0,0.0,0.0
42,B0,osi_target_t48h,120,215,True,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
42,AB_P06,osi_target_t01h,73,76,False,956,0.023564781526417063,0.00639516555292622,0.5308657755387052,-0.00042991651861295414,0.023564781526417063,0.0,0.0,0.0
42,AB_P06,osi_target_t01h,77,95,False,4541,0.01817013743080561,0.005990448524231025,1.4992288338090627,-0.0002877164727915715,0.018705630165985636,-0.0005354927351800265,-2.862735606490119,0.08966979036695255
42,AB_P06,osi_target_t01h,96,143,False,11472,0.01018711961213732,0.004510761189371733,1.1905344015401416,0.00011199823399273683,0.010243757552777533,-5.66379406402133e-05,-0.5529020024966913,0.0132749717344538
42,AB_P06,osi_target_t01h,144,215,False,17208,0.006839871177132626,0.0014896721866701896,0.8050562794817964,-0.00021443307152560178,0.006841537592880292,-1.6664157476654548e-06,-0.024357327940427442,0.0003923237297431825
42,AB_P06,osi_target_t01h,120,215,True,22944,0.007719715877085945,0.002202999203899708,1.3673250393869707,-0.00012206482314400291,0.007738439927520654,-1.8724050434708837e-05,-0.24196156602727115,0.006640895044820905
42,AB_P06,osi_target_t06h,73,76,False,0,,,0.0,,,,,0.0
42,AB_P06,osi_target_t06h,77,95,False,4302,0.017060083755936113,0.005875674318574152,1.2520818612816065,-0.00024383185006686368,0.017660413432723704,-0.0006003296767875914,-3.3992957134016843,0.08966979036695255
42,AB_P06,osi_target_t06h,96,143,False,11472,0.01018711961213732,0.004510761189371733,1.1905344015401416,0.00011199823399273683,0.010243757552777533,-5.66379406402133e-05,-0.5529020024966913,0.0132749717344538
42,AB_P06,osi_target_t06h,144,215,False,17208,0.006839871177132626,0.0014896721866701896,0.8050562794817964,-0.00021443307152560178,0.006841537592880292,-1.6664157476654548e-06,-0.024357327940427442,0.0003923237297431825
42,AB_P06,osi_target_t06h,120,215,True,22944,0.007719715877085945,0.002202999203899708,1.3673250393869707,-0.00012206482314400291,0.007738439927520654,-1.8724050434708837e-05,-0.24196156602727115,0.006640895044820905
42,AB_P06,osi_target_t24h,73,76,False,0,,,0.0,,,,,0.0
42,AB_P06,osi_target_t24h,77,95,False,0,,,0.0,,,,,0.0
42,AB_P06,osi_target_t24h,96,143,False,11472,0.010616169485079483,0.004753144773278289,1.292929441636221,4.1102281061094314e-05,0.010616169485079483,0.0,0.0,0.0
42,AB_P06,osi_target_t24h,144,215,False,17208,0.006713761658672963,0.001521997783465929,0.7756436412477103,-0.00016572547623682578,0.006713761658672963,0.0,0.0,0.0
42,AB_P06,osi_target_t24h,120,215,True,22944,0.007738976522688962,0.0022723063915952883,1.3741564868041627,-0.00011090911790532663,0.007738976522688962,0.0,0.0,0.0
42,AB_P06,osi_target_t48h,73,76,False,0,,,0.0,,,,,0.0
42,AB_P06,osi_target_t48h,77,95,False,0,,,0.0,,,,,0.0
42,AB_P06,osi_target_t48h,96,143,False,5736,0.009851380342539039,0.00431227695207857,0.5566770485316992,-5.147371735132227e-05,0.009851380342539039,0.0,0.0,0.0
42,AB_P06,osi_target_t48h,144,215,False,17208,0.006820769116646474,0.0015425792030725142,0.8005659142234318,-0.00019162948224700884,0.006820769116646474,0.0,0.0,0.0
42,AB_P06,osi_target_t48h,120,215,True,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
20260917,B0,osi_target_t01h,73,76,False,956,0.024411996953537313,0.006507596516253781,0.5697239890680964,-0.00018341050609038445,0.024411996953537313,0.0,0.0,0.0
20260917,B0,osi_target_t01h,77,95,False,4541,0.019689981246183784,0.006558771767348261,1.760524636458289,-0.00014601403772437508,0.019689981246183784,0.0,0.0,0.0
20260917,B0,osi_target_t01h,96,143,False,11472,0.009955966164899268,0.004462546804540733,1.1371191208373737,-3.486545631665923e-05,0.009955966164899268,0.0,0.0,0.0
20260917,B0,osi_target_t01h,144,215,False,17208,0.007155591877860366,0.001561078787003455,0.8810925360680013,-0.00026587607836175655,0.007155591877860366,0.0,0.0,0.0
20260917,B0,osi_target_t01h,120,215,True,22944,0.007972240053111607,0.002258980026770279,1.4582428934400418,-0.0002037982823722185,0.007972240053111607,0.0,0.0,0.0
20260917,B0,osi_target_t06h,73,76,False,0,,,0.0,,,,,0.0
20260917,B0,osi_target_t06h,77,95,False,4302,0.01867334180755887,0.006463405251636797,1.5000802727148057,-0.00010140976315475025,0.01867334180755887,0.0,0.0,0.0
20260917,B0,osi_target_t06h,96,143,False,11472,0.009955966164899268,0.004462546804540733,1.1371191208373737,-3.486545631665923e-05,0.009955966164899268,0.0,0.0,0.0
20260917,B0,osi_target_t06h,144,215,False,17208,0.007155591877860366,0.001561078787003455,0.8810925360680013,-0.00026587607836175655,0.007155591877860366,0.0,0.0,0.0
20260917,B0,osi_target_t06h,120,215,True,22944,0.007972240053111607,0.002258980026770279,1.4582428934400418,-0.0002037982823722185,0.007972240053111607,0.0,0.0,0.0
20260917,B0,osi_target_t24h,73,76,False,0,,,0.0,,,,,0.0
20260917,B0,osi_target_t24h,77,95,False,0,,,0.0,,,,,0.0
20260917,B0,osi_target_t24h,96,143,False,11472,0.010470018431021098,0.004857519885218182,1.2575753923716115,5.174874822893956e-06,0.010470018431021098,0.0,0.0,0.0
20260917,B0,osi_target_t24h,144,215,False,17208,0.007305563455232806,0.0016887847991263933,0.9184125973122366,-0.0001624788788803209,0.007305563455232806,0.0,0.0,0.0
20260917,B0,osi_target_t24h,120,215,True,22944,0.008207157661631851,0.002435911853353424,1.5454490318408536,-0.00012357864634975985,0.008207157661631851,0.0,0.0,0.0
20260917,B0,osi_target_t48h,73,76,False,0,,,0.0,,,,,0.0
20260917,B0,osi_target_t48h,77,95,False,0,,,0.0,,,,,0.0
20260917,B0,osi_target_t48h,96,143,False,5736,0.009982761611877148,0.0044132402598700314,0.5716241166359222,-0.00016014435073159408,0.009982761611877148,0.0,0.0,0.0
20260917,B0,osi_target_t48h,144,215,False,17208,0.007064432341852604,0.001528834627404201,0.8587859638114458,-0.00032679353161330706,0.007064432341852604,0.0,0.0,0.0
20260917,B0,osi_target_t48h,120,215,True,22944,0.007895792270846023,0.002249936035520659,1.4304100804473678,-0.0002851312363928788,0.007895792270846023,0.0,0.0,0.0
20260917,AB_P06,osi_target_t01h,73,76,False,956,0.024411996953537313,0.006507596516253781,0.5697239890680964,-0.00018341050609038445,0.024411996953537313,0.0,0.0,0.0
20260917,AB_P06,osi_target_t01h,77,95,False,4541,0.0186986613857747,0.0061688502087120095,1.5877149567317925,-0.0001279356378704832,0.019689981246183784,-0.0009913198604090852,-5.034640957828329,0.1728096797264964
20260917,AB_P06,osi_target_t01h,96,143,False,11472,0.0099964069030329,0.004446135396816208,1.1463757479393557,6.581342456754417e-06,0.009955966164899268,4.044073813363157e-05,0.4061960181846569,-0.009256627101982051
20260917,AB_P06,osi_target_t01h,144,215,False,17208,0.007218628995321505,0.0015593821364430231,0.8966848674766343,-0.00026982833327857835,0.007155591877860366,6.303711746113907e-05,0.8809490331076253,-0.015592331408633031
20260917,AB_P06,osi_target_t01h,120,215,True,22944,0.008025711924570307,0.0022520789127139537,1.4778701187061836,-0.00020376398719813209,0.007972240053111607,5.347187145869972e-05,0.670725807332273,-0.0196272252661418
20260917,AB_P06,osi_target_t06h,73,76,False,0,,,0.0,,,,,0.0
20260917,AB_P06,osi_target_t06h,77,95,False,4302,0.017564853548849776,0.006051821384187421,1.3272705929883095,-8.232700775341991e-05,0.01867334180755887,-0.0011084882587090936,-5.936207188476484,0.1728096797264962
20260917,AB_P06,osi_target_t06h,96,143,False,11472,0.0099964069030329,0.004446135396816208,1.1463757479393557,6.581342456754417e-06,0.009955966164899268,4.044073813363157e-05,0.4061960181846569,-0.009256627101982051
20260917,AB_P06,osi_target_t06h,144,215,False,17208,0.007218628995321505,0.0015593821364430231,0.8966848674766343,-0.00026982833327857835,0.007155591877860366,6.303711746113907e-05,0.8809490331076253,-0.015592331408633031
20260917,AB_P06,osi_target_t06h,120,215,True,22944,0.008025711924570307,0.0022520789127139537,1.4778701187061836,-0.00020376398719813209,0.007972240053111607,5.347187145869972e-05,0.670725807332273,-0.0196272252661418
20260917,AB_P06,osi_target_t24h,73,76,False,0,,,0.0,,,,,0.0
20260917,AB_P06,osi_target_t24h,77,95,False,0,,,0.0,,,,,0.0
20260917,AB_P06,osi_target_t24h,96,143,False,11472,0.010470018431021098,0.004857519885218182,1.2575753923716115,5.174874822893956e-06,0.010470018431021098,0.0,0.0,0.0
20260917,AB_P06,osi_target_t24h,144,215,False,17208,0.007305563455232806,0.0016887847991263933,0.9184125973122366,-0.0001624788788803209,0.007305563455232806,0.0,0.0,0.0
20260917,AB_P06,osi_target_t24h,120,215,True,22944,0.008207157661631851,0.002435911853353424,1.5454490318408536,-0.00012357864634975985,0.008207157661631851,0.0,0.0,0.0
20260917,AB_P06,osi_target_t48h,73,76,False,0,,,0.0,,,,,0.0
20260917,AB_P06,osi_target_t48h,77,95,False,0,,,0.0,,,,,0.0
20260917,AB_P06,osi_target_t48h,96,143,False,5736,0.009982761611877148,0.0044132402598700314,0.5716241166359222,-0.00016014435073159408,0.009982761611877148,0.0,0.0,0.0
20260917,AB_P06,osi_target_t48h,144,215,False,17208,0.007064432341852604,0.001528834627404201,0.8587859638114458,-0.00032679353161330706,0.007064432341852604,0.0,0.0,0.0
20260917,AB_P06,osi_target_t48h,120,215,True,22944,0.007895792270846023,0.002249936035520659,1.4304100804473678,-0.0002851312363928788,0.007895792270846023,0.0,0.0,0.0
20260918,B0,osi_target_t01h,73,76,False,956,0.02390986004365816,0.0065818775901802275,0.5465274253857988,-0.00044650771603204015,0.02390986004365816,0.0,0.0,0.0
20260918,B0,osi_target_t01h,77,95,False,4541,0.018860824314852524,0.006387493687580738,1.6153730807080597,-0.00037384168984994,0.018860824314852524,0.0,0.0,0.0
20260918,B0,osi_target_t01h,96,143,False,11472,0.009913980134395515,0.0045334298596103745,1.127548488150727,5.120391954401647e-05,0.009913980134395515,0.0,0.0,0.0
20260918,B0,osi_target_t01h,144,215,False,17208,0.0059590173365562235,0.001457431534233802,0.6110541461198342,-3.75503195237786e-05,0.0059590173365562235,0.0,0.0,0.0
20260918,B0,osi_target_t01h,120,215,True,22944,0.006814159182570262,0.0021531248142159986,1.0653533685438896,3.838761417332969e-05,0.006814159182570262,0.0,0.0,0.0
20260918,B0,osi_target_t06h,73,76,False,0,,,0.0,,,,,0.0
20260918,B0,osi_target_t06h,77,95,False,4302,0.017794613880361264,0.006289705081350098,1.3622209141162291,-0.00032844637424721084,0.017794613880361264,0.0,0.0,0.0
20260918,B0,osi_target_t06h,96,143,False,11472,0.009913980134395515,0.0045334298596103745,1.127548488150727,5.120391954401647e-05,0.009913980134395515,0.0,0.0,0.0
20260918,B0,osi_target_t06h,144,215,False,17208,0.0059590173365562235,0.001457431534233802,0.6110541461198342,-3.75503195237786e-05,0.0059590173365562235,0.0,0.0,0.0
20260918,B0,osi_target_t06h,120,215,True,22944,0.006814159182570262,0.0021531248142159986,1.0653533685438896,3.838761417332969e-05,0.006814159182570262,0.0,0.0,0.0
20260918,B0,osi_target_t24h,73,76,False,0,,,0.0,,,,,0.0
20260918,B0,osi_target_t24h,77,95,False,0,,,0.0,,,,,0.0
20260918,B0,osi_target_t24h,96,143,False,11472,0.010448911534888689,0.004803986769980263,1.2525101179718037,-1.7868252912179263e-05,0.010448911534888689,0.0,0.0,0.0
20260918,B0,osi_target_t24h,144,215,False,17208,0.0060355126760315994,0.0014941903020165234,0.626842927421756,-1.7504713933196572e-05,0.0060355126760315994,0.0,0.0,0.0
20260918,B0,osi_target_t24h,120,215,True,22944,0.006980016740105945,0.0022268814762819306,1.117846219432901,2.5560926991132495e-05,0.006980016740105945,0.0,0.0,0.0
20260918,B0,osi_target_t48h,73,76,False,0,,,0.0,,,,,0.0
20260918,B0,osi_target_t48h,77,95,False,0,,,0.0,,,,,0.0
20260918,B0,osi_target_t48h,96,143,False,5736,0.00938283107875312,0.004299297116050987,0.5049832092846549,5.000420655186036e-05,0.00938283107875312,0.0,0.0,0.0
20260918,B0,osi_target_t48h,144,215,False,17208,0.006587280562215493,0.0016092500494186296,0.7466940996535261,-4.35851204502751e-06,0.006587280562215493,0.0,0.0,0.0
20260918,B0,osi_target_t48h,120,215,True,22944,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.007386039443917857,0.0,0.0,0.0
20260918,AB_P06,osi_target_t01h,73,76,False,956,0.02390986004365816,0.0065818775901802275,0.5465274253857988,-0.00044650771603204015,0.02390986004365816,0.0,0.0,0.0
20260918,AB_P06,osi_target_t01h,77,95,False,4541,0.018398232854226117,0.0060620894513272955,1.537105668570955,-0.0004245862266479627,0.018860824314852524,-0.00046259146062640685,-2.452657704160499,0.07826741213710475
20260918,AB_P06,osi_target_t01h,96,143,False,11472,0.009875218722320597,0.004501020415611724,1.1187488069024365,6.636038545905314e-05,0.009913980134395515,-3.8761412074917595e-05,-0.390977302248563,0.008799681248290447
20260918,AB_P06,osi_target_t01h,144,215,False,17208,0.005979704263586204,0.0014633314120901092,0.6153040998797972,-2.6176285052151047e-05,0.0059590173365562235,2.0686927029980352e-05,0.3471533285039241,-0.0042499537599629544
20260918,AB_P06,osi_target_t01h,120,215,True,22944,0.006817160893200843,0.002158246368294487,1.0662921745790472,5.3836502822170766e-05,0.006814159182570262,3.0017106305811614e-06,0.04405107879279502,-0.0009388060351576133
20260918,AB_P06,osi_target_t06h,73,76,False,0,,,0.0,,,,,0.0
20260918,AB_P06,osi_target_t06h,77,95,False,4302,0.01727585081495408,0.005946222831971463,1.283953501979124,-0.0003820100519784573,0.017794613880361264,-0.0005187630654071851,-2.9152813817427625,0.0782674121371052
20260918,AB_P06,osi_target_t06h,96,143,False,11472,0.009875218722320597,0.004501020415611724,1.1187488069024365,6.636038545905314e-05,0.009913980134395515,-3.8761412074917595e-05,-0.390977302248563,0.008799681248290447
20260918,AB_P06,osi_target_t06h,144,215,False,17208,0.005979704263586204,0.0014633314120901092,0.6153040998797972,-2.6176285052151047e-05,0.0059590173365562235,2.0686927029980352e-05,0.3471533285039241,-0.0042499537599629544
20260918,AB_P06,osi_target_t06h,120,215,True,22944,0.006817160893200843,0.002158246368294487,1.0662921745790472,5.3836502822170766e-05,0.006814159182570262,3.0017106305811614e-06,0.04405107879279502,-0.0009388060351576133
20260918,AB_P06,osi_target_t24h,73,76,False,0,,,0.0,,,,,0.0
20260918,AB_P06,osi_target_t24h,77,95,False,0,,,0.0,,,,,0.0
20260918,AB_P06,osi_target_t24h,96,143,False,11472,0.010448911534888689,0.004803986769980263,1.2525101179718037,-1.7868252912179263e-05,0.010448911534888689,0.0,0.0,0.0
20260918,AB_P06,osi_target_t24h,144,215,False,17208,0.0060355126760315994,0.0014941903020165234,0.626842927421756,-1.7504713933196572e-05,0.0060355126760315994,0.0,0.0,0.0
20260918,AB_P06,osi_target_t24h,120,215,True,22944,0.006980016740105945,0.0022268814762819306,1.117846219432901,2.5560926991132495e-05,0.006980016740105945,0.0,0.0,0.0
20260918,AB_P06,osi_target_t48h,73,76,False,0,,,0.0,,,,,0.0
20260918,AB_P06,osi_target_t48h,77,95,False,0,,,0.0,,,,,0.0
20260918,AB_P06,osi_target_t48h,96,143,False,5736,0.00938283107875312,0.004299297116050987,0.5049832092846549,5.000420655186036e-05,0.00938283107875312,0.0,0.0,0.0
20260918,AB_P06,osi_target_t48h,144,215,False,17208,0.006587280562215493,0.0016092500494186296,0.7466940996535261,-4.35851204502751e-06,0.006587280562215493,0.0,0.0,0.0
20260918,AB_P06,osi_target_t48h,120,215,True,22944,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.007386039443917857,0.0,0.0,0.0
