cv_seed,candidate,horizon,n,rmse,mae,sse,sae,bias
42,B0,1,34177,0.010840689291401098,0.003227290776446228,4.016499642975094,110.29911686660273,-0.0001234873431378002
42,B0,6,32982,0.009909062742500467,0.003100474888362688,3.2384868949089327,102.25986276797818,-0.00010769119066969052
42,B0,24,28680,0.008434736596420678,0.002779739911447673,2.040432332014631,79.72294066031925,-9.257391647402344e-05
42,B0,48,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,51.279923523594505,-0.0001565905410230873
42,I1,1,34177,0.010840689291401098,0.003227290776446228,4.016499642975094,110.29911686660273,-0.0001234873431378002
42,I1,6,32982,0.009909062742500467,0.003100474888362688,3.2384868949089327,102.25986276797818,-0.00010769119066969052
42,I1,24,28680,0.008434736596420678,0.002779739911447673,2.040432332014631,79.72294066031925,-9.257391647402344e-05
42,I1,48,22944,0.007661528701953814,0.0021067935790155074,1.3467903619349797,48.3382718769318,-0.00033646039506835933
42,I2,1,34177,0.010840689291401098,0.003227290776446228,4.016499642975094,110.29911686660273,-0.0001234873431378002
42,I2,6,32982,0.009909062742500467,0.003100474888362688,3.2384868949089327,102.25986276797818,-0.00010769119066969052
42,I2,24,28680,0.008445482059497094,0.0026563183812745817,2.0456344757917986,76.183211174955,-0.00024572936787352275
42,I2,48,22944,0.007661528701953814,0.0021067935790155074,1.3467903619349797,48.3382718769318,-0.00033646039506835933
42,I3,1,34177,0.010840689291401098,0.003227290776446228,4.016499642975094,110.29911686660273,-0.0001234873431378002
42,I3,6,32982,0.009909062742500467,0.003100474888362688,3.2384868949089327,102.25986276797818,-0.00010769119066969052
42,I3,24,28680,0.008414292685097682,0.0026834502114672387,2.0305532174792056,76.9613520648804,-0.0002167538921394124
42,I3,48,22944,0.007661528701953814,0.0021067935790155074,1.3467903619349797,48.3382718769318,-0.00033646039506835933
