model,horizon,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct
V18_C0,osi_target_t01h,0.011979379161386963,0.0035894603675201875,34177,0.7233139442474059,0.005601587468028269,0.294342243199764,51.40006437077567
V18_C0,osi_target_t06h,0.010676993494381172,0.0035510141183561625,32982,0.6908832568946803,0.004992951928336845,0.2650159300735802,41.525680674307196
V18_C0,osi_target_t24h,0.008463831869463107,0.0029427287130505816,28680,0.47484540131196096,0.0030622965155032837,0.1201706406684069,43.333333333333336
V18_C0,osi_target_t48h,0.007644415252022217,0.0023030616654518086,22944,0.36860395626041276,0.0020382487502286083,0.06160437370759144,46.90115062761506
V18_C1_E0,osi_target_t01h,0.011865427114391812,0.003526919842147216,34177,0.7285527775522072,0.00562748524698006,0.2926764026968674,51.58732480908213
V18_C1_E0,osi_target_t06h,0.010512561705099621,0.003389107513172991,32982,0.7003310896258659,0.004828756502075626,0.257321594928204,47.541083014977865
V18_C1_E0,osi_target_t24h,0.008372823768376926,0.0029248130640176667,28680,0.48607822648387855,0.003075882620338982,0.12131757109497565,42.62900976290098
V18_C1_E0,osi_target_t48h,0.007593428433818521,0.0023066625802577725,22944,0.37699845446964386,0.002066386768712737,0.061932949881020403,46.71373779637378
V18_C3,osi_target_t01h,0.011676613766703986,0.003502269606663691,34177,0.7371230662587978,0.005605508037151523,0.2926764026968674,42.22137694941042
V18_C3,osi_target_t06h,0.01032059984086345,0.003300881630204454,32982,0.7111752195739461,0.004790710156182373,0.2724774255106815,42.59899339033412
V18_C3,osi_target_t24h,0.008329503508198619,0.002778639706074067,28680,0.49138244201782844,0.003053194118583182,0.13341913184272436,43.69595536959554
V18_C3,osi_target_t48h,0.007666935844292914,0.0022517540884931945,22944,0.3648782669243791,0.0020974852854349214,0.05405995210824589,48.81014644351465
E2_profile_huber_all,osi_target_t01h,0.011957055540273829,0.0036023947164733135,34177,0.7243441945635581,0.005716758322680152,0.30192190279859404,47.13696345495509
E2_profile_huber_all,osi_target_t06h,0.010461012289881028,0.0034600160972288836,32982,0.7032627979377823,0.004942354228041794,0.26658980304577384,40.710084288399734
E2_profile_huber_all,osi_target_t24h,0.00857833808427345,0.002945109333392343,28680,0.46053976868312596,0.0030736071564289535,0.12219748463502357,42.56276150627615
E2_profile_huber_all,osi_target_t48h,0.007729676596327991,0.0023075468375261523,22944,0.35444096579329354,0.001995842338720016,0.05569292893471417,44.57810320781032
