model,horizon,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct
E1_best_subset,osi_target_t01h,0.011810897028430155,0.003684597787022698,34177,0.7310420309561265,0.005937753411119542,0.31542849066124673,48.37171197003833
E1_best_subset,osi_target_t06h,0.010512561705099621,0.003389107513172991,32982,0.7003310896258659,0.004828756502075626,0.257321594928204,47.541083014977865
E1_best_subset,osi_target_t24h,0.008367997134025156,0.0029389138513111657,28680,0.48667057085688237,0.0031013346887614444,0.12134283903376612,42.26638772663877
E1_best_subset,osi_target_t48h,0.007592908761336317,0.0023218529772275676,22944,0.3770837244327211,0.0020917024513388586,0.06225349433347234,46.29968619246862
E3_best_subset,osi_target_t01h,0.01184108264201585,0.003596727759110657,34177,0.7296654994514666,0.005752030407071028,0.28441276668246857,47.713374491617174
E3_best_subset,osi_target_t06h,0.010431361002815154,0.003358010082798622,32982,0.7049425914483365,0.004858279826410765,0.2625449995059635,46.834637074768054
E3_best_subset,osi_target_t24h,0.008367389201949287,0.0029394899672500656,28680,0.48674515455584855,0.0031037905172532267,0.12133925926551027,42.22803347280335
E3_best_subset,osi_target_t48h,0.007591376001408251,0.00232060523634693,22944,0.3773351918916883,0.002090832514737974,0.062368074966302915,46.35634588563459
E1_aligned,osi_target_t01h,0.011613372105430975,0.003541422655495818,34177,0.739962888427333,0.00569939711263879,0.31542849066124673,41.44892764139626
E1_aligned,osi_target_t06h,0.010277070672947895,0.0033449081601350642,32982,0.7136064327737213,0.004895362554722127,0.28078105475604925,41.90467527742405
E1_aligned,osi_target_t24h,0.008321871604052051,0.002825348222770517,28680,0.49231405628117153,0.003150897757793957,0.13347403599068747,43.10320781032078
E1_aligned,osi_target_t48h,0.007649425806321732,0.002289658633142345,22944,0.3677759842397351,0.002175002295962847,0.05579837781892648,48.17817294281729
E3_aligned,osi_target_t01h,0.011618276777815252,0.0035140023920264673,34177,0.7397431992367272,0.005678662806955113,0.28441276668246857,39.50024870526963
E3_aligned,osi_target_t06h,0.010250674161431002,0.0033183177552836736,32982,0.7150757391018292,0.004867195143636948,0.27330678533015684,39.939967254866296
E3_aligned,osi_target_t24h,0.00833738543702284,0.0028152155008070723,28680,0.49041941123828137,0.0031133211376130824,0.13060398780968957,40.923988842398884
E3_aligned,osi_target_t48h,0.00768782500315564,0.0022905988277953484,22944,0.3614126757811671,0.002156165408457334,0.049214771784270535,45.767956764295675
V18_current_rule,osi_target_t01h,0.011676613766703986,0.003502269606663691,34177,0.7371230662587978,0.005605508037151523,0.2926764026968674,42.22137694941042
V18_current_rule,osi_target_t06h,0.01032059984086345,0.003300881630204454,32982,0.7111752195739461,0.004790710156182373,0.2724774255106815,42.59899339033412
V18_current_rule,osi_target_t24h,0.008372823768376926,0.0029248130640176667,28680,0.48607822648387855,0.003075882620338982,0.12131757109497565,42.62900976290098
V18_current_rule,osi_target_t48h,0.007593428433818521,0.0023066625802577725,22944,0.37699845446964386,0.002066386768712737,0.061932949881020403,46.71373779637378
V19_best_by_horizon,osi_target_t01h,0.011613372105430975,0.003541422655495818,34177,0.739962888427333,0.00569939711263879,0.31542849066124673,41.44892764139626
V19_best_by_horizon,osi_target_t06h,0.010250674161431002,0.0033183177552836736,32982,0.7150757391018292,0.004867195143636948,0.27330678533015684,39.939967254866296
V19_best_by_horizon,osi_target_t24h,0.008321871604052051,0.002825348222770517,28680,0.49231405628117153,0.003150897757793957,0.13347403599068747,43.10320781032078
V19_best_by_horizon,osi_target_t48h,0.007591376001408251,0.00232060523634693,22944,0.3773351918916883,0.002090832514737974,0.062368074966302915,46.35634588563459
