model,horizon,fipsCode,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct,sse_contribution_pct
V18_C0,osi_target_t01h,18009,0.006256834706350866,0.0036198742515877584,143,0.8168839757660579,0.0074483850246670645,0.05370390261108156,44.05594405594406,0.11414130686805708
V18_C0,osi_target_t01h,18013,0.029471662597514547,0.01407085954041402,143,0.003126230226645821,0.0053140321371098805,0.017447870400624736,41.25874125874126,2.5324609076438778
V18_C0,osi_target_t01h,18023,0.002058984012400446,0.000786341027492084,143,-30.546086632489263,0.0008429843841354408,0.01247138715867587,77.62237762237763,0.012360596393245741
V18_C0,osi_target_t01h,18025,0.012095207115966854,0.0022349361008693392,143,0.19436618678882966,0.0013223429972734125,0.024752764880310453,72.72727272727273,0.4265403254725912
V18_C0,osi_target_t01h,18027,0.004142764779934102,0.0017739396907414766,143,-4.738563422141228,0.0023200935368953234,0.023147387280631766,72.72727272727273,0.0500396228481547
V18_C0,osi_target_t01h,18029,0.0014552097772302611,0.0005605980359918303,143,0.6743850796862838,0.000869492226161828,0.010147894270883483,81.11888111888112,0.006174256745930832
V18_C0,osi_target_t01h,18033,0.0031828350413569528,0.0013693729303158716,143,0.212025322184768,0.0007955417549835653,0.006966302154450964,72.72727272727273,0.02953668412067216
V18_C0,osi_target_t01h,18035,0.002015549305068993,0.0010267258002306626,143,0.7127213110931372,0.0017092108669248712,0.010591174618251896,62.93706293706294,0.011844598118160752
V18_C0,osi_target_t01h,18037,0.002839190132880574,0.0012068972133943273,143,-1.4238628946049365,0.0014277367119319025,0.015947501283536322,77.62237762237763,0.023502952939353762
V18_C0,osi_target_t01h,18039,0.002598117715360012,0.001835912967877539,143,-3.57927087681907,0.002424787705691121,0.009186224342734963,38.46153846153847,0.019681179634861996
V18_C0,osi_target_t01h,18041,0.0048005126966090194,0.002267376457745212,143,0.39809040817121166,0.001727245444792547,0.009613856567060439,46.85314685314685,0.06719063140552754
V18_C0,osi_target_t01h,18043,0.0019067710692957094,0.0007486425063514836,143,0.2226429644092789,0.0009893577602844502,0.011997804270684103,78.32167832167832,0.010600603356168055
V18_C0,osi_target_t01h,18045,0.0018238897293067862,0.0007553127206778156,143,0.45964663682073004,0.0012878816262287326,0.01657618723113785,77.62237762237763,0.009699082030464903
V18_C0,osi_target_t01h,18047,0.0034243281432008235,0.0013138008900310996,143,0.4903813329218708,0.0017109608856663535,0.018543629828716962,68.53146853146853,0.03418882909287114
V18_C0,osi_target_t01h,18051,0.0010598162800244371,0.0003584430726011389,143,0.7711146295309743,0.0005333695632261584,0.010116900631827247,83.21678321678321,0.0032748744122132914
V18_C0,osi_target_t01h,18059,0.001268164523440576,0.00038103683205561306,143,0.0016967128091120998,0.0005084807728077305,0.006080224928895954,79.02097902097903,0.0046890479779945395
V18_C0,osi_target_t01h,18061,0.0037969545419216087,0.0015661278956771206,143,0.44562631642793993,0.001573382062251935,0.024249680062360845,79.72027972027972,0.0420343438285178
V18_C0,osi_target_t01h,18065,0.0021048680305794792,0.0011209849053901563,143,0.39972139444611876,0.001422099311416736,0.00972149214358333,58.74125874125874,0.01291764130183202
