candidate,reference,horizon,rmse_diff,ci_low,ci_high,improvement_probability,replicates,county_count
E1_best_subset,V18_C1_E0,osi_target_t01h,-5.4530085961656746e-05,-0.00023252985449144368,0.00011216392137861577,0.7185,2000,239
E1_best_subset,V18_current_rule,osi_target_t01h,0.00013428326172616918,-0.0001066517986281905,0.00037240145445069,0.117,2000,239
E2_profile_huber_all,V18_C1_E0,osi_target_t01h,9.1628425882017e-05,-0.00024099825933533839,0.00047657345521162284,0.3205,2000,239
E2_profile_huber_all,V18_current_rule,osi_target_t01h,0.00028044177356984293,-5.771630126943706e-05,0.0006717712521985792,0.0635,2000,239
E3_best_subset,V18_C1_E0,osi_target_t01h,-2.434447237596206e-05,-0.00017796895371368629,0.0001617702236706134,0.642,2000,239
E3_best_subset,V18_current_rule,osi_target_t01h,0.00016446887531186387,-2.7364123180689337e-05,0.0003716420465326354,0.053,2000,239
E1_aligned,V18_C1_E0,osi_target_t01h,-0.0002520550089608366,-0.0004576735155346767,-8.286287564368706e-05,0.998,2000,239
E1_aligned,V18_current_rule,osi_target_t01h,-6.324166127301065e-05,-0.00019037583399088986,4.256519404590667e-05,0.8505,2000,239
E3_aligned,V18_C1_E0,osi_target_t01h,-0.0002471503365765598,-0.00046846963455935873,-3.4307272078180375e-05,0.9885,2000,239
E3_aligned,V18_current_rule,osi_target_t01h,-5.83369888887339e-05,-0.00017535006215424882,7.680879076843955e-05,0.832,2000,239
V19_best_by_horizon,V18_C1_E0,osi_target_t01h,-0.0002520550089608366,-0.0004576735155346767,-8.286287564368706e-05,0.998,2000,239
V19_best_by_horizon,V18_current_rule,osi_target_t01h,-6.324166127301065e-05,-0.00019037583399088986,4.256519404590667e-05,0.8505,2000,239
E1_best_subset,V18_C1_E0,osi_target_t06h,0.0,0.0,0.0,0.0,2000,239
E1_best_subset,V18_current_rule,osi_target_t06h,0.00019196186423617138,3.6020955162905344e-05,0.00036401145122525965,0.007,2000,239
E2_profile_huber_all,V18_C1_E0,osi_target_t06h,-5.1549415218593575e-05,-0.0003361209989532983,0.000302933650744334,0.635,2000,239
E2_profile_huber_all,V18_current_rule,osi_target_t06h,0.0001404124490175778,-0.00017766882213850194,0.0005392616642553537,0.23,2000,239
E3_best_subset,V18_C1_E0,osi_target_t06h,-8.120070228446671e-05,-0.00025296915948019497,0.00013727802472722717,0.7865,2000,239
E3_best_subset,V18_current_rule,osi_target_t06h,0.00011076116195170467,-0.00010955837179139113,0.0003895719036416594,0.191,2000,239
E1_aligned,V18_C1_E0,osi_target_t06h,-0.0002354910321517266,-0.0004044518064321869,-7.591255062872244e-05,0.9985,2000,239
E1_aligned,V18_current_rule,osi_target_t06h,-4.352916791555521e-05,-9.938289446854505e-05,1.773746548398837e-05,0.923,2000,239
E3_aligned,V18_C1_E0,osi_target_t06h,-0.0002618875436686194,-0.0004453485915125715,-0.00010297067898860527,1.0,2000,239
E3_aligned,V18_current_rule,osi_target_t06h,-6.9925679432448e-05,-0.00016460549081991202,3.38001074678545e-05,0.906,2000,239
V19_best_by_horizon,V18_C1_E0,osi_target_t06h,-0.0002618875436686194,-0.0004453485915125715,-0.00010297067898860527,1.0,2000,239
V19_best_by_horizon,V18_current_rule,osi_target_t06h,-6.9925679432448e-05,-0.00016460549081991202,3.38001074678545e-05,0.906,2000,239
E1_best_subset,V18_C1_E0,osi_target_t24h,-4.826634351771941e-06,-1.2340186151694457e-05,3.1778698817586108e-06,0.8845,2000,239
E1_best_subset,V18_current_rule,osi_target_t24h,-4.826634351771941e-06,-1.2340186151694457e-05,3.1778698817586108e-06,0.8845,2000,239
E2_profile_huber_all,V18_C1_E0,osi_target_t24h,0.00020551431589652287,-8.781807754197964e-05,0.0005586770102487403,0.149,2000,239
E2_profile_huber_all,V18_current_rule,osi_target_t24h,0.00020551431589652287,-8.781807754197964e-05,0.0005586770102487403,0.149,2000,239
E3_best_subset,V18_C1_E0,osi_target_t24h,-5.434566427641244e-06,-1.4276687286448761e-05,4.349927303456892e-06,0.866,2000,239
E3_best_subset,V18_current_rule,osi_target_t24h,-5.434566427641244e-06,-1.4276687286448761e-05,4.349927303456892e-06,0.866,2000,239
E1_aligned,V18_C1_E0,osi_target_t24h,-5.0952164324876564e-05,-0.00026885492881949713,0.00017101146325795578,0.685,2000,239
E1_aligned,V18_current_rule,osi_target_t24h,-5.0952164324876564e-05,-0.00026885492881949713,0.00017101146325795578,0.685,2000,239
E3_aligned,V18_C1_E0,osi_target_t24h,-3.543833135408701e-05,-0.0002658746358926942,0.00018635992623922408,0.629,2000,239
E3_aligned,V18_current_rule,osi_target_t24h,-3.543833135408701e-05,-0.0002658746358926942,0.00018635992623922408,0.629,2000,239
V19_best_by_horizon,V18_C1_E0,osi_target_t24h,-5.0952164324876564e-05,-0.00026885492881949713,0.00017101146325795578,0.685,2000,239
V19_best_by_horizon,V18_current_rule,osi_target_t24h,-5.0952164324876564e-05,-0.00026885492881949713,0.00017101146325795578,0.685,2000,239
E1_best_subset,V18_C1_E0,osi_target_t48h,-5.196724822045112e-07,-8.196025846689356e-06,8.69364048308627e-06,0.504,2000,239
E1_best_subset,V18_current_rule,osi_target_t48h,-5.196724822045112e-07,-8.196025846689356e-06,8.69364048308627e-06,0.504,2000,239
E2_profile_huber_all,V18_C1_E0,osi_target_t48h,0.00013624816250947056,-5.68981598789061e-05,0.0003583690897612062,0.1425,2000,239
