feature_set,component,candidate,horizon,stage,profile_gain_fraction
profile,N_t,huber,osi_target_t48h,regression,0.0580543191995105
profile,N_t,hurdle,osi_target_t01h,classification,0.1507388672107826
profile,N_t,hurdle,osi_target_t01h,magnitude,0.12093131182378909
profile,N_t,hurdle,osi_target_t06h,classification,0.1435123855913829
profile,N_t,hurdle,osi_target_t06h,magnitude,0.14080561680231188
profile,N_t,hurdle,osi_target_t24h,classification,0.14981699564968817
profile,N_t,hurdle,osi_target_t24h,magnitude,0.11281964991919939
profile,N_t,hurdle,osi_target_t48h,classification,0.1583936257544468
profile,N_t,hurdle,osi_target_t48h,magnitude,0.1254537401851379
profile,N_t,tweedie,osi_target_t01h,regression,0.1017258420665872
profile,N_t,tweedie,osi_target_t06h,regression,0.09626685115204169
profile,N_t,tweedie,osi_target_t24h,regression,0.09694160011194877
profile,N_t,tweedie,osi_target_t48h,regression,0.1025926690513742
profile,P_t,huber,osi_target_t01h,regression,0.1732381091821205
profile,P_t,huber,osi_target_t06h,regression,0.10665425954267413
profile,P_t,huber,osi_target_t24h,regression,0.06729467354590402
profile,P_t,huber,osi_target_t48h,regression,0.051634415704913
profile,P_t,l2,osi_target_t01h,regression,0.17344394138626437
profile,P_t,l2,osi_target_t06h,regression,0.10665425954267413
profile,P_t,l2,osi_target_t24h,regression,0.06729467354590402
profile,P_t,l2,osi_target_t48h,regression,0.051634415704913
profile,P_t,weighted_l2,osi_target_t01h,regression,0.1878115536208619
profile,P_t,weighted_l2,osi_target_t06h,regression,0.13117169781209678
profile,P_t,weighted_l2,osi_target_t24h,regression,0.06530330815860269
profile,P_t,weighted_l2,osi_target_t48h,regression,0.053481758349613835
profile,R_t,huber,osi_target_t01h,regression,0.10541929961487688
profile,R_t,huber,osi_target_t06h,regression,0.09659154874567175
profile,R_t,huber,osi_target_t24h,regression,0.1070435715832917
profile,R_t,huber,osi_target_t48h,regression,0.09480647056769509
profile,R_t,hurdle,osi_target_t01h,classification,0.15798633783586472
profile,R_t,hurdle,osi_target_t01h,magnitude,0.11172483631368552
profile,R_t,hurdle,osi_target_t06h,classification,0.1526033335089683
profile,R_t,hurdle,osi_target_t06h,magnitude,0.1371034920374446
profile,R_t,hurdle,osi_target_t24h,classification,0.14339108326447067
profile,R_t,hurdle,osi_target_t24h,magnitude,0.1155925649580385
profile,R_t,hurdle,osi_target_t48h,classification,0.14636902309666439
profile,R_t,hurdle,osi_target_t48h,magnitude,0.1309658604365741
profile,R_t,tweedie,osi_target_t01h,regression,0.0993056359784488
profile,R_t,tweedie,osi_target_t06h,regression,0.09486026611010309
profile,R_t,tweedie,osi_target_t24h,regression,0.11582387947664802
profile,R_t,tweedie,osi_target_t48h,regression,0.1229693529386095
