feature_set,component,candidate,horizon,stage,feature,gain,gain_fraction
base,P_t,l2,osi_target_t01h,regression,gust_at_t48h,0.4707509358704556,0.001499070847950172
base,P_t,l2,osi_target_t01h,regression,wind_speed_at_t48h,0.5794182309182361,0.0018451136525821222
base,P_t,l2,osi_target_t01h,regression,t2m_at_t48h,6.431657492008526,0.020481128162692624
base,P_t,l2,osi_target_t01h,regression,tp_at_t48h,0.03288714223890565,0.0001047266238814254
base,P_t,l2,osi_target_t01h,regression,hour_of_day,0.07333689631195739,0.00023353581472359105
base,P_t,l2,osi_target_t01h,regression,hour_sin,0.2338620930968318,0.000744716195951533
base,P_t,l2,osi_target_t01h,regression,hour_cos,0.042640144092729315,0.00013578432264528805
base,P_t,l2,osi_target_t01h,regression,days_since_onset,0.09569060057401657,0.00030471949987334054
base,P_t,l2,osi_target_t01h,regression,hours_since_obs,90.33032776825712,0.2876501154326789
base,P_t,l2,osi_target_t01h,regression,storm_phase,0.007772140204906464,2.4749794253330924e-05
base,P_t,l2,osi_target_t01h,regression,log_customers,2.2075433016580064,0.007029755135768557
base,P_t,l2,osi_target_t01h,regression,rural_urban_code,0.4013941574667115,0.0012782094184969456
base,P_t,l2,osi_target_t01h,regression,is_metro,0.0,0.0
base,P_t,l2,osi_target_t01h,regression,pop_density,1.6369763150578365,0.00521282760309454
base,P_t,l2,osi_target_t01h,regression,n_utilities,0.17474672361277044,0.0005564677607243194
base,P_t,l2,osi_target_t01h,regression,pct_forest,4.7013225369446445,0.014971007012260666
base,P_t,l2,osi_target_t01h,regression,pct_developed,0.5229416552756447,0.0016652682573067756
base,P_t,l2,osi_target_t01h,regression,pct_agriculture,0.25263692330918275,0.0008045032266337077
base,P_t,l2,osi_target_t01h,regression,pct_water,0.26701041794149205,0.0008502745361407643
base,P_t,l2,osi_target_t01h,regression,pct_wetland,0.8065338301530574,0.002568346147697853
base,P_t,l2,osi_target_t01h,regression,pct_unmapped,1.9267008158494718,0.0061354334228165336
base,P_t,l2,osi_target_t01h,regression,pct_forest_classified,0.3134742203983478,0.0009982350104395462
base,P_t,l2,osi_target_t01h,regression,tree_canopy_pct,0.1664491382543929,0.0005300447260125097
base,P_t,l2,osi_target_t01h,regression,tree_canopy_std,0.6562763353867922,0.002089862489086246
base,P_t,l2,osi_target_t01h,regression,forest_x_customers,0.30392389741609804,0.000967822727254752
base,P_t,l2,osi_target_t01h,regression,window_len_next_1h,0.0,0.0
base,P_t,l2,osi_target_t01h,regression,is_full_next_1h,0.0,0.0
base,P_t,l2,osi_target_t01h,regression,tp_rate_next_1h,0.02341462211916223,7.456209804384645e-05
base,P_t,l2,osi_target_t01h,regression,gust_gt30_frac_next_1h,0.0,0.0
base,P_t,l2,osi_target_t01h,regression,has_weather_at_t1h,0.0,0.0
base,P_t,l2,osi_target_t01h,regression,window_len_next_6h,0.0,0.0
base,P_t,l2,osi_target_t01h,regression,is_full_next_6h,0.0,0.0
base,P_t,l2,osi_target_t01h,regression,tp_rate_next_6h,0.260245706216665,0.0008287328218949415
base,P_t,l2,osi_target_t01h,regression,gust_gt30_frac_next_6h,0.013154279615264386,4.18888112470041e-05
base,P_t,l2,osi_target_t01h,regression,has_weather_at_t6h,0.0,0.0
base,P_t,l2,osi_target_t01h,regression,window_len_next_24h,0.0,0.0
base,P_t,l2,osi_target_t01h,regression,is_full_next_24h,0.0,0.0
base,P_t,l2,osi_target_t01h,regression,tp_rate_next_24h,0.24086907168384641,0.0007670293907465301
base,P_t,l2,osi_target_t01h,regression,gust_gt30_frac_next_24h,0.009998880210332572,3.184067984429929e-05
base,P_t,l2,osi_target_t01h,regression,has_weather_at_t24h,0.0,0.0
base,P_t,l2,osi_target_t01h,regression,window_len_next_48h,0.0,0.0
base,P_t,l2,osi_target_t01h,regression,is_full_next_48h,0.0,0.0
base,P_t,l2,osi_target_t01h,regression,tp_rate_next_48h,0.1412941685412079,0.00044994062232469006
base,P_t,l2,osi_target_t01h,regression,gust_gt30_frac_next_48h,0.06573352386476472,0.0002093234486650546
base,P_t,l2,osi_target_t01h,regression,has_weather_at_t48h,0.0,0.0
base,P_t,l2,osi_target_t06h,regression,last_osi,27.812690216000192,0.13654034756063915
base,P_t,l2,osi_target_t06h,regression,last_P_t,22.663040792860556,0.1112592648393989
base,P_t,l2,osi_target_t06h,regression,last_N_t,1.587352605361957,0.007792762036112639
base,P_t,l2,osi_target_t06h,regression,last_D_t,1.7655366291292012,0.00866751770864864
base,P_t,l2,osi_target_t06h,regression,last_R_t,1.1135180891142227,0.005466574636323691
base,P_t,l2,osi_target_t06h,regression,last_outage_pct,4.017028644215316,0.01972072758810893
base,P_t,l2,osi_target_t06h,regression,osi_mean_72h,0.44271962193306535,0.002173435600123289
base,P_t,l2,osi_target_t06h,regression,osi_max_72h,0.33331407251534984,0.001636332873758336
base,P_t,l2,osi_target_t06h,regression,osi_std_72h,0.047629119479097426,0.00023382479282575583
base,P_t,l2,osi_target_t06h,regression,outage_pct_mean_72h,0.17663830297533423,0.0008671672928244379
base,P_t,l2,osi_target_t06h,regression,outage_pct_max_72h,0.192134668759536,0.0009432433269537965
base,P_t,l2,osi_target_t06h,regression,N_t_mean_72h,2.1531835541827604,0.010570585893227798
base,P_t,l2,osi_target_t06h,regression,N_t_max_72h,0.28400969924405217,0.0013942837871565071
base,P_t,l2,osi_target_t06h,regression,R_t_mean_72h,0.15692558634327725,0.0007703920021423079
base,P_t,l2,osi_target_t06h,regression,R_t_max_72h,0.5343748105806299,0.0026233967946888885
base,P_t,l2,osi_target_t06h,regression,pre_event_mean_osi,0.4547802707529627,0.0022326447298006563
base,P_t,l2,osi_target_t06h,regression,pre_event_max_outage_pct,0.2541428360855207,0.0012476589247451065
base,P_t,l2,osi_target_t06h,regression,storm_onset_max_osi,0.12067843519616872,0.0005924445048929399
