config,horizon,fold,train_rows,valid_rows,fit_seconds,model_bytes,rmse,mae,n
ET-A,osi_target_t24h,0,22920,5760,11.140660499993828,77770126,0.0048192965290350265,0.0021728843802331604,5760.0
ET-A,osi_target_t24h,1,23040,5640,11.035809900000459,77164267,0.008209207302508938,0.0029234500086648316,5640.0
ET-A,osi_target_t24h,2,22920,5760,11.627523000002839,76689328,0.013466073943441247,0.003731085931025074,5760.0
ET-A,osi_target_t24h,3,22920,5760,11.690003200012143,76694096,0.008191180266805232,0.0036461511604066747,5760.0
ET-A,osi_target_t24h,4,22920,5760,16.084464599989587,77378640,0.007569037130274488,0.0024882543421327584,5760.0
ET-A,osi_target_t24h,final,28680,9072,22.736507199995685,96121086,,,
ET-B,osi_target_t24h,0,22920,5760,15.409949700013385,26015848,0.004886706689730463,0.0021180168382707804,5760.0
ET-B,osi_target_t24h,1,23040,5640,15.735842699999921,25983722,0.008245818857067079,0.0028594501186131665,5640.0
ET-B,osi_target_t24h,2,22920,5760,16.31042819999857,25848501,0.013748985009127985,0.003713918883056738,5760.0
ET-B,osi_target_t24h,3,22920,5760,16.35649900000135,25840134,0.007783602239197153,0.003557983683266741,5760.0
ET-B,osi_target_t24h,4,22920,5760,15.638934899994638,25977020,0.007640145434977751,0.0024616559657677788,5760.0
ET-B,osi_target_t24h,final,28680,9072,19.25532659998862,32238552,,,
ET-A,osi_target_t48h,0,18336,4608,12.857674200000474,60719330,0.0035281332604404623,0.0015489822431503885,4608.0
ET-A,osi_target_t48h,1,18432,4512,12.50549090000277,59850373,0.0060046023292926855,0.0021971454591561083,4512.0
ET-A,osi_target_t48h,2,18336,4608,12.689801700005773,59673916,0.014196493580719881,0.0034841050826852674,4608.0
ET-A,osi_target_t48h,3,18336,4608,12.901508599999943,59655271,0.006868691420310965,0.002795648824588999,4608.0
ET-A,osi_target_t48h,4,18336,4608,12.037995499995304,60246414,0.006527741965607145,0.001946364287496639,4608.0
ET-A,osi_target_t48h,final,22944,9072,15.509499000007054,74777423,,,
ET-B,osi_target_t48h,0,18336,4608,11.582831300009275,20792884,0.003639221669276923,0.0015632982050160177,4608.0
ET-B,osi_target_t48h,1,18432,4512,10.929060199996457,20749861,0.00586506275900349,0.0021145962813510165,4512.0
ET-B,osi_target_t48h,2,18336,4608,10.789554100003443,20704559,0.01437154495373984,0.003468567414735791,4608.0
ET-B,osi_target_t48h,3,18336,4608,10.960519600004773,20641272,0.006419613110289303,0.0026482589084335113,4608.0
ET-B,osi_target_t48h,4,18336,4608,9.996087499996065,20746337,0.00655721259258554,0.001926112509549524,4608.0
ET-B,osi_target_t48h,final,22944,9072,13.391148899987456,25758889,,,
