config,horizon,rank,feature,importance
ET-A,osi_target_t24h,1,last_outage_pct,0.03297958503842848
ET-A,osi_target_t24h,2,last_osi,0.03227673896166349
ET-A,osi_target_t24h,3,last_D_t,0.030895815585195555
ET-A,osi_target_t24h,4,pct_forest,0.028459046153668583
ET-A,osi_target_t24h,5,last_P_t,0.028314402629678822
ET-A,osi_target_t24h,6,storm_phase,0.02618980173869891
ET-A,osi_target_t24h,7,days_since_onset,0.024365032692531177
ET-A,osi_target_t24h,8,hours_since_obs,0.024071556266720397
ET-A,osi_target_t24h,9,osi_trend_last6h,0.021366750629101514
ET-A,osi_target_t24h,10,log_customers,0.021115903217890867
ET-A,osi_target_t24h,11,total_tp_next_24h,0.019438077150418735
ET-A,osi_target_t24h,12,cumul_gust_since_onset,0.01933570281381504
ET-A,osi_target_t24h,13,tp_rate_next_24h,0.018746947851729187
ET-A,osi_target_t24h,14,wind_speed_max_next_48h,0.017833598553722674
ET-A,osi_target_t24h,15,gust_gt30_since_onset,0.015545141543395822
ET-A,osi_target_t24h,16,storm_onset_max_osi,0.013933779758938156
ET-A,osi_target_t24h,17,gust_x_hso,0.013474368763974249
ET-A,osi_target_t24h,18,pct_forest_classified,0.012773213930716197
ET-A,osi_target_t24h,19,gust_x_phase,0.012557370505422417
ET-A,osi_target_t24h,20,min_t2m_next_24h,0.012017987631587476
ET-A,osi_target_t24h,21,tree_canopy_pct,0.012014487633461952
ET-A,osi_target_t24h,22,N_t_mean_72h,0.011919790005400225
ET-A,osi_target_t24h,23,outage_pct_max_72h,0.011684209474337405
ET-A,osi_target_t24h,24,min_t2m_next_48h,0.011469147984808128
ET-A,osi_target_t24h,25,osi_max_72h,0.01132381686425992
ET-A,osi_target_t24h,26,forest_x_customers,0.011219977097913787
ET-A,osi_target_t24h,27,soil_gust_x_phase,0.011056428427039598
ET-A,osi_target_t24h,28,pct_unmapped,0.010336919807077488
ET-A,osi_target_t24h,29,tp_rate_next_48h,0.01010019294489551
ET-A,osi_target_t24h,30,gust_last_obs,0.010031111011206425
ET-A,osi_target_t24h,31,N_t_max_72h,0.009784511464341334
ET-A,osi_target_t24h,32,wind_speed_max_next_24h,0.009766327356260797
ET-A,osi_target_t24h,33,pre_event_mean_osi,0.009514598840320052
ET-A,osi_target_t24h,34,total_tp_next_48h,0.009421876726912854
ET-A,osi_target_t24h,35,tree_canopy_std,0.009374523920806323
ET-A,osi_target_t24h,36,last_N_t,0.009359403072983361
ET-A,osi_target_t24h,37,gust_gt30_next_48h,0.009353926733526065
ET-A,osi_target_t24h,38,t2m_at_t24h,0.00910574152563521
ET-A,osi_target_t24h,39,storm_onset_mean_osi,0.009067536172685903
ET-A,osi_target_t24h,40,gust_gt30_frac_next_48h,0.009030939283944588
ET-A,osi_target_t24h,41,t2m_at_t48h,0.008802526513096154
ET-A,osi_target_t24h,42,R_t_mean_72h,0.008432628151420415
ET-A,osi_target_t24h,43,pre_event_max_outage_pct,0.008252451606275803
ET-A,osi_target_t24h,44,osi_std_72h,0.008028479356515267
ET-A,osi_target_t24h,45,gust_max_next_24h,0.00800440647986522
ET-A,osi_target_t24h,46,pct_agriculture,0.00780003834568218
ET-A,osi_target_t24h,47,frac_zero_72h,0.007756990873892879
ET-A,osi_target_t24h,48,gust_mean_next_24h,0.007664514032752173
