candidate,outer_fold,kind,target,inner_fold,best_iteration,refit_rounds,actual_trees,training_rows,training_counties,validation_rows,weight_mean,row_weight_ess,model_id
F2,0,a,P_anchor_a_t01h,1,44,157,157,15587,109,5148,0.012898766168363473,1633.4988299901036,8c621e948090bce291a968c5842618cec039e8ad4e9ef905d72707fd77f6f185
F2,0,a,P_anchor_a_t01h,2,105,157,157,15730,110,5005,0.01606537335234457,822.1652824401574,8c621e948090bce291a968c5842618cec039e8ad4e9ef905d72707fd77f6f185
F2,0,a,P_anchor_a_t01h,3,334,157,157,15587,109,5148,0.01859197286116707,925.9675155517803,8c621e948090bce291a968c5842618cec039e8ad4e9ef905d72707fd77f6f185
F2,0,a,P_anchor_a_t01h,4,148,157,157,15301,107,5434,0.01684826463031558,778.6947154648161,8c621e948090bce291a968c5842618cec039e8ad4e9ef905d72707fd77f6f185
F2,0,b,P_excess_b_t01h,1,104,311,311,20592,144,6721,0.9214933706552195,20082.791402330273,4bc3151cbef8477bbadfaa2e4c822d01b9de2132c6031742d85e607b6681b375
F2,0,b,P_excess_b_t01h,2,549,311,311,20449,143,6864,0.9171621725087965,19905.395485192388,4bc3151cbef8477bbadfaa2e4c822d01b9de2132c6031742d85e607b6681b375
F2,0,b,P_excess_b_t01h,3,345,311,311,20449,143,6864,0.9175341661389315,19830.426018048674,4bc3151cbef8477bbadfaa2e4c822d01b9de2132c6031742d85e607b6681b375
F2,0,b,P_excess_b_t01h,4,246,311,311,20449,143,6864,0.9232117898562502,19905.556940570852,4bc3151cbef8477bbadfaa2e4c822d01b9de2132c6031742d85e607b6681b375
F2,1,a,P_anchor_a_t01h,0,45,170,170,15587,109,5863,0.012898766168363473,1633.4988299901036,9ec52cd181ea6d89d36f1ba4c6adca6e141b69c506ea7c3be9e749df0ec087cf
F2,1,a,P_anchor_a_t01h,2,441,170,170,16445,115,5005,0.010062883290226211,2360.673400401161,9ec52cd181ea6d89d36f1ba4c6adca6e141b69c506ea7c3be9e749df0ec087cf
F2,1,a,P_anchor_a_t01h,3,67,170,170,16302,114,5148,0.012426013609520373,1666.6935422710965,9ec52cd181ea6d89d36f1ba4c6adca6e141b69c506ea7c3be9e749df0ec087cf
F2,1,a,P_anchor_a_t01h,4,129,170,170,16016,112,5434,0.010650043080909631,1509.7043784075847,9ec52cd181ea6d89d36f1ba4c6adca6e141b69c506ea7c3be9e749df0ec087cf
F2,1,b,P_excess_b_t01h,0,449,414,414,20592,144,6864,0.9214933706552195,20082.791402330273,7fee49c038b20d3e128310c845d689b0f2a4e6de1ae7547bd1c1ecaf551fafb9
F2,1,b,P_excess_b_t01h,2,660,414,414,20592,144,6864,0.9206337351692779,20152.37670428022,7fee49c038b20d3e128310c845d689b0f2a4e6de1ae7547bd1c1ecaf551fafb9
