component,horizon,model_a,model_b,residual_correlation,mean_absolute_prediction_disagreement
P_t,osi_target_t01h,lightgbm,xgboost,0.9460011644715626,0.002539058668180206
P_t,osi_target_t01h,lightgbm,catboost,0.9383946225695945,0.0026869849069255593
P_t,osi_target_t01h,xgboost,catboost,0.9432440724187247,0.0023896394745522467
N_t,osi_target_t01h,lightgbm,xgboost,0.9812999446276361,0.00038740996934647344
N_t,osi_target_t01h,lightgbm,catboost,0.9781384516544156,0.0004119260337119687
N_t,osi_target_t01h,xgboost,catboost,0.9853910762277582,0.0002785382796180368
D_t,osi_target_t01h,lightgbm,xgboost,0.9229965442059382,0.0025083240699602847
D_t,osi_target_t01h,lightgbm,catboost,0.9143124149273705,0.0027365024767353743
D_t,osi_target_t01h,xgboost,catboost,0.925354300846161,0.002666194478518668
R_t,osi_target_t01h,lightgbm,xgboost,0.9830653821842619,0.00040058559609939853
R_t,osi_target_t01h,lightgbm,catboost,0.9791099805467784,0.000418980593769117
R_t,osi_target_t01h,xgboost,catboost,0.988158580183512,0.000296451862233353
P_t,osi_target_t06h,lightgbm,xgboost,0.9409767137073378,0.0025367157506655516
P_t,osi_target_t06h,lightgbm,catboost,0.9215287427625848,0.002760520682020806
P_t,osi_target_t06h,xgboost,catboost,0.9364501618962148,0.0023874819532928694
N_t,osi_target_t06h,lightgbm,xgboost,0.9848537508268229,0.0003234407372740251
N_t,osi_target_t06h,lightgbm,catboost,0.9836726737060716,0.00031924597015101325
N_t,osi_target_t06h,xgboost,catboost,0.9931853479437566,0.00020312966203056811
D_t,osi_target_t06h,lightgbm,xgboost,0.9324935734155682,0.002380391199004323
D_t,osi_target_t06h,lightgbm,catboost,0.931658795748874,0.002484002517218297
D_t,osi_target_t06h,xgboost,catboost,0.9501149702548539,0.002217823566225484
R_t,osi_target_t06h,lightgbm,xgboost,0.981780400712485,0.00040791277431941427
R_t,osi_target_t06h,lightgbm,catboost,0.9785319730590359,0.00041218214359657347
R_t,osi_target_t06h,xgboost,catboost,0.9895099826461182,0.00026893655333323655
P_t,osi_target_t24h,lightgbm,xgboost,0.9589439803039052,0.0021311051996332465
P_t,osi_target_t24h,lightgbm,catboost,0.9570820023784222,0.0020806098579510255
P_t,osi_target_t24h,xgboost,catboost,0.9656932726134068,0.0016141066950664936
N_t,osi_target_t24h,lightgbm,xgboost,0.9857215122144901,0.000332116978369374
N_t,osi_target_t24h,lightgbm,catboost,0.9823281376528753,0.00034468570938464197
N_t,osi_target_t24h,xgboost,catboost,0.9920298027508568,0.00020576457677106514
D_t,osi_target_t24h,lightgbm,xgboost,0.9402467836627415,0.002123000094831018
D_t,osi_target_t24h,lightgbm,catboost,0.9385380179670872,0.00210809582120332
D_t,osi_target_t24h,xgboost,catboost,0.9538625206418432,0.0016264699510602487
R_t,osi_target_t24h,lightgbm,xgboost,0.9836077287120707,0.0003440582981173523
R_t,osi_target_t24h,lightgbm,catboost,0.9791508519796758,0.0003694509083403446
R_t,osi_target_t24h,xgboost,catboost,0.9892614377292239,0.00021913064381686562
P_t,osi_target_t48h,lightgbm,xgboost,0.9734213468904941,0.001595118977297885
P_t,osi_target_t48h,lightgbm,catboost,0.9712444800701854,0.0016167541516753916
P_t,osi_target_t48h,xgboost,catboost,0.9809086724825314,0.0010776557249507187
N_t,osi_target_t48h,lightgbm,xgboost,0.9887584449083904,0.000232749078140327
N_t,osi_target_t48h,lightgbm,catboost,0.9876602430245139,0.0002520847255926877
N_t,osi_target_t48h,xgboost,catboost,0.9948831207291925,0.00013847748703660988
D_t,osi_target_t48h,lightgbm,xgboost,0.9723083100193317,0.0014491078719915992
D_t,osi_target_t48h,lightgbm,catboost,0.963782709683748,0.0015572122608209225
D_t,osi_target_t48h,xgboost,catboost,0.9697480328947844,0.0011758714238092908
R_t,osi_target_t48h,lightgbm,xgboost,0.9886752166181729,0.0002484217682992275
R_t,osi_target_t48h,lightgbm,catboost,0.9853136536224404,0.00026750018328163943
R_t,osi_target_t48h,xgboost,catboost,0.9909403759570673,0.00017221201770195
