component,horizon,model,subset,threshold,actual_zero_pct,rmse,mae,n
P_t,osi_target_t01h,lightgbm,zero,0.0,40.27269801328379,0.0033600094971330953,0.0013792273698456424,13764
P_t,osi_target_t01h,xgboost,zero,0.0,40.27269801328379,0.002801592267332445,0.0011274888609130937,13764
P_t,osi_target_t01h,catboost,zero,0.0,40.27269801328379,0.0028955428623196893,0.0012056023379758264,13764
P_t,osi_target_t01h,simple_average,zero,0.0,40.27269801328379,0.0028001132151091587,0.0012374395229115208,13764
P_t,osi_target_t01h,static_convex,zero,0.0,40.27269801328379,0.0028912677690748124,0.0012636612223630324,13764
P_t,osi_target_t01h,safe_convex,zero,0.0,40.27269801328379,0.0028912677690748176,0.0012636612223630346,13764
P_t,osi_target_t01h,lightgbm,positive,0.0,40.27269801328379,0.02444388685977975,0.008366121216733972,20413
P_t,osi_target_t01h,xgboost,positive,0.0,40.27269801328379,0.024759973879402788,0.00814635899143581,20413
P_t,osi_target_t01h,catboost,positive,0.0,40.27269801328379,0.025016194687169015,0.007992169331045209,20413
P_t,osi_target_t01h,simple_average,positive,0.0,40.27269801328379,0.02427302313165045,0.007878670594476903,20413
P_t,osi_target_t01h,static_convex,positive,0.0,40.27269801328379,0.024479240346366893,0.00806447693966268,20413
P_t,osi_target_t01h,safe_convex,positive,0.0,40.27269801328379,0.02447924034636688,0.008064476939662682,20413
P_t,osi_target_t01h,lightgbm,positive_tail_95,0.06811432419999995,40.27269801328379,0.09732644401036789,0.061455397346527725,1021
P_t,osi_target_t01h,xgboost,positive_tail_95,0.06811432419999995,40.27269801328379,0.098500082396735,0.06244279369325955,1021
P_t,osi_target_t01h,catboost,positive_tail_95,0.06811432419999995,40.27269801328379,0.10140399815062535,0.062154871358846946,1021
P_t,osi_target_t01h,simple_average,positive_tail_95,0.06811432419999995,40.27269801328379,0.09787854164691062,0.06027961443511461,1021
P_t,osi_target_t01h,static_convex,positive_tail_95,0.06811432419999995,40.27269801328379,0.09829923799697407,0.061604735105161325,1021
P_t,osi_target_t01h,safe_convex,positive_tail_95,0.06811432419999995,40.27269801328379,0.09829923799697403,0.0616047351051613,1021
N_t,osi_target_t01h,lightgbm,zero,0.0,60.628492846066074,0.000957406526200936,0.0004394239448879257,20721
N_t,osi_target_t01h,xgboost,zero,0.0,60.628492846066074,0.0005828055266709713,0.0002567422018364894,20721
N_t,osi_target_t01h,catboost,zero,0.0,60.628492846066074,0.0007887847731749362,0.0003424382959217061,20721
N_t,osi_target_t01h,simple_average,zero,0.0,60.628492846066074,0.0007021279818796234,0.0003462014808820404,20721
N_t,osi_target_t01h,static_convex,zero,0.0,60.628492846066074,0.0007963079012604784,0.0003919244223026322,20721
N_t,osi_target_t01h,safe_convex,zero,0.0,60.628492846066074,0.0007963079012604802,0.00039192442230263306,20721
N_t,osi_target_t01h,lightgbm,positive,0.0,60.628492846066074,0.006692570744414619,0.0016406422520852716,13456
N_t,osi_target_t01h,xgboost,positive,0.0,60.628492846066074,0.006814081834345437,0.0014944137475126182,13456
N_t,osi_target_t01h,catboost,positive,0.0,60.628492846066074,0.006773678253178515,0.0015332798804879666,13456
N_t,osi_target_t01h,simple_average,positive,0.0,60.628492846066074,0.006731853977351741,0.0015288654452378814,13456
N_t,osi_target_t01h,static_convex,positive,0.0,60.628492846066074,0.006729644717119544,0.0015658831823093208,13456
N_t,osi_target_t01h,safe_convex,positive,0.0,60.628492846066074,0.0067296447171195425,0.001565883182309322,13456
N_t,osi_target_t01h,lightgbm,positive_tail_95,0.0064474795,60.628492846066074,0.02908005932771313,0.01685429152097467,673
N_t,osi_target_t01h,xgboost,positive_tail_95,0.0064474795,60.628492846066074,0.029996808947379366,0.017472935994934755,673
N_t,osi_target_t01h,catboost,positive_tail_95,0.0064474795,60.628492846066074,0.029668594680882315,0.017167246262435015,673
N_t,osi_target_t01h,simple_average,positive_tail_95,0.0064474795,60.628492846066074,0.029545699502456824,0.017103428832138383,673
N_t,osi_target_t01h,static_convex,positive_tail_95,0.0064474795,60.628492846066074,0.02946697292790778,0.017058265430401523,673
N_t,osi_target_t01h,safe_convex,positive_tail_95,0.0064474795,60.628492846066074,0.02946697292790777,0.017058265430401516,673
D_t,osi_target_t01h,lightgbm,zero,0.0,24.85297129648594,0.0028827813098000646,0.0011581497037106915,8494
D_t,osi_target_t01h,xgboost,zero,0.0,24.85297129648594,0.002698178605045938,0.0010909000490021102,8494
D_t,osi_target_t01h,catboost,zero,0.0,24.85297129648594,0.0025830405556562536,0.0010512791157734308,8494
D_t,osi_target_t01h,simple_average,zero,0.0,24.85297129648594,0.002533427163146671,0.0011001096228287442,8494
D_t,osi_target_t01h,static_convex,zero,0.0,24.85297129648594,0.0026087007949834413,0.0011247848042335517,8494
D_t,osi_target_t01h,safe_convex,zero,0.0,24.85297129648594,0.002608700794983448,0.0011247848042335526,8494
D_t,osi_target_t01h,lightgbm,positive,0.0,24.85297129648594,0.01974292330622681,0.00670969917002722,25683
D_t,osi_target_t01h,xgboost,positive,0.0,24.85297129648594,0.020164495955515848,0.006708472102102849,25683
D_t,osi_target_t01h,catboost,positive,0.0,24.85297129648594,0.020403036895356674,0.006755765045707941,25683
D_t,osi_target_t01h,simple_average,positive,0.0,24.85297129648594,0.019570752933171738,0.0064559472061657885,25683
D_t,osi_target_t01h,static_convex,positive,0.0,24.85297129648594,0.019969948942367286,0.006589079671271975,25683
D_t,osi_target_t01h,safe_convex,positive,0.0,24.85297129648594,0.019969948942367286,0.0065890796712719775,25683
D_t,osi_target_t01h,lightgbm,positive_tail_95,0.060817505899999756,24.85297129648594,0.07831758605656973,0.04894962865070155,1285
D_t,osi_target_t01h,xgboost,positive_tail_95,0.060817505899999756,24.85297129648594,0.0787257542304928,0.04911611518815085,1285
D_t,osi_target_t01h,catboost,positive_tail_95,0.060817505899999756,24.85297129648594,0.08138415979204314,0.051677697498264515,1285
D_t,osi_target_t01h,simple_average,positive_tail_95,0.060817505899999756,24.85297129648594,0.07787185413338166,0.047836123694138276,1285
D_t,osi_target_t01h,static_convex,positive_tail_95,0.060817505899999756,24.85297129648594,0.07945204323543295,0.04900164279343042,1285
D_t,osi_target_t01h,safe_convex,positive_tail_95,0.060817505899999756,24.85297129648594,0.07945204323543299,0.049001642793430465,1285
