horizon,model,rmse,mae,n,rmse_change_pct_vs_v1.8,mae_change_pct_vs_v1.8
osi_target_t01h,lightgbm,0.011865427114391812,0.003526919842147216,34177,1.61702143669622,0.703836033543026
osi_target_t01h,xgboost,0.012039457081452815,0.0034105128772544714,34177,3.107436128301866,-2.619921928187263
osi_target_t01h,catboost,0.01208685675349531,0.003374731947906401,34177,3.513372926328495,-3.6415716972396095
osi_target_t01h,simple_average,0.011774991381680953,0.0033246617188021385,34177,0.84251836142335,-5.071222601584468
osi_target_t01h,static_convex,0.011920424156218613,0.0034104201831716527,34177,2.088023072321321,-2.6225686142859694
osi_target_t01h,safe_convex,0.011920424156218608,0.0034104201831716536,34177,2.0880230723212767,-2.622568614285936
osi_target_t01h,v1.8_rule,0.011676613766703986,0.003502269606663691,34177,0.0,0.0
osi_target_t06h,lightgbm,0.010512561705099621,0.003389107513172991,32982,1.859987473558622,2.672797538731264
osi_target_t06h,xgboost,0.01065798817947317,0.0032209649490989455,32982,3.2690768347965804,-2.4210707943670973
osi_target_t06h,catboost,0.010939826864888202,0.0032311499764815085,32982,5.999913121066669,-2.1125160346518235
osi_target_t06h,simple_average,0.010501103900779466,0.0031873064046732415,32982,1.7489686907666613,-3.4407542667374558
osi_target_t06h,static_convex,0.010547928116503971,0.0032544109686037377,32982,2.2026653406368446,-1.4078257510202752
osi_target_t06h,safe_convex,0.010547928116503971,0.00325441096860374,32982,2.2026653406368446,-1.4078257510202197
osi_target_t06h,v1.8_rule,0.01032059984086345,0.003300881630204454,32982,0.0,0.0
osi_target_t24h,lightgbm,0.008372823768376926,0.0029248130640176667,28680,0.0,0.0
osi_target_t24h,xgboost,0.008580166926726196,0.002642201603693397,28680,2.476382688626244,-9.662547798390253
osi_target_t24h,catboost,0.00852713389463527,0.0026223109121066234,28680,1.8429878679777412,-10.342614905292836
osi_target_t24h,simple_average,0.008386419184693251,0.002622349925087885,28680,0.16237552219446894,-10.34128104290889
osi_target_t24h,static_convex,0.008432926880835086,0.0028056760718139437,28680,0.7178356325277191,-4.0733198873253995
osi_target_t24h,safe_convex,0.008432926880835086,0.0028056760718139433,28680,0.7178356325277191,-4.073319887325411
osi_target_t24h,v1.8_rule,0.008372823768376926,0.0029248130640176667,28680,0.0,0.0
osi_target_t48h,lightgbm,0.007593428433818521,0.0023066625802577725,22944,0.0,0.0
osi_target_t48h,xgboost,0.007858128798568589,0.0020695379795914203,22944,3.4859137352395875,-10.279986448640145
osi_target_t48h,catboost,0.00770313100549381,0.0020367287649043207,22944,1.4447040968571079,-11.70235376702935
osi_target_t48h,simple_average,0.007658219663698735,0.0020510369566884078,22944,0.8532539740765177,-11.08205533645057
osi_target_t48h,static_convex,0.0076588191846713085,0.0021527250074067565,22944,0.8611492347983418,-6.673606021467315
osi_target_t48h,safe_convex,0.0076588191846713085,0.002152725007406757,22944,0.8611492347983418,-6.673606021467293
osi_target_t48h,v1.8_rule,0.007593428433818521,0.0023066625802577725,22944,0.0,0.0
