horizon,model,counties,replicates,rmse_delta,rmse_ci_low,rmse_ci_high,rmse_probability_improved,mae_delta,mae_ci_low,mae_ci_high,mae_probability_improved
osi_target_t01h,simple_average,239,2000,9.83776149769671e-05,-0.00025035255145295775,0.0005025922466981136,0.316,-0.0001776078878615527,-0.0002865029900044147,-7.674687838648154e-05,1.0
osi_target_t01h,static_convex,239,2000,0.0002438103895146277,-5.261101765073987e-05,0.0006764080652025408,0.065,-9.18494234920385e-05,-0.00017743544851671846,2.6035948024460598e-06,0.9735
osi_target_t01h,safe_convex,239,2000,0.0002438103895146225,-6.964882347224636e-05,0.000649603822763264,0.0815,-9.184942349203763e-05,-0.0001779047540908223,3.2784413470825404e-06,0.9725
osi_target_t06h,simple_average,239,2000,0.00018050405991601633,-0.00018760306780667385,0.000541791512263645,0.155,-0.0001135752255312125,-0.00022218605870720566,-1.247545490326342e-05,0.9865
osi_target_t06h,static_convex,239,2000,0.00022732827564052142,-1.2019400672519646e-05,0.000493060033611044,0.0335,-4.647066160071633e-05,-0.00011812089848435159,3.2220015479956455e-05,0.8875
osi_target_t06h,safe_convex,239,2000,0.00022732827564052142,-1.655198639049409e-05,0.00048510311672609057,0.032,-4.647066160071416e-05,-0.00012205242797662077,3.3981927016503964e-05,0.887
osi_target_t24h,simple_average,239,2000,1.359541631632509e-05,-0.0002659404313625375,0.00023370395858984016,0.486,-0.0003024631389297815,-0.0003882279928272258,-0.00022288083715866689,1.0
osi_target_t24h,static_convex,239,2000,6.010311245815969e-05,-0.00012195618200178553,0.00022902569833125773,0.2685,-0.00011913699220372298,-0.0001649509072771101,-6.936338469486072e-05,1.0
osi_target_t24h,safe_convex,239,2000,6.010311245815969e-05,-0.00012433220277924443,0.00022672990023470149,0.2675,-0.00011913699220372342,-0.00016362836356519314,-7.070379235764063e-05,1.0
osi_target_t48h,simple_average,239,2000,6.479122988021363e-05,-0.0001621405276422486,0.0002467374004080046,0.3305,-0.00025562562356936476,-0.000318474468229747,-0.00019766763700709738,1.0
osi_target_t48h,static_convex,239,2000,6.53907508527873e-05,-0.00012364164866108545,0.00022269677563547456,0.2955,-0.000153937572851016,-0.00020014360747425345,-0.00010932894078866298,1.0
osi_target_t48h,safe_convex,239,2000,6.53907508527873e-05,-0.0001271112209774385,0.00023298810020979925,0.275,-0.00015393757285101558,-0.0001976249545377629,-0.00010722540395925455,1.0
