horizon,model,rmse,mae,n,fold,component,baseline_rmse,rmse_change_pct_vs_lightgbm,improved_vs_lightgbm
osi_target_t01h,lightgbm,0.011056010442454016,0.004383174342809056,6864,0,P_t,0.011056010442454016,0.0,False
osi_target_t01h,xgboost,0.011400825446251747,0.004167889631938098,6864,0,P_t,0.011056010442454016,3.1188013577996943,False
osi_target_t01h,catboost,0.010387192885972224,0.004090180287629654,6864,0,P_t,0.011056010442454016,-6.049357134410771,True
osi_target_t01h,simple_average,0.010299522355142735,0.0039972297289034425,6864,0,P_t,0.011056010442454016,-6.842324283689527,True
osi_target_t01h,static_convex,0.010628182340298583,0.0041356629873979265,6864,0,P_t,0.011056010442454016,-3.869642710471899,True
osi_target_t01h,safe_convex,0.010628182340298583,0.0041356629873979265,6864,0,P_t,0.011056010442454016,-3.869642710471899,True
osi_target_t01h,lightgbm,0.016537056464557165,0.005794881625798198,6721,1,P_t,0.016537056464557165,0.0,False
osi_target_t01h,xgboost,0.015979228726710586,0.004933688207564268,6721,1,P_t,0.016537056464557165,-3.3731984833101136,True
osi_target_t01h,catboost,0.016178747120058973,0.005185628897582559,6721,1,P_t,0.016537056464557165,-2.166705696785476,True
osi_target_t01h,simple_average,0.015739930189564225,0.005164583690985728,6721,1,P_t,0.016537056464557165,-4.8202428086363,True
osi_target_t01h,static_convex,0.01597639057414932,0.005407062411157005,6721,1,P_t,0.016537056464557165,-3.3903608638543803,True
osi_target_t01h,safe_convex,0.01597639057414932,0.005407062411157005,6721,1,P_t,0.016537056464557165,-3.3903608638543803,True
osi_target_t01h,lightgbm,0.02099960428527385,0.006239679044881587,6864,2,P_t,0.02099960428527385,0.0,False
osi_target_t01h,xgboost,0.021245845026026618,0.006255234877507318,6864,2,P_t,0.02099960428527385,1.172597051866564,False
osi_target_t01h,catboost,0.020678673221258367,0.006009014435407074,6864,2,P_t,0.02099960428527385,-1.5282719600604122,True
osi_target_t01h,simple_average,0.02057149038401766,0.005921574224858439,6864,2,P_t,0.02099960428527385,-2.0386760409405014,True
osi_target_t01h,static_convex,0.020841377924907013,0.006060157262307939,6864,2,P_t,0.02099960428527385,-0.7534730570032511,True
osi_target_t01h,safe_convex,0.02084137792490701,0.00606015726230794,6864,2,P_t,0.02099960428527385,-0.7534730570032622,True
osi_target_t01h,lightgbm,0.025737501825893204,0.006202510575278208,6864,3,P_t,0.025737501825893204,0.0,False
osi_target_t01h,xgboost,0.026339405686160288,0.006315091283012682,6864,3,P_t,0.025737501825893204,2.3386258089024725,False
osi_target_t01h,catboost,0.026311006069786386,0.0059456463395397025,6864,3,P_t,0.025737501825893204,2.22828247967799,False
osi_target_t01h,simple_average,0.025884863419280212,0.0060207769867558604,6864,3,P_t,0.025737501825893204,0.5725559317445228,False
osi_target_t01h,static_convex,0.025838204847823728,0.006061140022141605,6864,3,P_t,0.025737501825893204,0.39126960577506864,False
osi_target_t01h,safe_convex,0.02583820484782372,0.006061140022141605,6864,3,P_t,0.025737501825893204,0.39126960577504644,False
osi_target_t01h,lightgbm,0.017497228289361864,0.005146360761500308,6864,4,P_t,0.017497228289361864,0.0,False
osi_target_t01h,xgboost,0.017713703380898435,0.004918407798851279,6864,4,P_t,0.017497228289361864,1.2371964745306885,False
osi_target_t01h,catboost,0.019845738431602075,0.005063179233733698,6864,4,P_t,0.017497228289361864,13.422183807638156,False
osi_target_t01h,simple_average,0.018056026570557222,0.00491535108909999,6864,4,P_t,0.017497228289361864,3.1936388549899775,False
