scope,fold,component,horizon,candidate,weight,safe_alpha
outer,0,P_t,osi_target_t06h,lightgbm,0.4900839758870705,0.9999999999999915
outer,0,P_t,osi_target_t06h,xgboost,0.5099160241129295,0.9999999999999915
outer,0,P_t,osi_target_t06h,catboost,0.0,0.9999999999999915
outer,1,P_t,osi_target_t06h,lightgbm,0.7145443017401524,0.9999999999999867
outer,1,P_t,osi_target_t06h,xgboost,0.28545569825984757,0.9999999999999867
outer,1,P_t,osi_target_t06h,catboost,0.0,0.9999999999999867
outer,2,P_t,osi_target_t06h,lightgbm,0.5719585658403419,1.0
outer,2,P_t,osi_target_t06h,xgboost,0.42804143415965806,1.0
outer,2,P_t,osi_target_t06h,catboost,0.0,1.0
outer,3,P_t,osi_target_t06h,lightgbm,0.43473724823558596,1.0
outer,3,P_t,osi_target_t06h,xgboost,0.4001857413043143,1.0
outer,3,P_t,osi_target_t06h,catboost,0.16507701046009982,1.0
outer,4,P_t,osi_target_t06h,lightgbm,0.4900255479573871,1.0
outer,4,P_t,osi_target_t06h,xgboost,0.4332199332852052,1.0
outer,4,P_t,osi_target_t06h,catboost,0.0767545187574077,1.0
final,all,P_t,osi_target_t06h,lightgbm,0.5574400078060714,0.9999999999999927
final,all,P_t,osi_target_t06h,xgboost,0.4425599921939285,0.9999999999999927
final,all,P_t,osi_target_t06h,catboost,0.0,0.9999999999999927
outer,0,N_t,osi_target_t06h,lightgbm,0.5128300050014809,1.0
outer,0,N_t,osi_target_t06h,xgboost,0.23798833983603046,1.0
outer,0,N_t,osi_target_t06h,catboost,0.24918165516248858,1.0
outer,1,N_t,osi_target_t06h,lightgbm,0.4662920511093764,1.0
outer,1,N_t,osi_target_t06h,xgboost,0.5237430147074046,1.0
outer,1,N_t,osi_target_t06h,catboost,0.00996493418321908,1.0
outer,2,N_t,osi_target_t06h,lightgbm,0.07492298266015242,0.9999999999999862
outer,2,N_t,osi_target_t06h,xgboost,0.622288636562334,0.9999999999999862
outer,2,N_t,osi_target_t06h,catboost,0.3027883807775135,0.9999999999999862
outer,3,N_t,osi_target_t06h,lightgbm,0.4956144632347928,0.9999999999999662
outer,3,N_t,osi_target_t06h,xgboost,0.19457610186851285,0.9999999999999662
outer,3,N_t,osi_target_t06h,catboost,0.30980943489669444,0.9999999999999662
outer,4,N_t,osi_target_t06h,lightgbm,0.4498227344255912,1.0
outer,4,N_t,osi_target_t06h,xgboost,0.11161066926609617,1.0
outer,4,N_t,osi_target_t06h,catboost,0.43856659630831263,1.0
final,all,N_t,osi_target_t06h,lightgbm,0.4131105180913806,1.0
final,all,N_t,osi_target_t06h,xgboost,0.33155359110229876,1.0
final,all,N_t,osi_target_t06h,catboost,0.25533589080632074,1.0
outer,0,D_t,osi_target_t06h,lightgbm,0.5689600409169707,0.9999999999999554
outer,0,D_t,osi_target_t06h,xgboost,0.3344193897206309,0.9999999999999554
outer,0,D_t,osi_target_t06h,catboost,0.0966205693623984,0.9999999999999554
outer,1,D_t,osi_target_t06h,lightgbm,0.783932519528775,0.999999999999828
outer,1,D_t,osi_target_t06h,xgboost,0.1074377003588745,0.999999999999828
outer,1,D_t,osi_target_t06h,catboost,0.10862978011235068,0.999999999999828
outer,2,D_t,osi_target_t06h,lightgbm,0.5684819609381921,0.9999999999999913
