case,population,n,a_mse,b_mse,twice_cross_mean,P_mse
F0,all,34177,8.937757789119297e-05,0.00019099597423240654,2.5681787838697377e-05,0.0003060553399622969
F0,fold0,6864,4.994446805277986e-05,9.749045469829508e-05,4.218031892601126e-06,0.00015165295464367607
F0,fold1,6721,9.760255312925008e-05,8.720989696084392e-05,8.097943624372834e-06,0.00019291039371446687
F0,fold2,6864,0.00011992586450459706,0.0005603038849961574,8.391792277294752e-05,0.0007641476722737019
F0,fold3,6864,9.276282016812636e-05,0.00013971379024522792,1.866539550323825e-05,0.0002511420059165925
F0,fold4,6864,8.682353725200428e-05,6.809963431835064e-05,1.314331531252872e-05,0.00016806648688288365
F2,all,34177,8.29362266116826e-05,0.0001917202804199682,2.2771862505250295e-05,0.0002974283695369011
F2,fold0,6864,5.712570450901889e-05,0.00010179510319355819,6.479372479700265e-06,0.00016540018018227734
F2,fold1,6721,9.142886349118493e-05,8.84858351037502e-05,4.938863395977452e-06,0.00018485356199091256
F2,fold2,6864,0.00011517337230093034,0.0005578385201780015,7.464257743777808e-05,0.0007476544699167099
F2,fold3,6864,7.501909795201601e-05,0.00014024078642721146,1.6439296422938173e-05,0.00023169918080216572
F2,fold4,6864,7.61110247402525e-05,6.809043958656518e-05,1.0987681975081001e-05,0.0001551891463018987
