horizon,n,strict_rmse,historical_rmse,rmse_change_pct,strict_mae,historical_mae,strict_bias,historical_bias,comparison_type
1,34177,0.011783624615677923,0.011676613766703986,0.9164544714074685,0.0034929554982199478,0.003502269606663691,-0.00011321764680205473,-0.00013900435422279354,"descriptive, different training/selection protocols"
6,32982,0.010427511705922264,0.01032059984086345,1.0359074734736406,0.003289226526120758,0.003300881630204454,-8.470966592904378e-05,-0.00011176392058677445,"descriptive, different training/selection protocols"
24,28680,0.008492701524253245,0.008372823768376926,1.4317482272716786,0.0028144565793908724,0.0029248130640176667,-8.299437331765771e-05,-6.116410211569032e-05,"descriptive, different training/selection protocols"
48,22944,0.007691202257793633,0.007593428433818521,1.2876110551020892,0.0022350036403240283,0.0023066625802577725,-0.0001565905410230873,-0.00012945092305853242,"descriptive, different training/selection protocols"
