model,reference,horizon,rmse_difference,change_pct,ci_low,ci_high,improved_folds,tied_folds,replicates
C1_component_osi,C0_direct_osi,osi_target_t01h,-0.00013036652271725298,-1.083007142136716,-0.0002349953324105522,-3.983282627022815e-05,5,0,2000
C2_equal_blend,C0_direct_osi,osi_target_t01h,-8.848093927918584e-05,-0.735046752686308,-0.00014457492321350466,-4.095413972433136e-05,5,0,2000
C2_equal_blend,C1_component_osi,osi_target_t01h,4.188558343806714e-05,0.35177008459041925,-3.247489199901523e-06,9.255700822287183e-05,1,0,2000
C3_aligned_component,C0_direct_osi,osi_target_t01h,-0.00025383272371201464,-2.1086905361766273,-0.0004209132680888012,-9.2862301978927e-05,5,0,2000
C3_aligned_component,C1_component_osi,osi_target_t01h,-0.00012346620099476166,-1.036913238470305,-0.000244758053018274,1.2540903215762814e-05,4,0,2000
v18_rule,C0_direct_osi,osi_target_t01h,-0.00025383272371201464,-2.1086905361766273,-0.0004209132680888012,-9.2862301978927e-05,5,0,2000
v18_rule,C1_component_osi,osi_target_t01h,-0.00012346620099476166,-1.036913238470305,-0.000244758053018274,1.2540903215762814e-05,4,0,2000
C1_component_osi,C0_direct_osi,osi_target_t06h,-0.00011238846426555628,-1.0470388822353072,-0.0002918894916257346,5.701531060741313e-05,3,0,2000
C2_equal_blend,C0_direct_osi,osi_target_t06h,-8.037537461006924e-05,-0.7487969778831038,-0.00016774955674276888,4.370617776213728e-06,4,0,2000
C2_equal_blend,C1_component_osi,osi_target_t06h,3.2013089655487034e-05,0.30139765499010984,-5.425364213169962e-05,0.00012256546839448717,3,0,2000
C3_aligned_component,C0_direct_osi,osi_target_t06h,-0.0003064224556840068,-2.8547077993084313,-0.00047052900599882765,-0.00012451539566109943,5,0,2000
C3_aligned_component,C1_component_osi,osi_target_t06h,-0.0001940339914184505,-1.826796183412649,-0.0003686944593067692,-3.901705108132924e-05,5,0,2000
v18_rule,C0_direct_osi,osi_target_t06h,-0.0003064224556840068,-2.8547077993084313,-0.00047052900599882765,-0.00012451539566109943,5,0,2000
v18_rule,C1_component_osi,osi_target_t06h,-0.0001940339914184505,-1.826796183412649,-0.0003686944593067692,-3.901705108132924e-05,5,0,2000
C1_component_osi,C0_direct_osi,osi_target_t24h,-0.0001256004284634956,-1.4573686226426852,-0.00021189337947561342,-4.096244976034307e-05,4,0,2000
C2_equal_blend,C0_direct_osi,osi_target_t24h,-8.124449694064603e-05,-0.9426972666586098,-0.00012476739716565667,-3.9729572788504336e-05,5,0,2000
C2_equal_blend,C1_component_osi,osi_target_t24h,4.435593152284957e-05,0.5222829437273813,9.468815387557277e-07,8.843139934086819e-05,1,0,2000
C3_aligned_component,C0_direct_osi,osi_target_t24h,-0.0001917134430280392,-2.2244920644443833,-0.0003411050462990674,-6.134708672148541e-05,5,0,2000
C3_aligned_component,C1_component_osi,osi_target_t24h,-6.61130145645436e-05,-0.7784685988991846,-0.00026328440353000197,0.00012074456416227363,3,0,2000
v18_rule,C0_direct_osi,osi_target_t24h,-0.0001256004284634956,-1.4573686226426852,-0.00021189337947561342,-4.096244976034307e-05,4,0,2000
v18_rule,C1_component_osi,osi_target_t24h,0.0,0.0,0.0,0.0,0,5,2000
C1_component_osi,C0_direct_osi,osi_target_t48h,-5.21005052416439e-05,-0.6728460301250183,-0.0001348299080934852,1.968895663128899e-05,5,0,2000
C2_equal_blend,C0_direct_osi,osi_target_t48h,-4.1018883495795924e-05,-0.5297336905333294,-8.413950715168222e-05,-6.189790260923532e-06,5,0,2000
C2_equal_blend,C1_component_osi,osi_target_t48h,1.1081621745847973e-05,0.14408178818361428,-2.612666961137563e-05,5.076404062198734e-05,3,0,2000
C3_aligned_component,C0_direct_osi,osi_target_t48h,-4.154632528258206e-06,-0.05365452773061774,-0.00029011655143940064,0.00022306491703579954,4,0,2000
C3_aligned_component,C1_component_osi,osi_target_t48h,4.794587271338569e-05,0.6233859298759414,-0.0002085835517316886,0.00025894774769191303,4,0,2000
v18_rule,C0_direct_osi,osi_target_t48h,-5.21005052416439e-05,-0.6728460301250183,-0.0001348299080934852,1.968895663128899e-05,5,0,2000
v18_rule,C1_component_osi,osi_target_t48h,0.0,0.0,0.0,0.0,0,5,2000
