horizon,fipsCode,countyName,fold,county_sse_change,net_horizon_sse_change,fraction_of_net_change
1,39119,Muskingum County,1,0.052076953593915176,0.08580135940328419,0.6069478846965896
1,54103,Wetzel County,3,0.006557732528833174,0.08580135940328419,0.07642923811976533
1,39125,Paulding County,1,0.006075170929556395,0.08580135940328419,0.07080506616453279
1,39091,Logan County,3,0.005725140526244565,0.08580135940328419,0.0667255223700503
1,39149,Shelby County,3,0.005269127867986209,0.08580135940328419,0.061410773729355675
6,39119,Muskingum County,1,0.05202804540150956,0.07316130901576622,0.71114153234051
6,54103,Wetzel County,3,0.006574956823795171,0.07316130901576622,0.08986931634012005
6,39149,Shelby County,3,0.006393878034037129,0.07316130901576622,0.08739425414954308
6,39091,Logan County,3,0.005796698667328518,0.07316130901576622,0.07923175166370156
6,39125,Paulding County,1,0.00561174357516224,0.07316130901576622,0.0767037065172373
24,39119,Muskingum County,1,0.0813732187020229,0.057985261965316205,1.4033431245114691
24,54103,Wetzel County,3,0.009126830065530474,0.057985261965316205,0.15739913481790724
24,54109,Wyoming County,3,0.008825070114745273,0.057985261965316205,0.15219505466792535
24,54099,Wayne County,1,0.008485601680025188,0.057985261965316205,0.14634066299641516
24,39149,Shelby County,3,0.00813087820083657,0.057985261965316205,0.1402231864658996
48,39119,Muskingum County,1,0.014332348299542273,0.03428835772734164,0.41799459786064985
48,54103,Wetzel County,3,0.01123391404872549,0.03428835772734164,0.3276305659797621
48,54101,Webster County,1,0.006839207382679902,0.03428835772734164,0.19946150343696098
48,54013,Calhoun County,2,0.0059830783979636926,0.03428835772734164,0.17449299979721014
48,54109,Wyoming County,3,0.004541035856976918,0.03428835772734164,0.13243666824427355
