target,outer_fold,refit_rounds,historical_rounds,inner_min,inner_max,inner_std,inner_cv,inner_at_cap,inner_rounds
osi_target_t01h,0,297,118,165,413,88.18836374488417,0.2966807863578946,0,"[413, 312, 165, 299]"
osi_target_t06h,0,220,175,61,435,143.4590533915514,0.6520866063252336,0,"[61, 435, 124, 260]"
osi_target_t24h,0,190,152,16,380,172.6997032423623,0.9077513968061093,0,"[16, 380, 20, 345]"
osi_target_t48h,0,124,221,9,324,126.88774566521387,1.0232882714936602,0,"[9, 324, 20, 143]"
P_t_target_t01h,0,234,180,130,434,117.40820882715144,0.5001414646524023,0,"[188, 187, 130, 434]"
N_t_target_t01h,0,212,21,109,448,136.9532310681278,0.6452449049146186,0,"[148, 109, 448, 144]"
D_t_target_t01h,0,298,280,252,339,30.907118921051183,0.10354143692144449,0,"[252, 339, 301, 302]"
R_t_target_t01h,0,107,35,40,176,54.742579405797095,0.5092332967981125,0,"[176, 40, 70, 144]"
P_t_target_t06h,0,189,175,53,359,124.04913341091908,0.6554775873760585,0,"[53, 359, 90, 255]"
N_t_target_t06h,0,95,25,15,217,77.21398836998384,0.8127788249471983,0,"[103, 217, 15, 45]"
D_t_target_t06h,0,283,137,72,460,143.59034612396476,0.5060452726835762,0,"[72, 460, 247, 356]"
R_t_target_t06h,0,115,28,70,177,39.51265620026069,0.34210091948277654,0,"[119, 70, 96, 177]"
P_t_target_t24h,0,305,218,11,730,297.56721929674984,0.974033451053191,0,"[11, 730, 42, 439]"
N_t_target_t24h,0,112,21,24,235,77.2172260574025,0.6894395183696652,0,"[108, 235, 24, 81]"
D_t_target_t24h,0,166,142,15,382,155.26912120573104,0.9353561518417532,0,"[15, 382, 22, 245]"
R_t_target_t24h,0,100,20,11,140,51.89111195570972,0.5176170768649349,0,"[125, 140, 11, 125]"
P_t_target_t48h,0,146,310,10,446,176.59611405690669,1.207494796970302,0,"[10, 446, 26, 103]"
N_t_target_t48h,0,77,142,12,212,79.13714361789917,1.0244290435974002,0,"[32, 212, 12, 53]"
D_t_target_t48h,0,216,229,20,499,205.189394219097,0.9488526900305064,0,"[20, 499, 21, 325]"
R_t_target_t48h,0,67,30,15,119,39.52451770736741,0.5877251703697756,0,"[47, 119, 15, 88]"
osi_target_t01h,1,193,257,94,235,57.65576727440196,0.2983480842142404,0,"[235, 227, 94, 217]"
osi_target_t06h,1,161,35,60,207,58.921027655668055,0.36540172189561587,0,"[207, 188, 60, 190]"
osi_target_t24h,1,278,13,46,484,164.1072438986165,0.5897834461765193,0,"[217, 484, 46, 366]"
osi_target_t48h,1,121,15,36,238,75.90289849538027,0.6247152139537471,0,"[77, 238, 36, 135]"
P_t_target_t01h,1,182,375,100,271,68.0711943482704,0.3735044957381092,0,"[223, 271, 100, 135]"
N_t_target_t01h,1,130,327,20,208,68.73136110975832,0.5287027777673717,0,"[20, 156, 208, 136]"
D_t_target_t01h,1,271,202,113,364,101.14686104867516,0.3722055604367071,0,"[255, 113, 364, 355]"
R_t_target_t01h,1,112,186,24,246,89.84013579686976,0.7985789848610645,0,"[37, 143, 24, 246]"
P_t_target_t06h,1,126,35,59,181,43.626253563651325,0.344871569673133,0,"[134, 181, 59, 132]"
N_t_target_t06h,1,119,94,25,310,116.17013385547939,0.9762196122309192,0,"[25, 310, 26, 115]"
D_t_target_t06h,1,145,167,122,202,32.75286247032464,0.22510558398848549,0,"[130, 202, 122, 128]"
R_t_target_t06h,1,119,140,30,203,77.19132075563937,0.6486665609717593,0,"[55, 203, 30, 188]"
P_t_target_t24h,1,304,12,36,534,191.48368076679537,0.6298805288381427,0,"[220, 534, 36, 426]"
N_t_target_t24h,1,148,117,30,450,175.43802324467748,1.1853920489505234,0,"[33, 450, 30, 79]"
D_t_target_t24h,1,261,10,30,442,161.84174368808561,0.6188976814075932,0,"[194, 380, 30, 442]"
R_t_target_t24h,1,80,135,17,187,69.41541615520288,0.867692701940036,0,"[20, 187, 17, 96]"
P_t_target_t48h,1,172,9,45,300,93.3069531171177,0.5401270802727508,0,"[207, 300, 45, 139]"
N_t_target_t48h,1,106,45,12,232,81.38296811987138,0.7659573470105542,0,"[116, 232, 12, 65]"
D_t_target_t48h,1,126,15,32,218,69.7853852894716,0.5538522642021556,0,"[160, 218, 32, 94]"
R_t_target_t48h,1,57,52,22,99,31.877695964420013,0.5568156500335374,0,"[31, 99, 22, 77]"
osi_target_t01h,2,148,211,96,183,33.47667098144617,0.22581228318007535,0,"[96, 143, 171, 183]"
osi_target_t06h,2,185,565,75,230,64.48788645939639,0.3471757009927127,0,"[229, 209, 75, 230]"
osi_target_t24h,2,253,527,38,423,161.6359721720385,0.6382466818244363,0,"[157, 423, 38, 395]"
osi_target_t48h,2,197,255,12,391,163.16096346859442,0.828228240957332,0,"[61, 391, 12, 324]"
P_t_target_t01h,2,137,135,83,222,54.181985013471035,0.39476856111818603,0,"[83, 222, 98, 146]"
N_t_target_t01h,2,280,195,11,590,220.89180043632223,0.7867918092121896,0,"[11, 375, 590, 147]"
D_t_target_t01h,2,245,239,74,473,147.94762586807536,0.6038678606860219,0,"[74, 473, 168, 265]"
