horizon,fold,counties,n,rmse,mae,bias,sse,sse_share,validation_max_osi,training_max_osi,validation_rows_gt015,training_rows_gt015
1,0,48,6864,0.0066210477909235945,0.002674924165033607,0.00016947644075714517,0.3009059117043011,0.06340725959238222,0.2697,0.5447,44,149
1,1,47,6721,0.010542975641947719,0.0036740989781378092,-0.0004122859955544898,0.7470682881340304,0.15742313805220587,0.191,0.5447,26,167
1,2,48,6864,0.012954966983834245,0.004019172851147257,-0.0004639014855132105,1.1519931478065435,0.24274939683935415,0.3277,0.5447,57,136
1,3,48,6864,0.015901577595244742,0.003908416331296008,0.0004924769715197644,1.7356322070007346,0.36573452905219805,0.5447,0.5087,35,158
1,4,48,6864,0.010863149830558083,0.0031919389879833462,-0.0003580847558184917,0.8100070783912817,0.1706856764638598,0.5087,0.5447,31,162
6,0,48,6624,0.006459790086522191,0.00257303134736504,0.0001573992034966857,0.2764121538598268,0.07707593035079938,0.2689,0.4704,29,103
6,1,47,6486,0.010090386368988492,0.0034969457196327093,-0.0003327814583249401,0.6603779084314906,0.18414256017585964,0.1758,0.4704,9,123
6,2,48,6624,0.012886051329684825,0.003926086668463528,-0.0006500596973092481,1.0999173122033061,0.3067055806453879,0.3277,0.4704,47,85
6,3,48,6624,0.012527549470890902,0.0035308859280746186,0.0006412054990872205,1.0395672198189796,0.289877306445703,0.4704,0.4088,26,106
6,4,48,6624,0.008774183489798587,0.0029235104502660604,-0.00024448003893651774,0.5099572241254208,0.14219862238225006,0.4088,0.4704,21,111
24,0,48,5760,0.004722006437624519,0.0021059088433387193,0.0004342643061164664,0.12843270603053222,0.06208758447706178,0.1423,0.3277,0,26
24,1,47,5640,0.008926834627565224,0.0029095390774955274,-0.0005011371074237945,0.4494424432789421,0.2172717256150048,0.1379,0.3277,0,26
24,2,48,5760,0.012860189555137309,0.0038187202582121555,-0.0010054195428662632,0.9526145782698012,0.46051772893694415,0.3277,0.1423,26,0
24,3,48,5760,0.0061831058424843465,0.002799674455534234,0.0010566893098766035,0.220209395669937,0.10645473321296864,0.1398,0.3277,0,26
24,4,48,5760,0.007428758397301128,0.0024404211477509086,-0.0004080801392518454,0.31787395963471893,0.15366822775802066,0.1347,0.3277,0,26
48,0,48,4608,0.0036632306388987446,0.0015956445257807718,0.0004560453424232713,0.06183594415303605,0.045559966675025064,0.0846,0.3277,0,25
48,1,47,4512,0.005855181393125153,0.0019970723373512436,-0.00027187300705922685,0.15468556894855234,0.1139704335873283,0.0901,0.3277,0,25
48,2,48,4608,0.013066410316828946,0.0032591786642496433,-0.001280845725181886,0.7867288100401179,0.5796521563413379,0.3277,0.1199,25,0
48,3,48,4608,0.0053724652793763,0.002168728024357481,0.0005056889175742389,0.13300246968470258,0.09799459148766898,0.0712,0.3277,0,25
48,4,48,4608,0.006925166870368426,0.0021494377477357354,-0.00019436995091425306,0.22099016992872228,0.16282285190863985,0.1199,0.3277,0,25
