fipsCode,horizon,target_day,sse,actual_max,actual_mean,predicted_max,predicted_mean
18013,1,03-14,0.001288474841844207,0.0079,0.0003652173913043479,0.014902608236736734,0.006280918505209661
18013,1,03-15,0.09783392594668985,0.1379,0.0486625,0.0104785792420998,0.005026813552142565
18013,1,03-16,0.02586175160245007,0.0774,0.028670833333333336,0.012881096478152198,0.008605459857591155
18013,1,03-17,0.0009722575783266057,0.0133,0.0025,0.011633632347368023,0.007557641660423509
18013,1,03-18,1.9634564206575796e-05,0.0002,4.5833333333333334e-05,0.0019467793894151634,0.0007950498671960793
18013,1,03-19,1.5795677056797922e-05,0.0001,8.333333333333334e-06,0.001446588866544721,0.0006241391608573435
18013,6,03-14,0.00043031662362608,0.0001,2.2222222222222223e-05,0.00968702317015543,0.004073409756137133
18013,6,03-15,0.09783392594668985,0.1379,0.0486625,0.0104785792420998,0.005026813552142565
18013,6,03-16,0.02586175160245007,0.0774,0.028670833333333336,0.012881096478152198,0.008605459857591155
18013,6,03-17,0.0009722575783266057,0.0133,0.0025,0.011633632347368023,0.007557641660423509
18013,6,03-18,1.9634564206575796e-05,0.0002,4.5833333333333334e-05,0.0019467793894151634,0.0007950498671960793
18013,6,03-19,1.5795677056797922e-05,0.0001,8.333333333333334e-06,0.001446588866544721,0.0006241391608573435
18013,24,03-15,0.09896263896612643,0.1379,0.0486625,0.009927411677865998,0.004461507938191061
18013,24,03-16,0.026905011095201457,0.0774,0.028670833333333336,0.011359210112101009,0.00736199805376897
18013,24,03-17,0.0003053540678602277,0.0133,0.0025,0.007868654552074897,0.003555928911853552
18013,24,03-18,6.905474056225594e-06,0.0002,4.5833333333333334e-05,0.0011048376363915569,0.0003082586277791271
18013,24,03-19,2e-08,0.0001,8.333333333333334e-06,0.0,0.0
18013,48,03-16,0.02851985202684689,0.0774,0.028670833333333336,0.012440667734202467,0.008272998214363985
18013,48,03-17,0.0007988758581560726,0.0133,0.0025,0.012072737239606494,0.006579599873794601
18013,48,03-18,1.3e-07,0.0002,4.5833333333333334e-05,0.0,0.0
18013,48,03-19,2e-08,0.0001,8.333333333333334e-06,0.0,0.0
39115,1,03-14,0.0006951355011749324,0.0452,0.02441304347826087,0.05036385182944528,0.025098455843245118
39115,1,03-15,0.00011348648215341415,0.0111,0.009595833333333333,0.011009824035375518,0.007850666640142062
39115,1,03-16,6.2144872789242e-05,0.0091,0.006733333333333333,0.009134178734803098,0.005637808472488637
39115,1,03-17,7.925899719278594e-05,0.0084,0.0032416666666666666,0.007847462704158615,0.004040616595048606
39115,1,03-18,0.14262989,0.3277,0.030245833333333333,0.0,0.0
39115,1,03-19,7e-08,0.0002,2.0833333333333333e-05,0.0,0.0
39115,6,03-14,0.00038543685596492515,0.0382,0.019933333333333334,0.037555826560669525,0.018773448196998485
39115,6,03-15,0.00011348648215341415,0.0111,0.009595833333333333,0.011009824035375518,0.007850666640142062
39115,6,03-16,6.2144872789242e-05,0.0091,0.006733333333333333,0.009134178734803098,0.005637808472488637
39115,6,03-17,7.925899719278594e-05,0.0084,0.0032416666666666666,0.007847462704158615,0.004040616595048606
39115,6,03-18,0.14262989,0.3277,0.030245833333333333,0.0,0.0
39115,6,03-19,7e-08,0.0002,2.0833333333333333e-05,0.0,0.0
39115,24,03-15,0.00027030322157674535,0.0111,0.009595833333333333,0.007781454660140757,0.006347672715398496
39115,24,03-16,8.918182228503696e-05,0.0091,0.006733333333333333,0.008699897596423136,0.005248760987880802
39115,24,03-17,7.585934389128445e-05,0.0084,0.0032416666666666666,0.010310181238329321,0.004459970375615368
39115,24,03-18,0.14262989,0.3277,0.030245833333333333,0.0,0.0
39115,24,03-19,7e-08,0.0002,2.0833333333333333e-05,0.0,0.0
39115,48,03-16,9.589593931141748e-05,0.0091,0.006733333333333333,0.012529276302792224,0.005920002594020046
39115,48,03-17,0.0001665169923829025,0.0084,0.0032416666666666666,0.007341698317056563,0.004638549317773995
39115,48,03-18,0.14262989,0.3277,0.030245833333333333,0.0,0.0
39115,48,03-19,7e-08,0.0002,2.0833333333333333e-05,0.0,0.0
39117,1,03-14,0.3563707511431837,0.5087,0.29458260869565217,0.24654275190486313,0.20032125269431933
39117,1,03-15,0.009388029317569133,0.1347,0.09268749999999999,0.12669744976320305,0.09161029727536256
39117,1,03-16,0.000615842484140423,0.0406,0.03157083333333333,0.047072645923407576,0.03009651880106422
39117,1,03-17,0.0021107240718196115,0.0215,0.014383333333333333,0.009372592899151136,0.005485628117794823
39117,1,03-18,0.0003359569897430691,0.0085,0.0046625,0.0024514901075776054,0.00164317756232041
39117,1,03-19,1.441757205392393e-05,0.0014,0.0007833333333333334,0.0016402069428391515,0.0013801252088381465
39117,6,03-14,0.0949094537794048,0.4088,0.24640555555555554,0.22731661388561467,0.188638350373288
39117,6,03-15,0.009388029317569133,0.1347,0.09268749999999999,0.12669744976320305,0.09161029727536256
39117,6,03-16,0.000615842484140423,0.0406,0.03157083333333333,0.047072645923407576,0.03009651880106422
39117,6,03-17,0.0021107240718196115,0.0215,0.014383333333333333,0.009372592899151136,0.005485628117794823
39117,6,03-18,0.0003359569897430691,0.0085,0.0046625,0.0024514901075776054,0.00164317756232041
39117,6,03-19,1.441757205392393e-05,0.0014,0.0007833333333333334,0.0016402069428391515,0.0013801252088381465
39117,24,03-15,0.01024712297152555,0.1347,0.09268749999999999,0.11319217718612504,0.09244422631160926
39117,24,03-16,0.0009489130360014137,0.0406,0.03157083333333333,0.044167490294590425,0.02643994571746165
39117,24,03-17,0.0016978034034987335,0.0215,0.014383333333333333,0.009364634058566428,0.006322079448293338
39117,24,03-18,0.0002255836053811087,0.0085,0.0046625,0.004124852134075674,0.002383896725964244
39117,24,03-19,1.9421804908585092e-05,0.0014,0.0007833333333333334,0.001969134988190155,0.0011201533018704018
39117,48,03-16,0.000879756237186888,0.0406,0.03157083333333333,0.04174960769874526,0.027557063703082516
39117,48,03-17,0.002540051473442003,0.0215,0.014383333333333333,0.007949083276105553,0.004386834132670149
39117,48,03-18,0.0006222041360334239,0.0085,0.0046625,0.0011452308401992959,9.485885317379998e-05
39117,48,03-19,1.9299999999999998e-05,0.0014,0.0007833333333333334,0.0,0.0
42053,1,03-14,1.281538265381639,0.5447,0.23547391304347826,0.09308727001033404,0.06266737705498235
42053,1,03-15,0.007384944407894915,0.075,0.016595833333333334,0.02480008250756061,0.01699061582560978
42053,1,03-16,0.0012166159950352876,0.026,0.015154166666666668,0.017122282917797185,0.012990465643516849
42053,1,03-17,0.0021255617178467753,0.0376,0.013954166666666669,0.017077792277840745,0.011913821260662835
42053,1,03-18,0.0003679293614676039,0.0024,0.0010916666666666668,0.007802292010900868,0.0049045328366878966
42053,1,03-19,0.0002438245882907954,0.0005,5.833333333333333e-05,0.004491926198380476,0.0031638181391968924
42053,6,03-14,0.6545223592715275,0.4704,0.18652222222222223,0.08908181169047778,0.05524724207140012
42053,6,03-15,0.007384944407894915,0.075,0.016595833333333334,0.02480008250756061,0.01699061582560978
42053,6,03-16,0.0012166159950352876,0.026,0.015154166666666668,0.017122282917797185,0.012990465643516849
42053,6,03-17,0.0021255617178467753,0.0376,0.013954166666666669,0.017077792277840745,0.011913821260662835
42053,6,03-18,0.0003679293614676039,0.0024,0.0010916666666666668,0.007802292010900868,0.0049045328366878966
42053,6,03-19,0.0002438245882907954,0.0005,5.833333333333333e-05,0.004491926198380476,0.0031638181391968924
42053,24,03-15,0.007624368800599602,0.075,0.016595833333333334,0.019793411575790933,0.0140466550352171
42053,24,03-16,0.000979210483392817,0.026,0.015154166666666668,0.01774369375261104,0.013051647634682697
42053,24,03-17,0.00234941762886873,0.0376,0.013954166666666669,0.019019853394381156,0.012634987124331046
42053,24,03-18,0.0001602061998126206,0.0024,0.0010916666666666668,0.004198775252405749,0.0027204076555954523
42053,24,03-19,4.3999999999999997e-07,0.0005,5.833333333333333e-05,0.0,0.0
42053,48,03-16,0.0020169300399115117,0.026,0.015154166666666668,0.019991158474311904,0.009135233529769764
42053,48,03-17,0.002055473471532528,0.0376,0.013954166666666669,0.018827116849282104,0.012801039596086998
42053,48,03-18,6.936950715871722e-05,0.0024,0.0010916666666666668,0.0038666366718228574,0.0022184922426951113
42053,48,03-19,4.3999999999999997e-07,0.0005,5.833333333333333e-05,0.0,0.0
54007,1,03-14,5.190834353638608e-06,0.0027,0.0005173913043478261,0.0020335149954011328,0.0003459970693956245
54007,1,03-15,0.0003274032755128508,0.008,0.0011208333333333333,0.010017206565577887,0.0032006784569225603
54007,1,03-16,0.011234642062347897,0.0778,0.021133333333333334,0.027837519483509158,0.00902521617673144
54007,1,03-17,0.06663800571814892,0.1154,0.06405,0.027380482341733955,0.016342731414277577
54007,1,03-18,0.0011071621229681089,0.016,0.0064375,0.002632256475916476,0.001232929160583085
54007,1,03-19,0.00011595495559552362,0.0049,0.0016583333333333335,0.0011399049172674785,0.00013974019544360232
54007,6,03-14,5.090834353638608e-06,0.0027,0.0006277777777777778,0.0020335149954011328,0.0004421073664499646
54007,6,03-15,0.0003274032755128508,0.008,0.0011208333333333333,0.010017206565577887,0.0032006784569225603
54007,6,03-16,0.011234642062347897,0.0778,0.021133333333333334,0.027837519483509158,0.00902521617673144
54007,6,03-17,0.06663800571814892,0.1154,0.06405,0.027380482341733955,0.016342731414277577
54007,6,03-18,0.0011071621229681089,0.016,0.0064375,0.002632256475916476,0.001232929160583085
54007,6,03-19,0.00011595495559552362,0.0049,0.0016583333333333335,0.0011399049172674785,0.00013974019544360232
54007,24,03-15,0.00017824940616228597,0.008,0.0011208333333333333,0.007348985340376097,0.001890691918230901
54007,24,03-16,0.011046820623869495,0.0778,0.021133333333333334,0.02582816467999613,0.009655221719235739
54007,24,03-17,0.057619552266132024,0.1154,0.06405,0.0351389207341505,0.019360185560625714
54007,24,03-18,0.0009650285481793729,0.016,0.0064375,0.004065390616676097,0.0011829988405205668
54007,24,03-19,0.00013106,0.0049,0.0016583333333333335,0.0,0.0
