horizon,true_top5,protected,n,sse_share,rmse,base_rmse,average_rmse
24,True,True,537,0.37446791277321184,0.03671119748423661,0.03671119748423661,0.038704826723952354
24,True,False,903,0.47895868961536053,0.032017214248905065,0.032921885807072074,0.032017214248905065
24,False,True,359,0.04869001947880715,0.01619015992527683,0.01619015992527683,0.017995177536167768
24,False,False,26881,0.09788337813262057,0.0026528344764254383,0.0028218423129126938,0.0026528344764254383
48,True,True,346,0.5021465277333451,0.04356924797432116,0.04356924797432116,0.045790911970407334
48,True,False,810,0.38699654490259444,0.024998498011948745,0.025048418139949343,0.024998498011948745
48,False,True,286,0.04537225663001461,0.014405059439324736,0.014405059439324736,0.012269503934687022
48,False,False,21502,0.06548467073404571,0.0019958747165008672,0.0021413025649899705,0.0019958747165008672
