horizon,n,total_sse,rmse,underprediction_sse_share,gate_oracle_rmse,six_model_hull_oracle_rmse,true_q95
1,34177,4.659805273633607,0.011676613766703987,0.8300800240787006,0.011194581879588023,0.0102829932767865,0.0283
6,32982,3.5130705094232577,0.01032059984086345,0.8154846862384469,0.009843684796816408,0.008973621787389172,0.0236
24,28680,1.9326658718780556,0.008208972775349635,0.8694877286517353,0.007980794010127074,0.007450700776588707,0.0154
48,22944,1.3079940324497321,0.007550371388803475,0.9028999586395482,0.007373551875589904,0.007031735207931914,0.0099
