fipsCode,countyName,stateAbbr,horizon,fold,n,sse,sse_share,rmse,bias,truth_peak,truth_peak_time,prediction_at_truth_peak,base_at_truth_peak,average_at_truth_peak,max_candidate_at_truth_peak,protected_at_truth_peak,prediction_peak,prediction_peak_time,actual_sum,prediction_sum,hours_actual_ge005,hours_actual_ge005_protected,largest_6h_sse_share_within_county
18009,Blackford County,IN,1,0,143,0.005899750487930471,0.001266093783212959,0.006423160936726885,0.0016983421365631094,0.0675,2026-03-14 01:00:00,0.0566166928679765,0.0566166928679765,0.054675304072708326,0.0566166928679765,False,0.0566166928679765,2026-03-14 01:00:00,0.8343,1.0771629255285247,7,0,0.3381941588457217
18013,Brown County,IN,1,1,143,0.1259918402105741,0.02703800541268726,0.02968268551958135,-0.008661680951210643,0.1379,2026-03-15 13:00:00,0.0104785792420998,0.0104785792420998,0.01029514259010578,0.012187539745248787,False,0.014902608236736734,2026-03-14 04:00:00,1.9256999999999997,0.6870796239768779,16,0,0.5380165119922885
18023,Clinton County,IN,1,3,143,0.00038288117975800797,8.216677678023361e-05,0.0016363039960650702,0.0007096582127693725,0.0024,2026-03-15 14:00:00,0.003934355729047675,0.003934355729047675,0.0020057848532434243,0.003934355729047675,False,0.007493498569657146,2026-03-16 00:00:00,0.0149,0.11638112442602025,0,0,0.4956769661912876
18025,Crawford County,IN,1,2,143,0.020523906802471504,0.004404455894026542,0.011980142895370948,-0.001416628715661773,0.1505,2026-03-15 11:00:00,0.012972635256708727,0.012972635256708727,0.009645944345443172,0.0130135261763295,False,0.0201175582727614,2026-03-15 13:00:00,0.43810000000000004,0.2355220936603665,1,0,0.9866355591071533
18027,Daviess County,IN,1,2,143,0.00147386463638027,0.00031629318176014355,0.0032104120777484216,0.0012602939951456974,0.0097,2026-03-15 23:00:00,0.012701393560630566,0.012701393560630566,0.013274196838428171,0.017584263607657764,False,0.017959872830587233,2026-03-15 14:00:00,0.07930000000000001,0.2595220413058347,0,0,0.7007804147414748
18029,Dearborn County,IN,1,1,143,0.0004107943824397573,8.815698474872737e-05,0.0016949005838364716,0.0004311143276615103,0.0171,2026-03-15 16:00:00,0.007388338067364428,0.007388338067364428,0.00847012599544664,0.009827332654191317,False,0.007388338067364428,2026-03-15 16:00:00,0.1001,0.16174934885559597,0,0,0.5911208966659198
18033,DeKalb County,IN,1,1,143,0.0014506883368084198,0.00031131951908308116,0.003185070436265886,-0.0005017674339142788,0.026,2026-03-16 02:00:00,0.002344407920953699,0.002344407920953699,0.0029784806717962405,0.0039797379185617454,False,0.005170032879736431,2026-03-15 14:00:00,0.2379,0.16614725695025814,0,0,0.8575155863419921
18035,Delaware County,IN,1,1,143,0.0006614396695871462,0.00014194577471503893,0.0021506864566633484,-0.0003783775754588367,0.0168,2026-03-15 15:00:00,0.004178184128016434,0.004178184128016434,0.00460210252264754,0.005510479421196607,False,0.011873763393266078,2026-03-14 01:00:00,0.3201,0.26599200670938633,0,0,0.6011925999751454
18037,Dubois County,IN,1,3,143,0.0011249647729659508,0.00024141883767789498,0.0028047970558023297,0.0008177323311644575,0.014,2026-03-19 10:00:00,0.0,0.0,0.0,0.0,False,0.014494599531640399,2026-03-15 14:00:00,0.0884,0.20533572335651742,0,0,0.44397250703140373
18039,Elkhart County,IN,1,4,143,0.0006392798185338975,0.00013719024315267194,0.0021143529131854473,0.0015732263016554745,0.0057,2026-03-15 21:00:00,0.004478923745297331,0.004478923745297331,0.004293526553919824,0.0057661560364067,False,0.007106423889322271,2026-03-14 01:00:00,0.0911,0.31607136113673284,0,0,0.20003104249122938
18041,Fayette County,IN,1,2,143,0.003823245620814664,0.0008204732593543306,0.005170684999334257,-0.0015196476526614941,0.0297,2026-03-15 15:00:00,0.005984854367992284,0.005984854367992284,0.006634921067696607,0.008038781532261058,False,0.006257363042630042,2026-03-15 14:00:00,0.3635,0.14619038566940634,0,0,0.6825695410451194
18043,Floyd County,IN,1,4,143,0.0006227361293192392,0.00013363994689710373,0.002086815302590899,0.0004946155997277256,0.0152,2026-03-15 18:00:00,0.006703916629754345,0.006703916629754345,0.00579792689905817,0.0071453207230661,False,0.012210207539198806,2026-03-15 14:00:00,0.1094,0.18013003076106476,0,0,0.3430734302700574
18045,Fountain County,IN,1,3,143,0.000574038754031356,0.00012318942966982267,0.002003561084968036,0.000789547401446813,0.0109,2026-03-16 00:00:00,0.01243621209917198,0.01243621209917198,0.010080960323653139,0.01520236516932926,False,0.014467051235237302,2026-03-15 23:00:00,0.11320000000000001,0.22610527840689426,0,0,0.5652754921805796
18047,Franklin County,IN,1,4,143,0.00139378247143208,0.00029910744968646326,0.0031219754274265364,0.0005172321810764399,0.0319,2026-03-15 16:00:00,0.01619150945927105,0.01619150945927105,0.016341117071846233,0.0226912777870893,False,0.01698339045517206,2026-03-15 15:00:00,0.1974,0.27136420189393096,0,0,0.497936528829931
18051,Gibson County,IN,1,1,143,0.0003621498415678644,7.771780585274725e-05,0.001591388191045934,0.0004668608895103427,0.0173,2026-03-15 13:00:00,0.007038217778895429,0.007038217778895429,0.0076456168481269645,0.010038933560700857,False,0.007038217778895429,2026-03-15 13:00:00,0.07999999999999999,0.146761107199979,0,0,0.6021718329702052
