horizon,component,weight,contribution_rmse,contribution_mae,correlation_with_C1_osi_error
osi_target_t01h,P_t,0.4,0.007604413819837818,0.0022209242229071714,0.9839290786336162
osi_target_t01h,N_t,0.35,0.0014927585530253094,0.0003193265938241725,0.46486430602042333
osi_target_t01h,D_t,0.25,0.004293714495732782,0.0013324935436633387,0.8970567441142208
osi_target_t01h,R_t,-0.1,0.0004083139896598338,0.00011258805358368099,-0.41560146568372813
osi_target_t06h,P_t,0.4,0.006608630649220889,0.0021720654769696772,0.9811615063625565
osi_target_t06h,N_t,0.35,0.0013026985115967692,0.000296713718364228,0.42425154260570086
osi_target_t06h,D_t,0.25,0.004050551386204031,0.0013022370518582318,0.9025025634071177
osi_target_t06h,R_t,-0.1,0.00040513990385365674,0.00011060740219348504,-0.4588953503888609
osi_target_t24h,P_t,0.4,0.005400819968557004,0.0018430366995809615,0.980356800994516
osi_target_t24h,N_t,0.35,0.0013111482062081086,0.00030317030389230657,0.5303364170521103
osi_target_t24h,D_t,0.25,0.0029126199674333417,0.0011109747255649998,0.8665197773825263
osi_target_t24h,R_t,-0.1,0.0003446881527131329,9.254091468686017e-05,-0.426801303475249
osi_target_t48h,P_t,0.4,0.004888595239669787,0.0014640342691462818,0.9793673057765802
osi_target_t48h,N_t,0.35,0.0012024545284821833,0.00022955651570875075,0.5421000897892464
osi_target_t48h,D_t,0.25,0.0026495417018050104,0.0009036105563614792,0.8676425770528662
osi_target_t48h,R_t,-0.1,0.0003280293626646243,7.568025942804183e-05,-0.46888542926686144
