model,horizon,severity,rmse,mae,n
C0_direct_osi,osi_target_t01h,zero,0.0018793409435791993,0.0006599794450101032,14503
C0_direct_osi,osi_target_t01h,0_to_0.01,0.005101447399243392,0.0026889072573752734,16098
C0_direct_osi,osi_target_t01h,0.01_to_0.05,0.01644247103086876,0.01213410877238909,2628
C0_direct_osi,osi_target_t01h,above_0.05,0.0626752869335181,0.04001143270747916,948
C0_direct_osi,osi_target_t06h,zero,0.002067052633345443,0.0008939470018591482,14147
C0_direct_osi,osi_target_t06h,0_to_0.01,0.005158146063403641,0.0028585340521136717,15675
C0_direct_osi,osi_target_t06h,0.01_to_0.05,0.015576506819489015,0.011725654192959093,2421
C0_direct_osi,osi_target_t06h,above_0.05,0.060388733512789464,0.042324153380630336,739
C0_direct_osi,osi_target_t24h,zero,0.0021256856776522407,0.000930506370808682,12791
C0_direct_osi,osi_target_t24h,0_to_0.01,0.004011150090006467,0.0024726867695032606,13815
C0_direct_osi,osi_target_t24h,0.01_to_0.05,0.01522280760054496,0.012148510437734758,1763
C0_direct_osi,osi_target_t24h,above_0.05,0.06627226078789074,0.054396658774478815,311
C0_direct_osi,osi_target_t48h,zero,0.001876668659920593,0.0007497252045455336,10947
C0_direct_osi,osi_target_t48h,0_to_0.01,0.003443051264403717,0.002011712794001392,10861
C0_direct_osi,osi_target_t48h,0.01_to_0.05,0.015712054419234334,0.012748576499849345,985
C0_direct_osi,osi_target_t48h,above_0.05,0.07849190843655143,0.06773274523156035,151
C1_component_osi,osi_target_t01h,zero,0.0017139714703099408,0.0005917528734695124,14503
C1_component_osi,osi_target_t01h,0_to_0.01,0.005003488074749598,0.0026844196733640563,16098
C1_component_osi,osi_target_t01h,0.01_to_0.05,0.016227806158122235,0.01186395440695586,2628
C1_component_osi,osi_target_t01h,above_0.05,0.062254112846792595,0.03962561966017141,948
C1_component_osi,osi_target_t06h,zero,0.0019051480709204995,0.0007297200177554745,14147
C1_component_osi,osi_target_t06h,0_to_0.01,0.0048189380431411365,0.002677230954110508,15675
C1_component_osi,osi_target_t06h,0.01_to_0.05,0.01579910526197044,0.011796748770467337,2421
C1_component_osi,osi_target_t06h,above_0.05,0.05960294888211473,0.041854764451016574,739
C1_component_osi,osi_target_t24h,zero,0.00203627787579395,0.0009327087756198908,12791
C1_component_osi,osi_target_t24h,0_to_0.01,0.003974114291308489,0.002458456674334306,13815
C1_component_osi,osi_target_t24h,0.01_to_0.05,0.015223239990761177,0.012101792823993634,1763
C1_component_osi,osi_target_t24h,above_0.05,0.0654146426721361,0.05355087145480205,311
C1_component_osi,osi_target_t48h,zero,0.0018543767924066336,0.0007861839659198208,10947
C1_component_osi,osi_target_t48h,0_to_0.01,0.0033391338820171427,0.0019925664019979825,10861
C1_component_osi,osi_target_t48h,0.01_to_0.05,0.015711398325489054,0.01270001322222646,985
C1_component_osi,osi_target_t48h,above_0.05,0.07810112108283133,0.06733068642726424,151
C2_equal_blend,osi_target_t01h,zero,0.0017592350714076069,0.0006111931967565642,14503
C2_equal_blend,osi_target_t01h,0_to_0.01,0.0050097429468563,0.002658178473038261,16098
C2_equal_blend,osi_target_t01h,0.01_to_0.05,0.016291929573141333,0.011940792266475613,2628
C2_equal_blend,osi_target_t01h,above_0.05,0.06242398213341924,0.03977563883054357,948
C2_equal_blend,osi_target_t06h,zero,0.0019429495007850506,0.0007720204263466831,14147
C2_equal_blend,osi_target_t06h,0_to_0.01,0.004939727771863962,0.002738929640414715,15675
C2_equal_blend,osi_target_t06h,0.01_to_0.05,0.015631725932896707,0.011707098412012198,2421
C2_equal_blend,osi_target_t06h,above_0.05,0.059944634300900225,0.04203384209299194,739
C2_equal_blend,osi_target_t24h,zero,0.0020572533722569737,0.0009206291127881196,12791
C2_equal_blend,osi_target_t24h,0_to_0.01,0.003956512267933986,0.002450592436618684,13815
C2_equal_blend,osi_target_t24h,0.01_to_0.05,0.015195545034308408,0.012092552986757883,1763
C2_equal_blend,osi_target_t24h,above_0.05,0.06582732820492891,0.05396003594612469,311
C2_equal_blend,osi_target_t48h,zero,0.0018421713655409496,0.0007566826116726059,10947
C2_equal_blend,osi_target_t48h,0_to_0.01,0.0033641626956633784,0.0019888390641293508,10861
C2_equal_blend,osi_target_t48h,0.01_to_0.05,0.01569155733555309,0.012699412282528176,985
C2_equal_blend,osi_target_t48h,above_0.05,0.07828095540339859,0.06749395428829784,151
C3_aligned_component,osi_target_t01h,zero,0.0017488210677936967,0.0007300676070928756,14503
C3_aligned_component,osi_target_t01h,0_to_0.01,0.004534020787111689,0.00252677735405319,16098
C3_aligned_component,osi_target_t01h,0.01_to_0.05,0.015871198748497538,0.011712196222041213,2628
C3_aligned_component,osi_target_t01h,above_0.05,0.06181619685533244,0.039718548865194575,948
C3_aligned_component,osi_target_t06h,zero,0.0017364501209151042,0.0007283725884701801,14147
C3_aligned_component,osi_target_t06h,0_to_0.01,0.00449140017281257,0.0025178434081957264,15675
C3_aligned_component,osi_target_t06h,0.01_to_0.05,0.01573858836673594,0.011802806819315599,2421
C3_aligned_component,osi_target_t06h,above_0.05,0.05879389463060224,0.04130392447264492,739
C3_aligned_component,osi_target_t24h,zero,0.0017099412900489135,0.0007316297700200424,12791
C3_aligned_component,osi_target_t24h,0_to_0.01,0.004027947913108829,0.002414786039161028,13815
C3_aligned_component,osi_target_t24h,0.01_to_0.05,0.014802117388903222,0.01164580584957661,1763
C3_aligned_component,osi_target_t24h,above_0.05,0.0656899865752364,0.05286586989731418,311
C3_aligned_component,osi_target_t48h,zero,0.0015991114214793831,0.0006699350334562988,10947
C3_aligned_component,osi_target_t48h,0_to_0.01,0.0034207812938771938,0.0020338487035739786,10861
C3_aligned_component,osi_target_t48h,0.01_to_0.05,0.015237755104238419,0.012082974150114641,985
C3_aligned_component,osi_target_t48h,above_0.05,0.07993788320186553,0.06847090521696592,151
