cv_seed,source,horizon,n,rmse,mae,sse,sae,bias
42,T,1,34177,0.010840689291401098,0.003227290776446228,4.016499642975094,110.29911686660273,-0.0001234873431378002
42,Stella_L0,1,34177,0.010991492021847564,0.003301564170419752,4.129022376200856,112.83755865243586,-0.0001044015937602557
42,Stella_L1,1,34177,0.010991492021847564,0.003301564170419752,4.129022376200856,112.83755865243586,-0.0001044015937602557
42,Stella_L2,1,34177,0.010991492021847564,0.003301564170419752,4.129022376200856,112.83755865243586,-0.0001044015937602557
42,T,6,32982,0.009909062742500467,0.003100474888362688,3.2384868949089327,102.25986276797818,-0.00010769119066969052
42,Stella_L0,6,32982,0.01007974033020953,0.003177439347335253,3.351009628134694,104.7983045538113,-8.79139286335395e-05
42,Stella_L1,6,32982,0.01007974033020953,0.003177439347335253,3.351009628134694,104.7983045538113,-8.79139286335395e-05
42,Stella_L2,6,32982,0.01007974033020953,0.003177439347335253,3.351009628134694,104.7983045538113,-8.79139286335395e-05
42,T,24,28680,0.008434736596420678,0.002779739911447673,2.040432332014631,79.72294066031925,-9.257391647402344e-05
42,Stella_L0,24,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,80.71861469693022,-8.299437331765771e-05
42,Stella_L1,24,28680,0.008529583734061432,0.0026554196835518232,2.0865789460381583,76.15743652426629,-0.0003051835830206859
42,Stella_L2,24,28680,0.008445482059497094,0.0026563183812745817,2.0456344757917986,76.183211174955,-0.00024572936787352275
42,T,48,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,51.279923523594505,-0.0001565905410230873
42,Stella_L0,48,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,51.279923523594505,-0.0001565905410230873
42,Stella_L1,48,22944,0.007824713932105366,0.002105643919725768,1.404772742448848,48.31189409418802,-0.00039505311513453675
42,Stella_L2,48,22944,0.007661528701953814,0.0021067935790155074,1.3467903619349797,48.3382718769318,-0.00033646039506835933
