cv_seed,source,horizon,n,rmse,mae,sse,sae,bias
20260918,T,1,34177,0.01055449106533266,0.003229156298840456,3.8072248948900858,110.36287482547026,-5.968048855843743e-05
20260918,Stella_L0,1,34177,0.010683002911169644,0.0032883188402159907,3.9005031403644193,112.38487300206191,-6.38801247473866e-05
20260918,Stella_L1,1,34177,0.010683002911169644,0.0032883188402159907,3.9005031403644193,112.38487300206191,-6.38801247473866e-05
20260918,Stella_L2,1,34177,0.010683002911169644,0.0032883188402159907,3.9005031403644193,112.38487300206191,-6.38801247473866e-05
20260918,T,6,32982,0.00954921332229313,0.0030963344331429855,3.0075453029124564,102.12330227392195,-4.027044658716905e-05
20260918,Stella_L0,6,32982,0.009696165799144481,0.003157640544858214,3.1008235483867903,104.14530045051362,-4.462224350760196e-05
20260918,Stella_L1,6,32982,0.009696165799144481,0.003157640544858214,3.1008235483867903,104.14530045051362,-4.462224350760196e-05
20260918,Stella_L2,6,32982,0.009696165799144481,0.003157640544858214,3.1008235483867903,104.14530045051362,-4.462224350760196e-05
20260918,T,24,28680,0.008030970870658143,0.0027950065193870217,1.8497594228353134,80.16078697601978,-1.3201457042298306e-05
20260918,Stella_L0,24,28680,0.008094958237266874,0.002818108889202019,1.8793530453935594,80.8233629423139,-1.765012952478964e-05
20260918,Stella_L1,24,28680,0.007937402149965644,0.0026000737202288397,1.806907480893208,74.57011429616313,-0.00032744033291667976
20260918,Stella_L2,24,28680,0.007918134856272884,0.00263796584027466,1.7981459333889054,75.65686029907725,-0.00015679471340414498
20260918,T,48,22944,0.007386039443917857,0.0022817618160767186,1.2516773089381812,52.35274310806423,9.232167604194413e-06
20260918,Stella_L0,48,22944,0.007386039443917857,0.0022817618160767186,1.2516773089381812,52.35274310806423,9.232167604194413e-06
20260918,Stella_L1,48,22944,0.00733395674890965,0.0020968224637933457,1.2340871290728672,48.10949460927453,-0.00031067169305142706
20260918,Stella_L2,48,22944,0.007313159737981613,0.002156003913490247,1.2270980140246306,49.46735379112023,-0.0001396090652224994
