split_seed,horizon,scenario,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction,ci_low,ci_high,replicates,bootstrap_seed,unit,reference,source_horizon,alpha,uses_future_truth,deployable
42,1,N_aligned_minus_clipped,34177,0.00428668099364763,0.0008869276924308727,0.6280240412118042,4.198037871130571e-05,0.00429948761942347,-1.2806625775840623e-05,-0.29786399937483665,0.0037580977345246236,-3.473313199047007e-05,7.272440384117882e-06,2000,20260910,county_full_trajectory,,,,,
42,6,N_aligned_minus_clipped,32982,0.0037119168268373607,0.0008398729692391173,0.45443676559129687,5.109041958434969e-05,0.003764674357115683,-5.2757530278322185e-05,-1.4013836330519336,0.013009633993535497,-7.886832110927776e-05,-3.311595760345223e-05,2000,20260910,county_full_trajectory,,,,,
42,24,N_aligned_minus_clipped,28680,0.003751278596995849,0.0008524173122341514,0.40358757310016585,5.1526001984498125e-05,0.003795218919999953,-4.394032300410406e-05,-1.1577809852429954,0.009510160042644655,-7.670212842825535e-05,-1.9355011715449927e-05,2000,20260910,county_full_trajectory,,,,,
42,48,N_aligned_minus_clipped,22944,0.00345547652882615,0.0006780784321407472,0.27395865713886264,5.040933230613442e-05,0.0034787655866815458,-2.3289057855395943e-05,-0.6694632700909198,0.003705271663576204,-4.6720127997517824e-05,-6.501250753535011e-06,2000,20260910,county_full_trajectory,,,,,
42,1,O_N_all,34177,0.010328220575704953,0.003098918620477778,3.6457337376802097,-0.00011575879097556413,0.010991492021847564,-0.0006632714461426107,-6.034407747594594,0.48328863852064474,-0.0009267766199099173,-0.0004086974218619254,2000,20260910,county_full_trajectory,B_current,0.0,1.0,True,False
42,6,O_N_all,32982,0.00957312315383046,0.0029848670339127736,3.022625063942829,-0.00010274263990401788,0.01007974033020953,-0.0005066171763790702,-5.026093528031783,0.328384564191865,-0.0007408452148238219,-0.00032463297173955074,2000,20260910,county_full_trajectory,B_current,0.0,1.0,True,False
42,24,O_N_all,28680,0.0078622316215324,0.0026113199754231285,1.7728451965054959,-9.735021510798784e-05,0.008492701524253245,-0.0006304699027208458,-7.423667262064559,0.29572788637843517,-0.0008988171870775246,-0.00043153157707472327,2000,20260910,county_full_trajectory,B_current,0.0,1.0,True,False
42,48,O_N_all,22944,0.007102025629042057,0.0020791746625437655,1.1572670938081233,-0.000159011038498814,0.007691202257793633,-0.0005891766287515763,-7.660397022514298,0.19997586894700792,-0.0009557671822356357,-0.0003398914687599831,2000,20260910,county_full_trajectory,B_current,0.0,1.0,True,False
42,1,O_N_source_1,34177,0.010631980658770078,0.003226727490833761,3.8633343380206133,-0.00010592727570992801,0.010991492021847564,-0.00035951136307748634,-3.2708149390718977,0.2656880381802411,-0.0006213922974870245,-0.0001468085185824653,2000,20260910,county_full_trajectory,B_current,1.0,1.0,True,False
42,6,O_N_source_1,32982,0.00991172251283927,0.0031173066604410753,3.240225664283232,-9.255491031716316e-05,0.01007974033020953,-0.0001680178173702595,-1.6668863667717804,0.11078396385146183,-0.00023772021034440468,-0.00011078502800408622,2000,20260910,county_full_trajectory,B_current,1.0,1.0,True,False
42,24,O_N_source_1,28680,0.008492701524253245,0.0028144565793908724,2.068573082883931,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory,B_current,1.0,1.0,True,False
42,48,O_N_source_1,22944,0.007691202257793633,0.0022350036403240283,1.3572429627551312,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory,B_current,1.0,1.0,True,False
42,1,O_N_source_6,34177,0.010844552860845845,0.0032427171241685643,4.019363075392159,-0.00011081404200316843,0.010991492021847564,-0.00014693916100171935,-1.3368445403922569,0.10965930080869501,-0.0002233695828434799,-9.150112310858912e-05,2000,20260910,county_full_trajectory,B_current,6.0,1.0,True,False
42,6,O_N_source_6,32982,0.009913442513547324,0.0031164601617271383,3.241350327325998,-9.455871195771706e-05,0.01007974033020953,-0.0001662978166622059,-1.649822428101666,0.1096593008086959,-0.00023688502879040652,-0.00010948063539812623,2000,20260910,county_full_trajectory,B_current,6.0,1.0,True,False
42,24,O_N_source_6,28680,0.008492701524253245,0.0028144565793908724,2.068573082883931,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory,B_current,6.0,1.0,True,False
42,48,O_N_source_6,22944,0.007691202257793633,0.0022350036403240283,1.3572429627551312,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory,B_current,6.0,1.0,True,False
42,1,O_N_source_24,34177,0.010870580018467775,0.0032505171630152724,4.038679341147979,-0.00010965763093153577,0.010991492021847564,-0.00012091200337978857,-1.1000508678844945,0.09034303505287511,-0.00019166011938642532,-6.81727891649977e-05,2000,20260910,county_full_trajectory,B_current,24.0,1.0,True,False
42,6,O_N_source_24,32982,0.009942937358110714,0.0031245428106769888,3.260666593081818,-9.336040193421367e-05,0.01007974033020953,-0.00013680297209881648,-1.3572073051208555,0.090343035052876,-0.00020420727444904425,-8.22744397110664e-05,2000,20260910,county_full_trajectory,B_current,24.0,1.0,True,False
42,24,O_N_source_24,28680,0.0078622316215324,0.0026113199754231285,1.7728451965054959,-9.735021510798784e-05,0.008492701524253245,-0.0006304699027208458,-7.423667262064559,0.29572788637843517,-0.0008988171870775246,-0.00043153157707472327,2000,20260910,county_full_trajectory,B_current,24.0,1.0,True,False
42,48,O_N_source_24,22944,0.007691202257793633,0.0022350036403240283,1.3572429627551312,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory,B_current,24.0,1.0,True,False
42,1,O_N_source_48,34177,0.010915347269489714,0.0032731481174643013,4.072012035125322,-0.00010609341922236501,0.010991492021847564,-7.614475235784984e-05,-0.6927608390789763,0.05701034107553227,-0.00014255950078804542,-3.275839692257911e-05,2000,20260910,county_full_trajectory,B_current,48.0,1.0,True,False
